predictor,family,R2_dK,R2_dR
elapsed growth at end,saturation,0.7636360719996417,0.13171747302884426
fitted r,control,0.9772263257370088,0.10632501227120959
residual curvature,saturation,0.05972552724413128,0.0032426803458621
fraction O2 remaining,saturation,0.08860343208222804,0.0010027383599209828
residual sd,control,0.037387389685224884,6.187945788741941e-4
window length,control,0.17383386525275152,5.25340173894723e-4
RSS gain growth-sat,saturation,0.006513143045766265,3.482369531970619e-4
late-window mean residual,saturation,0.005324531178320416,1.0450532981325495e-5
