predictor,mechanism,r_pearson_dK,p_pearson_dK,rho_spearman_dK,p_spearman_dK,r_pearson_dR,p_pearson_dR,rho_spearman_dR,p_spearman_dR
late-window mean residual (sd),saturation signature,0.07296938521270695,0.5338434237317567,0.011266002844950213,0.9234831699470829,-0.003232728411315332,0.9780401310573197,-0.057894736842105256,0.6210398176160071
residual curvature,saturation signature,-0.2443880669020712,0.034594781894711116,-0.13428165007112375,0.2501361342777809,-0.05694453745410618,0.6274882057912486,-0.10213371266002844,0.3824429573882935
RSS gain from growth-sat term,growth saturation,-0.08070404603095353,0.49126228225490587,-0.09994310099573257,0.39277458317843267,-0.018661108037762882,0.8737402937886388,0.05556187766714082,0.6351948518878207
RSS gain from O2-limitation term,O2 limitation,-0.08701890504270048,0.45787036291429417,-0.13166429587482217,0.2595518458550021,0.009566889616356374,0.9350745722916761,0.057354196301564714,0.6243076217525251
min absolute O2 reached,O2 limitation,-0.30515181654809337,0.007764945407055825,-0.21690980374413454,0.06158599728044011,-0.04730224718536738,0.686952092431085,0.13915344308926575,0.2337845602994086
fraction O2 remaining at end,O2 limitation,-0.29766328641978707,0.009497147903994908,-0.2113229018492176,0.0688751826431521,-0.031666044273337496,0.7873929351601363,0.16392603129445235,0.15963236720433585
elapsed growth r*t at end,growth saturation,0.8738627306388808,1.449730090199369e-24,0.8388620199146515,0,0.3629290192707717,0.0013736513498268253,0.3584068278805121,0.0016946863602525682
N-fold increase at end,growth saturation,0.7730853819412598,4.4091985731164846e-16,0.8388620199146515,0,0.21533111567145746,0.06354908119175488,0.3584068278805121,0.0016946863602525682
window length (min),control,-0.4169338859492613,1.9837601067876947e-4,-0.4867010569585104,9.532142407829569e-6,-0.022920300475663607,0.8452463093629974,-0.17580651176112463,0.13136660831135666
residual sd (noise level),control,0.19335819011674893,0.09648634175356445,0.0856330014224751,0.46426124790925954,-0.024875581980612686,0.8322293005927284,-0.10802275960170696,0.3554923994985699
fitted r,control,0.9885475839518341,1.047049611760203e-61,0.9819061166429587,0,0.3260751635301435,0.004304522477833318,0.38293029871977236,7.593768975316042e-4
fitted K,control,-0.5855945486955739,3.4178869128134776e-8,-0.5171550497866286,2.8874393842072133e-6,-0.36863244422929226,0.0011369283576260164,-0.3159886201991465,0.005944038392761928
