Taxon,Replicate,n,sigma,r,K,O2_0,O2_ref,t_end,min_O2_norm,min_O2_abs,O2_frac_remaining,growth_at_end,Nfold_at_end,late_slope,late_mean_sd,curvature,p_sat_growth,rss_gain_growth,p_sat_o2,rss_gain_o2
Acinetobacter,R1,113,0.0013926059541148033,0.01943645650227968,0.001561543060916622,1.0010946527484395,6.193333333333333,112.02,0.37136706135629705,2.3,0.37096098789133797,2.17727185738537,8.822205164194141,-3.540927453678856e-6,0.028268847857231844,3.506304309255231e-8,1,-2.1886746103527834e-4,1,-1.101890554877594e-6
Acinetobacter,R2,117,0.0012980979014233244,0.01419457550388129,0.00217763559219332,1.0014300304492791,5.876666666666667,116,0.3590470788428814,2.11,0.35853436378555514,1.6465707584502296,5.189154416894912,-3.998038349302294e-6,-0.03169728783938761,-1.0575006899912345e-8,0.4948671885189453,0.004132956859582759,0.31389563774593404,0.008974593589306757
Acinetobacter,R3,89,0.0014563779769976432,0.014944084683788508,0.002406378759503797,1.003047955808978,5.73,88.00000000000001,0.5636998254799301,3.23,0.561986914200224,1.3150794521733888,3.7250469365691585,7.0142637114763214e-6,-0.062133180392780346,3.6395485978655424e-8,1,-1.1588457185798591e-4,1,-5.210831796255276e-7
Acinetobacter,R4,107,0.001331893187063469,0.01352010924335995,0.00308040752868794,1.0051878354610433,6.14,106,0.28013029315960913,1.72,0.2786845237050879,1.4331315797961546,4.1918056331090785,-9.87465619930525e-7,0.023738310448480907,-7.078406271921495e-8,0.09305794262391232,0.027142858984757573,0.10807927951682837,0.02487587303204795
Acinetobacter,R5,120,0.0013612502172482307,0.010184910396164598,0.00306797048226076,1.0037568611783563,5.656666666666666,119,0.29169121979964646,1.6500000000000001,0.29059947790266333,1.2120043371435871,3.360212906991233,1.1723535975321542e-5,-0.0428414789003498,-3.655102872357747e-8,0.1724993724213298,0.01598394360994563,0.24721572096946356,0.011525719431319172
Aeromonas_A,R1,106,0.0012642619700903486,0.02152182973967399,0.0011301797926042852,1.0004707258754904,6.29,105.01000000000002,0.548489666136725,3.45,0.5482315993371556,2.2600073409631665,9.583159516127187,-1.1287242979591141e-5,0.04977904909329566,7.895910344363747e-9,1,-7.17862138511758e-5,1,-9.207056342104717e-7
Aeromonas_A,R2,112,0.0015433810900884126,0.01990585449241123,0.00163003554620612,1.001510598054952,6.036666666666666,111.01000000000002,0.33793484262838214,2.04,0.33742512888499654,2.209748907202571,9.113427789648547,-4.221367779958499e-6,0.0030124236203560215,6.592402819632502e-8,1,-1.7568282257412197e-4,1,-1.0087877825474803e-5
Aeromonas_A,R3,120,0.0016083754335716805,0.02463468815971646,9.19021051773819e-4,1.002385543397342,6.013333333333334,119.01000000000002,0.33758314855875826,2.03,0.3367797458596642,2.9317742378878564,18.760887262232494,8.16457545617173e-6,-0.04476747086437677,-7.255101116377084e-8,0.5290106838793088,0.003425180127029419,0.7577465324006009,8.233417183341099e-4
Aeromonas_A,R4,101,0.001419908900336281,0.0216194941726135,0.00128098865506093,1.0026801572192143,6.086666666666667,100.01000000000002,0.5454545454545454,3.32,0.5439965491760436,2.1621656122030766,8.689936327958257,1.9086068376946595e-5,-0.0998345502048491,-1.5098405342304958e-7,0.01693654948486206,0.05738324711935975,0.019718672244338018,0.054778525651683424
Aeromonas_A,R5,95,0.0015058875287420595,0.01739496989774508,0.00194308255260356,1.0012721672383855,6.35,94.01000000000002,0.5370078740157481,3.4100000000000006,0.5363255781860716,1.6353011200870153,5.131002812441371,2.0004394851963582e-7,0.04928164278201077,8.076169478938692e-8,1,-2.0441414094645016e-4,1,-1.4806854164151563e-5
Aeromonas_B,R1,94,0.001393781042007301,0.03054020779769078,8.464285681270882e-4,1.0015891211160342,5.986666666666667,93,0.55456570155902,3.32,0.5536858277185436,2.8402393251852427,17.119862261108683,1.2285580496851899e-6,0.0028861507005412805,-4.6402574256919623e-8,1,-4.480537395666172e-5,1,-3.2900232311850653e-7
Aeromonas_B,R2,99,0.001534779472870107,0.02863601071145552,8.511505376205517e-4,1.0009805044639777,5.85,98.02,0.5384615384615384,3.1499999999999995,0.5379340916833172,2.8069017699368697,16.558536508096704,-1.3218646518742373e-6,0.03879159691452706,-1.9115797708888367e-9,0.9606822006168312,2.571618625284133e-5,0.9526758762283843,3.7269091081606096e-5
Aeromonas_B,R3,89,0.0014384263205831824,0.03394930244807805,7.528468241546485e-4,1.0005807440957342,5.726666666666667,88.00000000000001,0.5814901047729919,3.33,0.5811526038295973,2.9875386154308687,19.836796367989482,-4.820584099619973e-5,0.1391834233890796,4.652133135188717e-8,1,-3.553017158932786e-5,1,-3.0261993597086553e-7
Aeromonas_B,R4,84,0.0012916722966724704,0.03585987964659123,8.509386784386346e-4,1.0000774718055228,6.21,83.00000000000001,0.5571658615136876,3.46,0.5571227002122044,2.9763700106670727,19.61647963497847,1.5935194874685241e-6,-0.008450360772864467,6.83681340903812e-8,1,-3.9340385481042054e-4,1,-3.050514087150372e-4
Aeromonas_B,R5,84,0.0012367466396061239,0.03578033965657565,5.710829728399444e-4,1.0014667445129386,5.753333333333333,83.00000000000001,0.7056778679026651,4.06,0.7046443346911835,2.9697681914957794,19.48740172696564,-1.2604731184268992e-5,0.08573117304690839,-6.190975118993492e-8,1,-1.7429102403382395e-4,1,-3.7530279719079637e-6
