model,n_curves,n_converged,n_at_bounds,pct_at_bounds,median_AIC,median_BIC,median_sigma,median_late_resid_sd
M0,75,75,0,0,-1109.5597979563267,-1099.0356425021996,0.0013446388668204852,-0.014094994586607304
M1,75,75,31,41.333333333333336,-1107.8990548802274,-1095.1296704222248,0.0013481616294773139,-0.008365901787468526
M2g,75,75,0,0,-1107.6255840889535,-1094.4701619361506,0.001345040264935336,0.007032253311002196
M2o,75,75,30,40,-1107.5908951989263,-1094.481748809534,0.001342309141110163,0.005537736669636095
M3g,75,75,30,40,-1105.8853345593539,-1090.5620732097507,0.0013552189505181605,0.02432361961059079
M3o,75,75,51,68,-1105.8990202357281,-1090.575758886125,0.001345828630183443,0.007945737179382817
