bin,o2_abs_mid,n,mean_resid_sd
1,2.79,805,-0.003384597729922825
2,3.7400000000000007,815,-0.025295112199981012
3,4.33,813,-0.044438777173322404
4,4.76,795,0.018985948462568937
5,5.09,797,0.013327521857364223
6,5.35,796,0.03339040968223771
7,5.55,803,-0.043070544402433575
8,5.72,819,-0.0012775032363131662
9,5.89,792,0.00829455999141886
10,6.15,800,0.045296058441206766
