model,parameter,median_extra1,min_extra1,max_extra1,median_extra2,pct_at_bounds
M1,tlag (min),0.15654009727386492,0,6.171024995924371,NA,41.333333333333336
M2g,Nmax_rel,2718.1648889601192,38.90900787664248,504281.95387872774,NA,0
M2o,Km (normalised O2),0.002082658496397738,1e-6,0.11856905631380754,NA,40
M3g,Nmax_rel; tlag,652.7769747203951,45.81530211346491,109280.88490010446,0.0359563536646479,40
M3o,Km (normalised O2); tlag,0.002832577625691628,1e-6,0.11151002814009756,0.2761190326561673,68
