model,spearman_vs_M0,pearson_vs_M0,median_pct_shift_R,pooled_logR_logr_slope,pooled_r2
M0,0.9999999999999998,0.9999999999999999,0,-7.20582223221659e-4,5.564111039329685e-8
M1,0.9999999999999998,0.9999999447218088,-0.06250411392946885,-0.0010147297236467723,1.1031827481420086e-7
M2g,0.9999999999999998,0.999998012475134,-1.6656491239740692,0.028539399114454127,8.528465190279752e-5
M2o,0.9999999999999998,0.9999995786069092,-0.8409310232048778,0.008420743070934298,7.532448265632328e-6
M3g,0.9999999999999998,0.9999977811892763,-2.0231203794453267,0.018687268442354427,3.676947353238828e-5
M3o,0.9999999999999998,0.9999988140523516,-0.9197742871907354,0.007874185452827016,6.584990396466989e-6
