Taxon,Replicate,dt_min,r,K,R_C_fg_cell_h,G_C_fg_cell_h,sd_logK,sd_logG,term_logK,term_dt2_var_r,term_cross,sd_logR,sd_logR_if_independent,ratio_actual_over_independent,CUE
Acinetobacter,R1,130.02,0.01943645649413162,0.00156154306180892,446.0850012840488,100.36593517148388,0.004149873761214021,0.0029327369967786896,1.7221452234012604e-5,5.4928879551670205e-5,-6.0506929970268605e-5,0.0034122429303046703,0.008494135140535663,0.4017175231908878,0.18366870376779224
Acinetobacter,R2,138,0.01419457550388129,0.00217763559219332,363.01950926416606,73.2979205977912,0.0033479553576334473,0.003279441376025907,1.1208805076706505e-5,4.126698449905741e-5,-4.216959644342617e-5,0.0032103260165188435,0.0072440175024473755,0.44316927939975875,0.1679921900460894
Acinetobacter,R3,128,0.01494408464942784,0.00240637876372105,468.2192548168737,77.16823442454621,0.0059210601000544046,0.007493432527996478,3.5058952708456276e-5,2.0545663909144908e-4,-1.6601062963724796e-4,0.008631625696394475,0.015508565110928392,0.556571522552531,0.14149249102116296
Acinetobacter,R4,120.00000000000001,0.01352010924335995,0.00308040752868794,426.778342475184,69.81511307064363,0.0030484317245988777,0.0035008661012688896,9.292935979540887e-6,3.226070802134014e-5,-3.3898546265086374e-5,0.002766784728849473,0.006446211600690829,0.42921096920755153,0.14058806512845962
Acinetobacter,R5,138,0.01018491039079284,0.00306797048340179,381.85070050710976,52.59281990615532,0.0028934386004759354,0.004018738422990449,8.37198693472414e-6,3.1904509767545773e-5,-3.1946238735563127e-5,0.002886218627669564,0.006346376659344284,0.4547821194035105,0.12105789920891516
Aeromonas_A,R1,136.03,0.02152182979085593,0.00113017978862392,161.86684586527386,87.12751224087538,0.00551334266977363,0.0037274088178322626,3.039694739434662e-5,1.1908082571911658e-4,-1.1841571973096889e-4,0.005573334135191815,0.012226110301868832,0.45585505100014506,0.3499176162205727
Aeromonas_A,R2,126.03,0.01990585449241123,0.00163003554620612,114.42383839458368,80.58550772897215,0.004397954777872573,0.003054207326786187,1.9342006228212193e-5,5.87092526671767e-5,-6.630625422071684e-5,0.003427098579654816,0.008834662353219216,0.3879150603198812,0.41323920791936836
Aeromonas_A,R3,132.03,0.02463468815971646,9.19021051773819e-4,143.74913922067972,99.72939638700127,0.0051682083989570875,0.00256202518906631,2.671037805505058e-5,6.943943448968426e-5,-8.50574932289745e-5,0.0033305133712027545,0.009805601080236481,0.33965417764297146,0.4096024158273076
Aeromonas_A,R4,130.03,0.0216194941726135,0.00128098865506093,174.16300849703282,87.52289008280475,0.006149396309628515,0.004379957815016234,3.78150749728728e-5,1.5160657540150174e-4,-1.489419408625627e-4,0.006362366659648894,0.013763053817172063,0.46227870239892654,0.33445780058378827
Aeromonas_A,R5,128.03,0.01739496989774508,0.00194308255260356,171.16473417676744,70.42061327607816,0.005982696656920328,0.005902777925422092,3.579265928872567e-5,1.7281591813687983e-4,-1.5419064678508907e-4,0.007376850997581314,0.014443288317609862,0.5107459489392834,0.2914937268280452
