Taxon,n,mean_logr,se_within_naive,se_within_corr,mean_logr_joint,se_joint
Acinetobacter,5,-4.257873011078043,0.001898440979259887,0.001836443771517108,-4.260274734185784,0.06732704800721956
Aeromonas_A,5,-3.868952544568761,0.0017554365323841532,0.0017115853687560934,-3.8682481952900503,0.06649064105220907
Aeromonas_B,5,-3.41663625183423,0.001857054549217798,0.0018322947496250057,-3.418888871294252,0.06577671065051276
Arthrobacter,5,-3.7244361600346347,0.0017502545206293091,0.001636866060349014,-3.7232079285624247,0.06641292721250873
Bacillus,5,-3.57874448012815,0.0013383666850962687,0.0012437033568648429,-3.579687720301985,0.06634837745036296
Burkholderia,5,-3.8536084477205534,0.001391499678321999,0.0013702271052280115,-3.8529717578943217,0.06749958048068154
Buttiauxella,5,-3.8387855819138785,0.0013789901698577686,0.0013243439908124496,-3.839193069484464,0.06636650004620638
Chromobacterium,5,-3.6821880132730347,0.0012818994239991363,0.0013260429945487159,-3.682083731760034,0.065930871952231
Chryseobacterium,5,-4.134067143236677,0.0014202475289301988,0.0014261417778325528,-4.13308560752627,0.06607003930553673
Flavobacterium_A,5,-3.8983732544603047,0.001733327222000742,0.0017559511422505366,-3.8985054134239903,0.06631087927862771
Flavobacterium_B,5,-4.326005151989469,0.002164174562643048,0.0021788314394599185,-4.324432322504708,0.06629404507885568
Herbaspirillum,5,-3.868256228818091,0.0011568069732679335,0.0011765235049618088,-3.868016782374208,0.06567250184630745
Pseudomonas,5,-3.7950006514688597,0.0012316051256390586,0.0011927062835968135,-3.795384165062752,0.06622380570689955
Serratia,5,-3.656944214105184,0.0011364607511852832,0.0010939966264961233,-3.657205526027433,0.06541937727172666
Yersinia,5,-3.243968270292188,6.574686600067136e-4,6.226843403301177e-4,-3.245592237579909,0.06666684720944675
