basis,source,n,min,median,max
var(log r + log K),vcov,75,4.3582512309248657e-7,3.1669969717305605e-6,4.536059270705408e-5
var(log K - log r),vcov,75,2.641273907408882e-5,5.651036132676858e-5,2.56700274353572e-4
var(log r + log K),bootstrap iid,75,4.04240868575353e-7,3.227990817241684e-6,5.124663977091138e-5
var(log K - log r),bootstrap iid,75,2.3361975591670914e-5,5.7756489822962295e-5,2.819170178520308e-4
var(log r + log K),bootstrap AR(1),75,3.926965120736741e-7,2.9668887760724364e-6,4.127538214189161e-5
var(log K - log r),bootstrap AR(1),75,2.480263183639964e-5,5.5413208144463375e-5,2.3148732882653756e-4
var(log r + log K),real replicates,15,0.002046058884841526,0.02335039113730942,0.12791993136795068
var(log K - log r),real replicates,15,0.031381571079535237,0.0722007466493356,0.2758436800882464
