quantity,n,min,q25,median,q75,max
rho_ar1,75,-0.25093461798094446,-0.07596634667610623,-0.033927613852508344,0.03758334778772689,0.18065634193583857
acf_lag1,75,-0.2507044894115627,-0.07434724366205933,-0.033549028424233136,0.037104346655593236,0.1804010424517715
durbin_watson,75,1.636726613624198,1.9103990079938284,2.0523044922800393,2.141164973053576,2.4971361451485476
n_points,75,74,99.5,108,117,140
n_eff,75,64.51242839183298,97.93133400727675,113.05993711751191,128.87428079258893,182.02933499929685
vif_analytic,75,0.7738246460220337,0.9267115270760595,0.966628881364137,1.0383169864680641,1.2004075102530631
