method,n,min,median,max
(i)   vcov(nls) per curve,75,-0.9930219541467161,-0.9845878820966925,-0.9737597210340287
"(ii)  parametric bootstrap, iid noise",75,-0.9940729796651278,-0.9847026784502253,-0.9737519974993166
"(ii)  parametric bootstrap, AR(1) noise",75,-0.9933514714459517,-0.9848851793020119,-0.9728735490579778
(iii) observed across real replicates,15,-0.9697803277837966,-0.6458081128154639,0.5001356747872038
