variant,median_widening_lr,median_widening_lk,max_widening_lr
ar1,0.9885437903967504,0.9865705477064033,1.0134830772301364
inflate10,0.9782762112859457,0.9906493916891411,1.005143030850159
inflate100,0.8980626782408638,1.0003948089588335,0.9519015986540007
naive,1,1,1
