r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.02,2e-12,0.005,5,120,50,0.02311158061524564,0.027800809770836807,-6.301497811224807e-4,-0.980746338742288,4.673062020429239e-5,0.002567329744694215,54.938918710486014
0.02,2e-12,0.005,5,180,50,0.023599436342874796,0.029783964895175204,-6.90560956026126e-4,-0.9824667885209108,6.289604852617876e-5,0.0028251398726306808,44.91760514104146
0.02,2e-12,0.01,1,60,50,0.15513494037655506,0.09722084949795062,-0.014554192999273791,-0.9649817391335954,0.004410357304192885,0.06262712930128803,14.20001260255014
0.02,2e-12,0.01,1,120,50,0.025709501487803293,0.03219867447807878,-8.081312325603374e-4,-0.9762257131521921,8.147063977596702e-5,0.003313995570017316,40.67717620888145
0.02,2e-12,0.01,1,180,50,0.02970159371940901,0.036533246645052406,-0.0010729321573773735,-0.9887903967406023,7.099846514632109e-5,0.0043627270946558164,61.448188854007626
0.02,2e-12,0.01,3,60,50,0.23098853098040256,0.13094158501249317,-0.028777471847615435,-0.9514470572416169,0.012946456434837496,0.12805634382529923,9.891227338525903
0.02,2e-12,0.01,3,120,50,0.042084325621126566,0.051559170492898515,-0.0021418330259216907,-0.9870958295445662,1.4577247305740557e-4,0.008713104576744173,59.77194729565252
0.02,2e-12,0.01,3,180,50,0.037487968421221776,0.04778282227017572,-0.001759479700982173,-0.9822466533390366,1.695864784893748e-4,0.0072075052824180684,42.500471420954966
0.02,2e-12,0.01,5,60,50,0.2689019812586038,0.18826270347833218,-0.047905205541878895,-0.9462903577611332,0.011940709962015156,0.2035615321295307,17.047690864034433
0.02,2e-12,0.01,5,120,50,0.045127078184751354,0.05823984732457658,-0.002586507097141274,-0.9841385208763767,2.5531880760010895e-4,0.010601347196165196,41.52199869572269
0.02,2e-12,0.01,5,180,50,0.046869312440184316,0.06036878001950245,-0.0027869669685028024,-0.9849877729730142,2.671881126530913e-4,0.011415055986664301,42.722918595878
0.02,5e-12,0.002,1,60,50,0.007829915198488187,0.00544744079432761,-4.094251213908418e-5,-0.959897607422555,9.097158945052698e-6,1.728672075013893e-4,19.002329028822736
0.02,5e-12,0.002,1,120,50,0.008155699956796492,0.006084124731659938,-4.816411326171791e-5,-0.9706534891495245,7.203789012250312e-6,1.9986024205912226e-4,27.743766748200493
0.02,5e-12,0.002,1,180,50,0.00894493261454771,0.006540999057881554,-5.7489625199069135e-5,-0.9825808993077617,7.81723775586842e-6,2.3777573855214505e-4,30.41684876139864
0.02,5e-12,0.002,3,60,50,0.019646872493185405,0.014601197514531962,-2.833951433175117e-4,-0.9878943481925474,3.240428098683616e-5,0.0011659848542568828,35.98243252891647
0.02,5e-12,0.002,3,120,50,0.01215569750520022,0.009208025505629993,-1.0896054719892792e-4,-0.9734706853139036,1.4627621152406738e-5,4.5046980994811915e-4,30.795835170642334
0.02,5e-12,0.002,3,180,50,0.013304655630111921,0.010368066057757024,-1.3459963347412947e-4,-0.9757588157461153,1.5311388265622767e-5,5.537099221621411e-4,36.16327354230409
0.02,5e-12,0.002,5,60,50,0.02289901137571068,0.01578740479114314,-3.552003735511655e-4,-0.9825302641662491,6.320612492200353e-5,0.0014840076191266675,23.478857799903658
0.02,5e-12,0.002,5,120,50,0.013129088549537303,0.009797175091344461,-1.229875445825005e-4,-0.9561492394006538,2.2382516747048997e-5,5.143326950770529e-4,22.979216362917036
0.02,5e-12,0.002,5,180,50,0.016070371266121906,0.012467401557553992,-1.9404088003750633e-4,-0.9684816081865852,2.5611174153283292e-5,8.01774694303309e-4,31.305659377608947
0.02,5e-12,0.005,1,60,50,0.029699511525049176,0.020482191326186384,-5.975867880618788e-4,-0.9823703863241016,1.0640757022527558e-4,0.002496754722472791,23.46407043396357
0.02,5e-12,0.005,1,120,50,0.02566509318640724,0.019333248010990067,-4.865431162044879e-4,-0.9805588521723788,5.938525451244541e-5,0.0020055577193303937,33.77198154316385
0.02,5e-12,0.005,1,180,50,0.02079526476052909,0.014786068852343686,-2.9524622011665373e-4,-0.9602120859272235,6.0578428333443335e-5,0.0012415633088000582,20.495138995123657
0.02,5e-12,0.005,3,60,50,0.03839614648501094,0.028433948688507037,-0.0010682583000413495,-0.9784788902259159,1.462369028363721e-4,0.004419270103001768,30.219937767326712
0.02,5e-12,0.005,3,120,50,0.034490899843171385,0.02643306722805036,-8.901100345333284e-4,-0.9763187086967802,1.0810914600765457e-4,0.0036685492841409656,33.93375509488547
0.02,5e-12,0.005,3,180,50,0.03535964955606898,0.0268962422010052,-9.286928942621665e-4,-0.9765007103543762,1.1632687273880887e-4,0.003831098449787475,32.933907355951355
0.02,5e-12,0.005,5,60,50,0.047007505476022685,0.03504164247291405,-0.0016032882433281122,-0.9733296391735359,2.310457916216109e-4,0.006644198764934062,28.757064642040405
