Taxon,Replicate,depletion,initial,none,ratio_initial_over_depletion,ratio_none_over_depletion
Acinetobacter,R1,446.0850012840471,516.471652793453,731.8031454888593,1.1577875322120208,1.6405015711857112
Acinetobacter,R2,363.0195092641649,405.3143733590727,1051.250053677767,1.1165085154256278,2.895850021417954
Acinetobacter,R3,468.2192548168731,541.4646927342193,1419.7327786175022,1.1564340576852046,3.032196484898467
Acinetobacter,R4,426.77834247518274,461.60507635266646,1730.181801433289,1.0816037985327451,4.054052488696517
Acinetobacter,R5,381.85070050710874,389.96578444854475,1923.0008093076885,1.0212519812865577,5.036001784870076
Aeromonas_A,R1,161.86684586527284,153.4006263511097,177.9121085642376,0.9476963953371289,1.0991263072631918
Aeromonas_A,R2,114.42383839458297,130.34554641992963,191.1970740985137,1.139146774384912,1.670954905735493
Aeromonas_A,R3,143.74913922067967,152.65545921740244,114.16924108570468,1.0619573796755057,0.794225563399272
Aeromonas_A,R4,174.16300849703214,183.84170095910454,215.06471188971727,1.055572607212038,1.2348472488254136
Aeromonas_A,R5,171.1647341767673,195.43652464523223,379.05395599615633,1.1418036874546755,2.2145563910653183
Aeromonas_B,R1,126.38647280258914,153.55225144008546,75.09924136243424,1.2149421376758274,0.5942031587489304
Aeromonas_B,R2,109.56997736754386,98.72034609699821,70.32754171221993,0.9009798894623168,0.641850472199257
Aeromonas_B,R3,131.09703830745025,119.69349339429947,62.15898221025653,0.9130144733978882,0.47414482441991246
Aeromonas_B,R4,136.85289563660882,128.7704288379999,69.9282065760103,0.9409404765532281,0.5109735256292536
Aeromonas_B,R5,137.395947308033,178.42595545925556,47.7528264498234,1.2986260435996406,0.3475562954034197
Arthrobacter,R1,165.34015969493703,162.99809700979867,219.8745112970981,0.9858348831314812,1.3298312503313192
Arthrobacter,R2,162.3924644646044,148.02109518952759,179.13002319453904,0.9115022404367216,1.10306856777571
Arthrobacter,R3,160.45262658549433,176.76955292293937,296.49288823596544,1.1016931083315789,1.8478531298955363
Arthrobacter,R4,110.10628965936623,114.05530320907563,147.1680006579906,1.0358654674671754,1.3365993996644652
Arthrobacter,R5,159.45533964803897,286.67070056828544,276.73774144059746,1.797811858800371,1.7355188107932444
Bacillus,R1,2968.272260054301,3676.960657984686,1181.0849934697771,1.2387545130100095,0.3979031874414952
Bacillus,R2,2090.602934075665,2688.1745387898104,2392.9487553858758,1.2858369683568605,1.144621351277252
Bacillus,R3,3240.005046864051,3276.974005797718,3362.3653516095087,1.0114101547370886,1.0377654673297154
Bacillus,R4,2695.570887478601,3039.838573457862,2518.809822678355,1.1277160573214544,0.9344253695492365
Bacillus,R5,1131.7007415649346,1341.3745512097591,1740.366656690273,1.1852731927655045,1.5378329206391304
Burkholderia,R1,142.1581138736361,180.0869093953925,194.6507537181515,1.2668071099724296,1.3692553201091
Burkholderia,R2,124.44368879220976,153.43090632971817,235.88676016234706,1.232934412494875,1.8955301184957618
Burkholderia,R3,129.73019023406755,145.59551755792563,179.59133825899679,1.1222947973423367,1.384344985041389
Burkholderia,R4,124.71821621358848,126.07807059495656,172.50017167395052,1.0109034142938609,1.383119298134702
Burkholderia,R5,114.9771139621786,104.09941771897641,140.46329245654337,0.9053925092711895,1.2216630563778839
Buttiauxella,R1,110.18775266201028,113.77774492516104,132.6564659762291,1.0325806832104354,1.2039129828079833
Buttiauxella,R2,129.41401512253833,155.24287021323852,167.77512044322228,1.199583136851473,1.2964215682850189
Buttiauxella,R3,135.77841616994857,174.1217963447191,190.85736408958795,1.2823967259036047,1.40565319196756
Buttiauxella,R4,114.61047989268897,142.20950050056868,261.24575770917346,1.2408071289267872,2.279422945910188
Buttiauxella,R5,132.3501445531393,122.69715470672527,185.622928333464,0.9270647578134054,1.402513982589081
Chromobacterium,R1,218.26378162315095,204.56181757511106,265.66895399617005,0.937222914648765,1.217192115065924
Chromobacterium,R2,166.7552674280476,177.75453141045614,158.65700611504641,1.0659605189812342,0.9514362488339658
Chromobacterium,R3,213.57333228685712,194.3880906600686,195.14223800952797,0.9101702379161261,0.9137013311541454
Chromobacterium,R4,220.48210392407913,203.23253493589783,329.2606521491457,0.9217643124717233,1.493366791630959
Chromobacterium,R5,187.34916781530077,171.50509201816283,193.20139481465978,0.9154302312527061,1.0312370055741504
Chryseobacterium,R1,41.14579543364203,40.32799691906574,79.3121989177851,0.9801243722242484,1.9275893947826581
Chryseobacterium,R2,43.87239334265164,41.46636037892442,78.66523392360811,0.9451583836574483,1.7930463311909575
Chryseobacterium,R3,47.16174256023154,51.8241656965565,105.21412322708247,1.0988602813047132,2.230921028685712
Chryseobacterium,R4,38.276846353646135,34.10769593287474,76.12839650683784,0.8910790512297716,1.9888889435528454
Chryseobacterium,R5,41.486286804665134,41.29707980384511,111.2943497317048,0.9954392881264382,2.682678019744822
Flavobacterium_A,R1,171.8254889565147,164.49783910164086,236.13749668842473,0.957354116089678,1.3742867727161596
Flavobacterium_A,R2,147.97548387220408,172.25671137622822,389.5500070912698,1.1640895293506466,2.632530719938017
Flavobacterium_A,R3,198.60539594692494,215.8639277598088,219.02969518321643,1.0868986047966995,1.1028385917659038
Flavobacterium_A,R4,143.4074792350404,144.97111161665316,187.88017159444578,1.0109034228197402,1.3101141767265572
Flavobacterium_A,R5,172.81337817389556,194.37108318820157,246.1374716214031,1.1247455795500583,1.4242963954661212
Flavobacterium_B,R1,535.6510431417104,606.0907188702173,1082.2983233580228,1.1315029189812884,2.020528732680341
Flavobacterium_B,R2,598.6280687271152,661.3704443349397,1641.4056580507593,1.1048102801815425,2.741945698505151
Flavobacterium_B,R3,429.8538242883895,440.74937211023536,1263.938719604509,1.025347099888859,2.9403919383453734
Flavobacterium_B,R4,686.9537968410885,673.948341725772,1732.5306057063751,0.9810679332800528,2.522048227512974
Flavobacterium_B,R5,369.80911521181247,367.9276817416846,2803.3121573047406,0.9949124199682037,7.580430124603908
Herbaspirillum,R1,49.18300011835825,49.71926290195534,75.5660174959339,1.0109034174878837,1.536425539598749
Herbaspirillum,R2,53.307164230149695,53.88839399216122,59.756911863304424,1.010903408020395,1.120992135415578
Herbaspirillum,R3,45.43491378171252,38.419832490733874,57.31399040713245,0.8456015273918666,1.2614526063038607
Herbaspirillum,R4,44.829852366464515,39.78783614502518,44.16787865300126,0.8875299391971437,0.9852336405649542
Herbaspirillum,R5,41.81521216451917,39.827837023568044,56.62580129131622,0.9524724367502446,1.3541914140845628
Pseudomonas,R1,183.8491461556091,200.19037778319256,111.96845046782141,1.0888839136285806,0.6090235000224141
Pseudomonas,R2,144.25555154703457,136.82054688155372,147.8696397153133,0.9484594902189489,1.0250533731944476
Pseudomonas,R3,157.82873913339242,172.13567696958106,140.40354673496032,1.0906484960517666,0.8895943001628821
Pseudomonas,R4,154.5231343842667,162.24999109823517,264.0596583040002,1.0500045300320753,1.7088681209852958
Pseudomonas,R5,147.42141426065118,182.84479892414765,232.0973520162493,1.2402865610885099,1.5743801752293953
Serratia,R1,157.07274636880405,149.16734768949246,259.41197467404595,0.9496704624954487,1.6515403255568677
Serratia,R2,225.40046766171804,209.82672339864646,137.31106677231833,0.9309063356228492,0.6091871423194887
Serratia,R3,178.85530768234864,200.2671581277678,199.31293865545456,1.1197160471382104,1.1143808995002775
Serratia,R4,193.5164263319636,512.8836059576076,172.3691684592848,2.6503362824497,0.8907211223692081
Serratia,R5,186.09929423472457,177.72091380654356,105.92967332449867,0.954978977955642,0.569210505392304
Yersinia,R1,152.94318426145435,161.91443350912613,28.32367381550268,1.0586573981115468,0.18519082071080548
Yersinia,R2,90.90429027363753,73.07848023767926,17.68699193137841,0.8039057344565419,0.1945671857525924
Yersinia,R3,112.14871100647838,127.34290095071711,28.91037248149058,1.1354825196641005,0.2577860433885909
Yersinia,R4,94.44959027052138,321.12978920576086,29.436306979796676,3.400012517640201,0.31166156354395563
Yersinia,R5,114.95490845086834,160.69522915122124,41.793923412793674,1.3978979350838445,0.3635679761395867
