Taxon,n_curves,median_n,median_rho,min_rho,max_rho,median_dw,median_n_eff,median_vif
Chromobacterium,5,100,0.021380006175521913,-0.047007407369162625,0.15667680373110604,1.9520699329846227,96.68139349764859,1.021613525017789
Herbaspirillum,5,119,0.014049657145814257,-0.03368285801140502,0.06140754129002872,1.970083307256182,115.7025102004221,1.014149755049019
Chryseobacterium,5,123,-0.004555290529521457,-0.040584579418917716,0.07521394790010477,2.0076352262991684,130.94116490863772,0.995455037704452
Flavobacterium_A,5,108,-0.008887469903159086,-0.08393154036312057,0.08916263418079663,1.9997517218981438,105.8651703855227,0.9911516749786204
Flavobacterium_B,5,117,-0.01800550656786687,-0.10425444049734568,0.11985486650643387,2.0343406289255634,103.78037802578716,0.9821537126034858
Aeromonas_B,5,89,-0.03287377781480794,-0.17168961026226182,0.15951523837316736,2.055508521387011,96.00151575769095,0.9676492256552145
Pseudomonas,5,119,-0.033927613852508344,-0.12905591517431483,0.05077999262028734,2.04170370101164,118.51018091923734,0.966628881364137
Acinetobacter,5,113,-0.03494796776997233,-0.08862319597443212,0.051339541616487495,2.0617695167579595,106.30889881525486,0.965641910818624
Burkholderia,5,107,-0.04428079906624247,-0.09878467428929404,0.10520787654891603,2.083401140913087,114.72981163800584,0.9566575630345802
Bacillus,5,94,-0.0518603595358085,-0.16658396786665977,-0.02498553340831352,2.0903433577454686,114.37134189747019,0.9494172273998369
Yersinia,5,111,-0.05484637715692279,-0.09840348269429489,0.007400686276217762,2.1069095333258345,123.54166882454504,0.9465784082617364
Buttiauxella,5,109,-0.05674422503163541,-0.25093461798094446,0.18065634193583857,2.1061731974600533,123.23472364362517,0.9447780501161734
Arthrobacter,5,98,-0.06436077655029071,-0.24177551759864344,0.0868449083655859,2.125681809865177,86.9031710583287,0.9375831183486669
Aeromonas_A,5,106,-0.07568411822333694,-0.11578576642249529,0.0864394964340271,2.10810730356476,110.55743306584077,0.9269745895400766
Serratia,5,109,-0.07728484845079436,-0.17886636576564452,0.16127535747373153,2.1434694439403423,131.92932582775316,0.9254832226150848
