model,taxon_a,taxon_b,diff_logr,se,z,p,p_holm,resolved_raw,resolved_holm
within-curve only (naive),Buttiauxella,Yersinia,-0.5948173116216906,0.0015277038088109165,-389.3538185812764,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Chryseobacterium,0.451879129963642,0.0019132091304093375,236.18909338309552,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Flavobacterium_A,0.21618524118727,0.002155850039260182,100.27842254809977,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Flavobacterium_B,0.6438171387164346,0.002515336492567256,255.95666449355582,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Herbaspirillum,0.18606821554505615,0.0017266929393064173,107.75987514016043,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Pseudomonas,0.11281263819582499,0.0017776718816333117,63.460889133361086,0,0,TRUE,TRUE
within-curve only (naive),Chromobacterium,Serratia,-0.02524379916785069,0.0017131284751103564,-14.735496802844592,3.813823712772015e-49,3.051058970217612e-48,TRUE,TRUE
within-curve only (naive),Chromobacterium,Yersinia,-0.43821974298084676,0.001440670389832574,-304.1776565087688,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Flavobacterium_A,-0.23569388877637198,0.002240876235306436,-105.17934237637236,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Flavobacterium_B,0.19193800875279265,0.0025885815770463104,74.1479466804375,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Herbaspirillum,-0.26581091441858584,0.0018317492778307989,-145.1131536589797,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Pseudomonas,-0.339066491767817,0.001879881440126674,-180.36589144949977,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Serratia,-0.4771229291314927,0.0018189684116050378,-262.3041313347958,0,0,TRUE,TRUE
within-curve only (naive),Chryseobacterium,Yersinia,-0.8900988729444888,0.001565045712534736,-568.7366610543863,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_A,Flavobacterium_B,0.42763189752916464,0.0027727377799063578,154.22731302907656,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_A,Herbaspirillum,-0.030117025642213857,0.0020838967421468193,-14.452263892493761,2.425795272206081e-47,1.6980566905442567e-46,TRUE,TRUE
within-curve only (naive),Flavobacterium_A,Pseudomonas,-0.10337260299144502,0.002126328865446079,-48.61552917392138,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_A,Serratia,-0.2414290403551207,0.0020726712950956375,-116.48206878070391,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_A,Yersinia,-0.6544049841681168,0.0018538307089429264,-353.0014801304404,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_B,Herbaspirillum,-0.4577489231713785,0.00245394659905071,-186.53581269798417,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_B,Pseudomonas,-0.5310045005206097,0.002490080866777549,-213.24789391590744,0,0,TRUE,TRUE
within-curve only (naive),Flavobacterium_B,Serratia,-0.6690609378842853,0.002444421112774116,-273.70935981034125,0,0,TRUE,TRUE
