variant,max_Rhat,sd_lr_min,sd_lr_max,sd_lr_spread_pct,sd_lk_min,sd_lk_max,sd_lk_spread_pct,tau_lr_mean,tau_lk_mean
naive,1.0013583745704162,0.06541937727172666,0.06749958048068154,3.1797967142281447,0.10532114208031965,0.10981516832044211,4.2669744662427345,0.14730846274763024,0.23904830200124855
ar1,1.0028692905663585,0.06265902614683581,0.06738713950059728,7.54578174049747,0.10223651996542883,0.10896182090372154,6.578178659217726,0.1467287803152734,0.23770972219163275
inflate10,1.0013699931434457,0.06313067567385788,0.06675449094601203,5.740181351575102,0.10426789931600593,0.10878832969488661,4.335399877176549,0.1441905361632291,0.23718300371146503
inflate100,1.0017924571037662,0.05659228273319627,0.06310540749180311,11.508856762878604,0.10474984550376235,0.10967871753754972,4.70537403667135,0.12733028325787843,0.23323205233965885
