Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Chromobacterium,R5,0.02492601488710632,0.00121599323744506,5.633333333333333,depletion,823478802.9152623,8.318483989334768e-12,187.34916781530077
Chryseobacterium,R1,0.01546010521164195,8.384499700131765e-4,6.11,depletion,2804145113.7971935,1.82691305509627e-12,41.14579543364203
Chryseobacterium,R2,0.01681179114807214,7.875711363987316e-4,5.953333333333333,depletion,2406945449.507884,1.9479766355537527e-12,43.87239334265164
Chryseobacterium,R3,0.01668582715915156,9.312067517155902e-4,5.87,depletion,2610369325.537837,2.0940269176064843e-12,47.16174256023154
Chryseobacterium,R4,0.01577081633140894,6.788354020645641e-4,5.756666666666667,depletion,2299360150.5472484,1.6995289451668876e-12,38.276846353646135
Chryseobacterium,R5,0.0154155460716585,0.00107848665072903,5.933333333333334,depletion,3473893814.345822,1.842031200809917e-12,41.486286804665134
Flavobacterium_A,R1,0.01802196080469134,0.0011986181924599,6.0633333333333335,depletion,952603788.2821238,7.629217655524876e-12,171.8254889565147
Flavobacterium_A,R2,0.01567720728141338,0.00213836650630877,6.216666666666667,depletion,2023287224.4946766,6.57025439589097e-12,147.97548387220408
Flavobacterium_A,R3,0.02416130472305527,0.00128073842831951,6.116666666666667,depletion,888365724.6710768,8.818271389434276e-12,198.60539594692494
Flavobacterium_A,R4,0.02351547306940147,0.00150600350882712,5.203333333333333,depletion,1230675099.0413585,6.36743057830714e-12,143.4074792350404
Flavobacterium_A,R5,0.02134249516371314,0.00149395526128402,6.166666666666667,depletion,1200655153.0329285,7.673080890861586e-12,172.81337817389556
Flavobacterium_B,R1,0.01610033938702341,0.00162419639662112,6.1466666666666665,depletion,419762688.64751494,2.378342363728867e-11,535.6510431417104
Flavobacterium_B,R2,0.0148048700529281,0.00210437422267767,5.776666666666666,depletion,457352216.54927164,2.6579664395318504e-11,598.6280687271152
Flavobacterium_B,R3,0.01418676802705085,0.0017838885985855,6.3,depletion,588836967.79295,1.908592494321856e-11,429.8538242883895
Flavobacterium_B,R4,0.01497899103177519,0.00188355084972967,6.526666666666666,depletion,403040637.4318641,3.050141202692137e-11,686.9537968410885
Flavobacterium_B,R5,0.0079724812945485,0.00158874793200477,6.26,depletion,605702412.0511879,1.6419881870157323e-11,369.80911521181247
Herbaspirillum,R1,0.01838774088062516,0.00104265515970884,5.883333333333333,depletion,2809032204.429867,2.183772705280198e-12,49.18300011835825
Herbaspirillum,R2,0.02254198431127584,8.540847119233447e-4,6.976666666666667,depletion,2517508380.371206,2.366889574884592e-12,53.307164230149695
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,6.423333333333333,depletion,2495921265.239381,2.0173540521011813e-12,45.43491378171252
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,5.66,depletion,2559007494.050646,1.990488740907129e-12,44.829852366464515
Herbaspirillum,R5,0.01984617204888009,9.225470256429326e-4,6.0633333333333335,depletion,3012820348.890671,1.85663580445742e-12,41.81521216451917
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,6.373333333333333,depletion,551109269.5065068,8.163079647388755e-12,183.8491461556091
Pseudomonas,R2,0.02125353060972634,0.00104179913355233,5.92,depletion,962899023.6032331,6.405085808012117e-12,144.25555154703457
Pseudomonas,R3,0.02530935956809623,0.00105711326126181,6.093333333333333,depletion,919174471.2268919,7.0077484455780696e-12,157.82873913339242
Pseudomonas,R4,0.01897503526471538,0.00161190660070288,6.193333333333333,depletion,1455051627.5081604,6.860976402225413e-12,154.5231343842667
Pseudomonas,R5,0.02272200698265882,0.00175463182406578,5.886666666666667,depletion,1577983495.7183516,6.545653170027914e-12,147.42141426065118
Serratia,R1,0.02082821024253651,0.00170691110656803,5.836666666666667,depletion,1428507555.0990891,6.9741816367066185e-12,157.07274636880405
Serratia,R2,0.02748035207063554,7.793635591074545e-4,5.746666666666667,depletion,447516314.8684761,1.0007998451752081e-11,225.40046766171804
Serratia,R3,0.02555768003607791,0.00137708026726946,5.78,depletion,1002288723.2357528,7.941348396219843e-12,178.85530768234864
Serratia,R4,0.02752262081406668,0.0011740583615552501,5.85,depletion,799346909.0622295,8.59231622369796e-12,193.5164263319636
Serratia,R5,0.02845516277322296,7.613613820133461e-4,5.633333333333333,depletion,519061899.50269395,8.26298839525257e-12,186.09929423472457
Yersinia,R1,0.04615722602419903,3.938695026567253e-4,6.19,depletion,359021501.6312518,6.790825090886155e-12,152.94318426145435
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,6.13,depletion,527417951.8324244,4.036238281819241e-12,90.90429027363753
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,6.123333333333333,depletion,574040249.8832228,4.979511079823073e-12,112.14871100647838
Yersinia,R4,0.03673333494154014,5.23000616042634e-4,6.28,depletion,783193995.4609091,4.1936530256655615e-12,94.44959027052138
Yersinia,R5,0.03601391928858849,6.020573164751897e-4,5.9,depletion,695936978.9042426,5.104108956527191e-12,114.95490845086834
Acinetobacter,R1,0.01943645649413162,0.00156154306180892,6.193333333333333,initial,421734872.5210763,2.293184018272821e-11,516.471652793453
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,5.876666666666667,initial,711101904.8548661,1.799634962221243e-11,405.3143733590727
Acinetobacter,R3,0.01494408464942784,0.00240637876372105,5.73,initial,573529879.7251325,2.4041555293910514e-11,541.4646927342193
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,6.14,initial,922812682.2198824,2.0495711199640086e-11,461.60507635266646
Acinetobacter,R5,0.01018491039079284,0.00306797048340179,5.656666666666666,initial,1002288723.2357528,1.7314857451203807e-11,389.96578444854475
Aeromonas_A,R1,0.02152182979085593,0.00113017978862392,6.29,initial,1043707086.5525527,6.811135961455899e-12,153.4006263511097
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,6.036666666666666,initial,1700222100.3114765,5.78746814634489e-12,130.34554641992963
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,6.013333333333334,initial,815334804.3419722,6.778049821050764e-12,152.65545921740244
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,6.086666666666667,initial,955186895.6103616,8.162749073473521e-12,183.84170095910454
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,6.35,initial,1421892716.3764207,8.677570443202261e-12,195.43652464523223
Aeromonas_B,R1,0.03054020779769078,8.464285681270882e-4,5.986666666666667,initial,743236081.9994738,6.817868261843109e-12,153.55225144008546
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,5.85,initial,1135960310.9156861,4.383278708977534e-12,98.72034609699821
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,5.726666666666667,initial,811232923.9099858,5.314506704452578e-12,119.69349339429947
