Taxon,median_dt_min,within_sd_logR,within_sd_logR_if_indep,within_sd_logG,observed_sd_logR_replicates,ratio_observed_over_within
Acinetobacter,130.02,0.0032103260165188435,0.0072440175024473755,0.0035008661012688896,0.10653018722798697,33.18360399530522
Aeromonas_A,130.03,0.005573334135191815,0.012226110301868832,0.0037274088178322626,0.1733780511190079,31.108497519329298
Aeromonas_B,114.00000000000001,0.006336624642426824,0.015639580978165236,0.003949407169805191,0.09271485818898649,14.631584387721947
Arthrobacter,112.00000000000001,0.0032654141595427136,0.008670018581591927,0.002727147599644613,0.17295337747575434,52.9652194256347
Bacillus,113.03,0.003519736139357807,0.010321196607807864,0.002402824364666375,0.42404632311346996,120.47673641548576
Burkholderia,128,0.0038332792467254784,0.009708502483311475,0.0031228975873532,0.07712948310096578,20.121018620506838
Buttiauxella,124.00000000000001,0.003420000511804097,0.009166131649010362,0.0030467362722605904,0.09280881502838834,27.13707635658523
Chromobacterium,117.01000000000002,0.004231953732265107,0.010721499716970197,0.002999767210488829,0.12121183273414925,28.64205055220959
Chryseobacterium,145.03,0.0035064384482191117,0.00881933183062583,0.003376516375842446,0.07794088061832023,22.227933491291054
Flavobacterium_A,125.03,0.004236401408356146,0.010053836426089454,0.0032719266723050602,0.1318823750746084,31.130755176899733
Flavobacterium_B,137,0.00333490431797846,0.00748234754453632,0.0031680904521909866,0.2496491803612301,74.85947318349497
Herbaspirillum,137,0.0027581252920429126,0.008016676460961698,0.0023552682635798313,0.0933000615183948,33.82734707069398
Pseudomonas,131.03,0.003533062767817276,0.00968611189689449,0.002702901437342822,0.0953066253897966,26.975638887015013
Serratia,121.01000000000002,0.003903399218138735,0.010393183010312782,0.002553224232457354,0.13084002935165256,33.51951005770843
Yersinia,113.01000000000002,0.0018665370579075777,0.007804796028233402,0.0014438021589987713,0.20617392875903523,110.45798843670427
