Taxon,Replicate,r_per_minute,K,G_C_fg_cell_h,N0_cells_per_L,N0_fixed_taxon,R_default,R_fixed_tax,R_fixed_all
Acinetobacter,R1,0.01943645649413162,0.00156154306180892,100.36593517148388,488279377.303928,793437448.4545826,446.0850012840488,274.5195693445574,177.09566159292564
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,73.2979205977912,793951332.1058424,793437448.4545826,363.01950926416606,363.25462520337686,234.33964409414756
Acinetobacter,R3,0.01494408464942784,0.00240637876372105,77.16823442454621,663249486.0142416,793437448.4545826,468.2192548168737,391.39339932105395,252.49228374268677
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,69.81511307064363,998117702.4232156,793437448.4545826,426.778342475184,536.8728429254386,346.3427089593763
Acinetobacter,R5,0.01018491039079284,0.00306797048340179,52.59281990615532,1023589344.4256854,793437448.4545826,381.85070050710976,492.6138903096328,317.7907608646732
Aeromonas_A,R1,0.02152182979085593,0.00113017978862392,87.12751224087538,989117443.7136704,1284712449.1792827,161.86684586527386,124.62346800370314,130.17502928646536
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,80.58550772897215,1936802521.3077583,1284712449.1792827,114.42383839458368,172.50270972458912,180.18713208755966
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,99.72939638700127,865850812.3772415,1284712449.1792827,143.74913922067972,96.88184235489221,101.1976064211282
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,87.52289008280475,1008269121.774202,1284712449.1792827,174.16300849703282,136.68676109975948,142.77570199462403
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,70.42061327607816,1623522346.723541,1284712449.1792827,171.16473417676744,216.3050347060168,225.94070505909002
Aeromonas_B,R1,0.03054020779769078,8.464285681270882e-4,123.63690051404114,902988834.262247,815072849.7013206,126.38647280258915,140.0188630799663,92.79079439484474
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,115.92807851552816,1023477395.362394,815072849.7013206,109.56997736754386,137.58573247427427,91.17835363649036
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,137.4380474782327,740667400.8267047,815072849.7013206,131.09703830745025,119.12960007788223,78.94743596692192
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,145.172698289444,869647908.7671227,815072849.7013206,136.85289563660882,146.0161929608061,96.76523749236684
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,144.8506943442472,538582709.2881347,815072849.7013206,137.395947308033,90.78830385957133,60.16559948839856
