dataset,n,m_intercept,m_lo,m_hi,m_p,slope_inv_Y,slope_lo,slope_hi,slope_p,Y,Y_lo,Y_hi,r_squared,G_min,G_max,extrapolation_ranges_to_zero,G_min_over_G_max,corr_G_R
"Pseudomonas, N0 default (exp(45r))",24,8.571327154998995,4.856798458798413,12.285855851199578,8.867822967039931e-5,-2.096762104356096,-5.60339502815177,1.4098708194395786,0.22801898555272557,NA,0.7092848410023114,NA,0.06533070488146457,0.4055764966091578,1.5133129605200448,0.36613085316092364,0.2680056982197409,-0.25559871846600585
"Pseudomonas, N0 fixed (no r)",24,6.409467068994555,0.03548636338986899,12.783447774599242,0.04884366355299897,7.503886745196488,1.486646759737825,13.521126730655151,0.01685043128459053,0.1332642714310869,0.07395833349692642,0.6726547469664907,0.2331477524511013,0.4055764966091578,1.5133129605200448,0.36613085316092364,0.2680056982197409,0.4828537588660784
