quantity,n,T_peak_C,E_eV,E_lo,E_hi,p,r_squared
E_r  (growth rate r),16,32,0.6034217670608425,0.5606058846766462,0.6462376494450388,3.7590678444713764e-14,0.9849088027123577
"E_K  (K, normalised)",20,36,0.8518680690264985,0.7509124552355574,0.9528236828174396,7.641168975385563e-13,0.945827269081212
"E_K  (K * O2_ref, physical)",20,36,0.6948474310807753,0.6039919028345422,0.7857029593270084,4.058391822276256e-12,0.9348213927357498
E_K - E_r  (physical K),24,NA,0.0914256640199328,0.017529668563754347,0.294742459849263,NA,NA
