Taxon,n,median_r,median_K_O2ref,median_ratio_phys,rank_best_balance
Yersinia,5,0.0381862786006876,0.0028584397845579134,0.07378947615568388,1
Aeromonas_B,5,0.03394930244807805,0.0049792306450802265,0.147360483224774,2
Serratia,5,0.02748035207063554,0.0068682414150982125,0.24954896052587722,3
Herbaspirillum,5,0.02169290408519785,0.005593710132148315,0.26433628281803867,4
Chromobacterium,5,0.02522617126544078,0.007359678166587451,0.28033216645437764,5
Pseudomonas,5,0.02272200698265882,0.006441343471955296,0.2901847690099713,6
Bacillus,5,0.02672952707892209,0.007539925159271812,0.29427158772190315,7
Chryseobacterium,5,0.01577081633140894,0.005122929316780508,0.3275944057452683,8
Aeromonas_A,5,0.02152182979085593,0.007796950947137528,0.36064446674308953,9
Arthrobacter,5,0.0243928703356261,0.009677725211798185,0.39103640029457615,10
Buttiauxella,5,0.02164406271296873,0.008806815337789214,0.39421216906399836,11
Flavobacterium_A,5,0.02134249516371314,0.007836238257597114,0.4032647567622058,12
Burkholderia,5,0.02090622489729856,0.009397996479899416,0.42098688512020993,13
Flavobacterium_B,5,0.0148048700529281,0.01123849817108865,0.8207033784735104,14
Acinetobacter,5,0.01419457550388129,0.013788550316121619,0.9226761383909544,15
