Taxon,Temperature,Replicate,r_per_minute,r_hr,K,O2_ref,K_O2ref,ratio_K_r,ratio_phys
Pseudomonas,20,R1,0.00954414473096279,0.5726486838577678,0.00137614821796345,7.15,0.009839459758438668,0.1441876937908325,1.0309420106044522
Pseudomonas,20,R2,0.00967117154206474,0.5802702925238846,0.00126722645261647,7.7,0.009757643685146818,0.13103132822168143,1.008941227306947
Pseudomonas,20,R3,0.00954182313251489,0.5725093879508935,0.00146067060426748,7.263333333333334,0.01060933748899613,0.15308087186085775,1.1118773992826967
Pseudomonas,20,R4,0.00956978048516784,0.5741868291100708,0.0013432667502464,7.15,0.009604357264261761,0.14036547153075488,1.0036131214448973
Pseudomonas,24,R1,0.01348438699820312,0.8090632198921877,0.00132341436475659,7.75,0.010256461326863572,0.09814419928269215,0.7606175444408642
Pseudomonas,24,R2,0.01356647634608539,0.8139885807651237,0.0017688430229445,6.996666666666667,0.012376005017201685,0.13038337869176325,0.9122490395800369
Pseudomonas,24,R3,0.01356957957490735,0.8141747744944414,0.0013729755037326,7.223333333333334,0.009917459721961813,0.10118040106942476,0.7308597637248115
Pseudomonas,24,R4,0.01398650402381639,0.8391902414289837,0.00145281865752332,7.03,0.01021331516238894,0.10387289454530185,0.7302264486534721
Pseudomonas,28,R1,0.01752403031118602,1.0514418186711616,0.00349821758134638,6.593333333333334,0.0230649145863438,0.19962403164261713,1.3161877819636556
Pseudomonas,28,R2,0.01970987455427995,1.182592473256797,0.00302533142724225,6.52,0.019725160905619467,0.15349318530215134,1.0007755681700266
Pseudomonas,28,R3,0.01908724794757671,1.1452348768546026,0.00325539302828602,6.61,0.02151814791697059,0.17055329491328372,1.1273572793768054
Pseudomonas,28,R4,0.02053606266685692,1.2321637600114157,0.00308863375987287,6.723333333333334,0.02076591431221193,0.15040048377226686,1.011192585895541
Pseudomonas,32,R1,0.02379084989388824,1.4274509936332949,0.00459884942339724,5.943333333333333,0.0273324950730576,0.19330328441014052,1.148865853677602
Pseudomonas,32,R2,0.02341609157960146,1.4049654947760877,0.00484683198547889,6.3533333333333335,0.030793539214409214,0.20698723222030474,1.3150588820396694
Pseudomonas,32,R3,0.024690720974527212,1.4814432584716328,0.00463576746921008,5.806666666666667,0.026918356437879865,0.18775342664123432,1.0902215640301005
Pseudomonas,32,R4,0.02522188267533408,1.5133129605200448,0.00416915701428005,5.83,0.024306185393252692,0.16529919942722224,0.9636943326607057
Pseudomonas,36,R1,0.02316419309461523,1.389851585676914,0.00714033420239632,5.406666666666667,0.038605406920956105,0.3082487774657762,1.6665983901649635
Pseudomonas,36,R2,0.02516527096767308,1.5099162580603849,0.00648073834566715,5.476666666666667,0.035492843673103756,0.2575270639442828,1.410389886868189
Pseudomonas,36,R3,0.02400721962039688,1.4404331772238128,0.00681956769524196,5.256666666666667,0.035848194184655235,0.2840632027812149,1.4932255692865863
Pseudomonas,36,R4,0.02298039846566101,1.378823907939661,0.00701013491705643,5.366666666666667,0.037621057388202844,0.3050484493352666,1.6370933447659308
Pseudomonas,40,R1,0.00895045291505287,0.5370271749031724,0.00578342938579194,5.333333333333333,0.030844956724223677,0.6461605284873763,3.4461894852660064
Pseudomonas,40,R2,0.00744663678032593,0.446798206819556,0.00570201043481073,5.706666666666667,0.032539472881319906,0.7657162022291035,4.369687127387418
Pseudomonas,40,R3,0.00675960827681929,0.4055764966091578,0.00547148564886049,5.116666666666666,0.027995768236669508,0.8094382728691313,4.141625829513721
Pseudomonas,40,R4,0.00839130293445056,0.5034781760670339,0.00571827188122494,5.276666666666666,0.03017341462659693,0.6814522042516817,3.5957961311013737
