Temperature,Replicate,r_per_minute,CUE_45,CUE_0,CUE_10
20,R1,0.00954414473096279,0.12852835239966068,0.08758219161319625,0.09551530598613281
20,R2,0.00967117154206474,0.1316159181361852,0.08932140636980324,0.09750696676393605
20,R3,0.00954182313251489,0.12028698963740626,0.08172797596791978,0.08918076531915359
20,R4,0.00956978048516784,0.1316996357581833,0.0897530459893716,0.09788433911016961
24,R1,0.01348438699820312,0.19268995642977313,0.11512552455223005,0.12959111287409888
24,R2,0.01356647634608539,0.166489552973367,0.09786235928823357,0.11051018721447355
24,R3,0.01356957957490735,0.19958620245902778,0.11925399130716607,0.13425866605111403
24,R4,0.01398650402381639,0.2027403853126235,0.11934507506833096,0.1348451137429684
28,R1,0.01752403031118602,0.1419478044698297,0.0699285841422555,0.08222094720794468
28,R2,0.01970987455427995,0.1935855507044832,0.08998462823153809,0.10748194265971758
28,R3,0.01908724794757671,0.17164727568391847,0.08069631793992882,0.0960373305456223
28,R4,0.02053606266685692,0.19780739059395763,0.08914026491410289,0.10728130169207382
32,R1,0.02379084989388824,0.20081082898959407,0.07930536757552935,0.09850793758877993
32,R2,0.02341609157960146,0.17752528569438886,0.06998441254560947,0.08684601699329522
32,R3,0.024690720974527212,0.2161329215843601,0.08321630103752709,0.10409587064481075
32,R4,0.02522188267533408,0.24212184646201362,0.09312463671537964,0.1167217449279765
36,R1,0.02316419309461523,0.14412500315169094,0.056049842680440706,0.06964274725513941
36,R2,0.02516527096767308,0.1788032991216217,0.06556417317853439,0.08277241002850687
36,R3,0.02400721962039688,0.16332944779865363,0.0621531036586862,0.07770727635646903
36,R4,0.02298039846566101,0.14531219647303026,0.05700243661688489,0.07068819711976654
40,R1,0.00895045291505287,0.04118807733886083,0.027913984633022082,0.030448054276902996
40,R2,0.00744663678032593,0.030690222758816492,0.02214523567676999,0.02381648964342986
40,R3,0.00675960827681929,0.031372347809570156,0.02333622020443613,0.024927512384764074
40,R4,0.00839130293445056,0.03859755540386715,0.026783702054483733,0.029060063719835435
