Taxon,Replicate,FC_Initial,FC_Final,drawdown_total_mgL,drawdown_post_mgL,biomass_C_fg_per_L,respired_C_fg_per_L,CUE_massbalance,CUE_kinetic,ratio_mb_over_kin,frac_O2_post_window,frac_time_post_window,physically_impossible
Acinetobacter,R1,83,596,4.7299999999999995,2.0599999999999996,452767514636.79,1775486905431.589,0.2031938142067708,0.18366870376779224,1.106306137291978,0.43551797040169127,0.21317632727641864,FALSE
Acinetobacter,R2,115,549,4.706666666666666,1.9833333333333332,383043082558.22,1766728337187.7405,0.17817851658083925,0.1679921900460894,1.0606357148624301,0.42138810198300286,0.1573444320373566,FALSE
Acinetobacter,R3,89,438,4.583333333333333,3.013333333333333,308023123992.67,1720433047898.827,0.15185101273617574,0.14149249102116296,1.0732089854398243,0.6574545454545455,0.22840320779616283,FALSE
Acinetobacter,R4,77,493,4.573333333333333,1.4033333333333333,367156503097.27997,1716679375794.3203,0.1761926199737821,0.14058806512845962,1.2532544623385315,0.30685131195335275,0.09643690995837985,FALSE
Acinetobacter,R5,105,407,4.2299999999999995,1.21,266541499844.66,1587803300206.2627,0.14373890974178075,0.12105789920891516,1.1873567167535588,0.2860520094562648,0.10151253679829458,FALSE
Aeromonas_A,R1,216,1802,5.083333333333333,3.45,1097407574936.92,1908116653124.1533,0.365130170867024,0.3499176162205727,1.0434746750128234,0.678688524590164,0.2830197576271985,FALSE
Aeromonas_A,R2,213,2321,5.093333333333334,2.04,1458597205527.76,1911870325228.6602,0.43275812397469177,0.41323920791936836,1.0472339402487965,0.40052356020942403,0.1745650021219408,FALSE
Aeromonas_A,R3,155,2183,4.876666666666667,2.03,1403242472870.16,1830540762964.352,0.4339321378503091,0.4096024158273076,1.0593983850750996,0.416267942583732,0.16041872966473325,FALSE
Aeromonas_A,R4,173,1635,4.88,3.32,1011607739317.64,1831791986999.1873,0.35577401585672136,0.33445780058378827,1.0637336466236582,0.680327868852459,0.26415806101758843,FALSE
Aeromonas_A,R5,189,1468,4.983333333333333,3.41,884983788363.38,1870579932079.0881,0.3211625199584482,0.2914937268280452,1.1017819266755777,0.6842809364548496,0.20757297118875834,FALSE
Aeromonas_B,R1,155,3043,4.66,3.1999999999999997,1998305848939.36,1749211200700.0435,0.5332346250783949,0.49450136950783014,1.0783279035387008,0.686695278969957,0.27408384935539537,FALSE
Aeromonas_B,R2,146,3193,4.609999999999999,3.15,2108323380096.34,1730442840177.5107,0.5492190092122714,0.5140979067936647,1.0683159801946105,0.683297180043384,0.2588569688356512,FALSE
Aeromonas_B,R3,127,3128,4.753333333333333,3.33,2076494408818.22,1784245473675.4377,0.5378488248415765,0.511806667929872,1.050882801150361,0.7005610098176719,0.299461983554969,FALSE
Aeromonas_B,R4,128,3408,4.553333333333334,3.46,2269544038961.6,1709172031585.3074,0.5704212109434672,0.514750084446266,1.1081517578711784,0.7598828696925328,0.28931072987513956,FALSE
Aeromonas_B,R5,138,3103,4.61,4.056666666666667,2051584779122.3,1730442840177.5112,0.5424563185771027,0.5132060863374208,1.056995100055089,0.8799710773680405,0.3096132372347985,FALSE
Arthrobacter,R1,204,1985,4.823333333333333,2.02,1441576415083.35,1810521178406.9836,0.44327587768858107,0.41834405523241186,1.0595964545075662,0.4187975120939876,0.2537813419957365,FALSE
Arthrobacter,R2,186,2028,4.726666666666667,1.39,1490951014364.7,1774235681396.7537,0.4566204487786585,0.4300731609468441,1.0617273762756276,0.2940761636107193,0.18779819307684498,FALSE
Arthrobacter,R3,202,1820,4.863333333333333,3.82,1309641010446.3,1825535866825.0098,0.4177247605838882,0.38822718896828085,1.0759801797859587,0.7854694996572995,0.3400669982742869,FALSE
Arthrobacter,R4,231,2923,4.666666666666667,1.9566666666666666,2178957725662.2,1751713648769.7146,0.5543474684339686,0.5119917959171422,1.08272724847271,0.41928571428571426,0.21825195411633336,FALSE
Arthrobacter,R5,201,2342,5.36,3.6100000000000003,1732967492809.35,2011968248015.501,0.4627495937827896,0.4160392058033483,1.1122740052568993,0.6735074626865671,0.27408384935539537,FALSE
Bacillus,R1,11,175,4.726666666666667,2.73,185753112136.24002,1774235681396.7537,0.09477253785793807,0.08320631282625915,1.1390065806164256,0.577574047954866,0.3490356957608336,FALSE
Bacillus,R2,17,164,4.9,2.64,166498216366.02002,1839299331208.2004,0.08300848536153627,0.07810930147024078,1.0627221572729344,0.5387755102040817,0.297166030084406,FALSE
Bacillus,R3,12,99,4.96,2.04,98539760706.42,1861821363835.2395,0.05026612672165645,0.04879781820170381,1.0300896346202086,0.4112903225806452,0.22643466779836838,FALSE
Bacillus,R4,11,135,4.85,2.19,140447475029.84,1820530970685.6677,0.07162112125031263,0.06297419554863565,1.1373090299343145,0.4515463917525773,0.19814212288395333,FALSE
Bacillus,R5,34,261,4.8566666666666665,2.57,257109490578.82,1823033418755.3386,0.12360183977028733,0.11747612434125855,1.0521443439113982,0.5291695264241593,0.3207431508464186,FALSE
Burkholderia,R1,296,2201,4.543333333333333,2.1233333333333335,1415374839685.35,1705418359480.8005,0.4535304806686731,0.408291006332895,1.110802034906673,0.46735143066764495,0.20302507359658917,FALSE
Burkholderia,R2,283,2020,4.6033333333333335,1.96,1290554381382.3901,1727940392107.84,0.4275489865732468,0.40953151761888057,1.043995317037195,0.4257784214337436,0.13704192467769769,FALSE
Burkholderia,R3,273,2360,5.083333333333333,2.1533333333333333,1550597002846.8901,1908116653124.1533,0.44831609583232634,0.4119456224501644,1.0882895008468305,0.4236065573770492,0.1218150441579535,FALSE
Burkholderia,R4,215,2086,4.67,1.95,1390113556457.37,1752964872804.55,0.44227771840354824,0.4197202712044439,1.0537440022479083,0.41755888650963596,0.1218150441579535,FALSE
Burkholderia,R5,236,2538,4.55,2.54,1710337470317.9402,1707920807550.4717,0.5003534932955644,0.4545979499439689,1.1006505712514434,0.5582417582417583,0.12689067099786824,FALSE
Buttiauxella,R1,224,2494,4.75,2.63,1686562144926.9001,1782994249640.6023,0.4861031074657423,0.4606542543541385,1.0552450191679754,0.5536842105263158,0.20302507359658917,FALSE
