Temperature,Replicate,r_per_minute,expfac_11,expfac_cfg,expfac_10min
20,R1,0.00954414473096279,1.5364683642592007,1,1.100144403733385
20,R2,0.00967117154206474,1.5452762846721138,1,1.1015427700490017
20,R3,0.00954182313251489,1.5363078548280749,1,1.1001188630944598
20,R4,0.00956978048516784,1.5382418706687901,1,1.1004264702020152
24,R1,0.01348438699820312,1.8345466888134634,1,1.1443581017518294
24,R2,0.01356647634608539,1.8413360745189284,1,1.1452978835325893
24,R3,0.01356957957490735,1.841593226396517,1,1.1453334252980765
24,R4,0.01398650402381639,1.876470617015014,1,1.1501185686544384
28,R1,0.01752403031118602,2.200272824921314,1,1.191532511182562
28,R2,0.01970987455427995,2.4277001161986433,1,1.2178642934393118
28,R3,0.01908724794757671,2.3606243936885782,1,1.2103051034989227
28,R4,0.02053606266685692,2.5196570979146253,1,1.2279678230683324
32,R1,0.02379084989388824,2.9170949625537035,1,1.2685931098984542
32,R2,0.02341609157960146,2.868313197952614,1,1.2638478489283365
32,R3,0.024690720974527212,3.037644695326955,1,1.2800603301433187
32,R4,0.02522188267533408,3.1111260057500294,1,1.2868776097252088
36,R1,0.02316419309461523,2.8359832125966986,1,1.2606682417168444
36,R2,0.02516527096767308,3.103210415603136,1,1.2861492925106939
36,R3,0.02400721962039688,2.945636382570925,1,1.271340932997497
36,R4,0.02298039846566101,2.812624212373384,1,1.2583533291937354
40,R1,0.00895045291505287,1.4959633508800638,1,1.0936322865263826
40,R2,0.00744663678032593,1.3980783059946515,1,1.077309110641003
40,R3,0.00675960827681929,1.3555162423764482,1,1.069933056789181
40,R4,0.00839130293445056,1.458791906742848,1,1.087534306124233
