Taxon,n,CUE_massbalance,CUE_kinetic,ratio,frac_O2_post_window,n_impossible
Flavobacterium_B,5,0.08819501639345766,0.07248299744106139,1.0167854980384345,0.43950039032006255,0
Aeromonas_A,5,0.365130170867024,0.3499176162205727,1.0593983850750996,0.678688524590164,0
Bacillus,5,0.08300848536153627,0.07810930147024078,1.0627221572729344,0.5291695264241593,0
Chromobacterium,5,0.3752154619425057,0.35251785309736533,1.0645049331924612,0.5300136425648022,0
Aeromonas_B,5,0.5424563185771027,0.5132060863374208,1.0683159801946105,0.7005610098176719,0
Yersinia,5,0.5870677677297427,0.5508493791112344,1.0687432395088836,0.1981132075471698,0
Serratia,5,0.3278756199886231,0.30374396415750865,1.0724254794212318,0.5276381909547739,0
Arthrobacter,5,0.4566204487786585,0.41834405523241186,1.0759801797859587,0.41928571428571426,0
Flavobacterium_A,5,0.2989359177798031,0.27767128061587887,1.0770650024411221,0.5361947469570787,0
Buttiauxella,5,0.45016472952336295,0.41550877557056687,1.080876740528132,0.43049327354260086,0
Burkholderia,5,0.44831609583232634,0.4119456224501644,1.0882895008468305,0.4257784214337436,0
Pseudomonas,5,0.40585082633441416,0.37361053587587567,1.0975715261128731,0.4355524079320113,0
Acinetobacter,5,0.1761926199737821,0.14149249102116296,1.106306137291978,0.42138810198300286,0
Herbaspirillum,5,0.7377842362009377,0.6735384167365073,1.117435701825684,0.37937062937062915,0
Chryseobacterium,5,0.6770198833301051,0.5317664843708829,1.2615505247790957,0.4426605504587158,0
