Temperature,median_r,median_expfac_45min,median_expfac_10min
20,0.009556962608065316,1.5373551174639954,1.1002854369677002
24,0.01356802796049637,1.8414646504577226,1.145315654415333
28,0.01939856125092833,2.394162254943611,1.2140846984691174
32,0.024240785434207726,2.977369828940329,1.2743267200208863
36,0.023585706357506054,2.890809797583812,1.2660045873571706
40,0.007918969857388245,1.4284351063687497,1.082421708382618
