Taxon,Replicate,N_inoculation_cells_per_L,delta_Ninoc_to_N0_min
Acinetobacter,R1,15413057,51.05
Acinetobacter,R2,33483653,52.05
Acinetobacter,R3,23045880,60.05
Acinetobacter,R4,34342088,72.05
Acinetobacter,R5,54700705,58.05
Aeromonas_A,R1,32134110,54.07
Aeromonas_A,R2,48716951,62.07
Aeromonas_A,R3,17854002,61.07
Aeromonas_A,R4,26830311,58.07
Aeromonas_A,R5,40011141,72.07
Aeromonas_B,R1,16898702,48.03
Aeromonas_B,R2,22494133,56.05
Aeromonas_B,R3,12338388,55.05
Aeromonas_B,R4,9844644,62.05
Aeromonas_B,R5,5309168,57.05
Arthrobacter,R1,33084238,55.05
Arthrobacter,R2,24255554,62.05
Arthrobacter,R3,39580987,62.05
Arthrobacter,R4,37985906,65.05
Arthrobacter,R5,21238159,69.05
Bacillus,R1,319957,53.07
Bacillus,R2,1563287,57.07
Bacillus,R3,977697,65.07
Bacillus,R4,707334,75.07
Bacillus,R5,4767135,55.07
Burkholderia,R1,31601987,58.05
Burkholderia,R2,46402812,60.05
Burkholderia,R3,38353481,63.05
Burkholderia,R4,36426001,65.05
Burkholderia,R5,32947740,74.05
Buttiauxella,R1,46386233,52.05
Buttiauxella,R2,33793150,54.05
Buttiauxella,R3,32698340,57.05
Buttiauxella,R4,60239821,63.05
Buttiauxella,R5,39441022,63.05
Chromobacterium,R1,20082036,61.07
Chromobacterium,R2,16653513,65.07
Chromobacterium,R3,13556189,65.07
Chromobacterium,R4,21110857,71.07
Chromobacterium,R5,18409824,63.07
Chryseobacterium,R1,109711088,61.07
Chryseobacterium,R2,76002923,71.07
Chryseobacterium,R3,68041887,74.07
Chryseobacterium,R4,81628203,72.07
Chryseobacterium,R5,98586414,81.07
Flavobacterium_A,R1,41245194,48.07
Flavobacterium_A,R2,70029080,57.07
Flavobacterium_A,R3,17983097,62.07
Flavobacterium_A,R4,24788014,67.07
Flavobacterium_A,R5,23088252,71.07
Flavobacterium_B,R1,17428615,46.03
Flavobacterium_B,R2,18062561,55.05
Flavobacterium_B,R3,24494749,59.05
Flavobacterium_B,R4,16721759,59.05
Flavobacterium_B,R5,33254709,74.05
Herbaspirillum,R1,97727918,56.05
Herbaspirillum,R2,52945749,68.05
Herbaspirillum,R3,48742882,80.05
Herbaspirillum,R4,72386473,63.05
Herbaspirillum,R5,89219010,63.05
Pseudomonas,R1,13073091,54.07
Pseudomonas,R2,27916961,60.07
Pseudomonas,R3,14102413,70.07
Pseudomonas,R4,38993340,66.07
Pseudomonas,R5,25520928,70.07
Serratia,R1,47091168,55.07
Serratia,R2,11330259,52.07
Serratia,R3,23318502,52.07
Serratia,R4,6180887,57.07
Serratia,R5,11502768,54.07
Yersinia,R1,2755858,54.07
Yersinia,R2,7896483,55.07
Yersinia,R3,5902772,55.07
Yersinia,R4,2593044,59.07
Yersinia,R5,7257969,53.07
