Taxon,Replicate,OD_Initial,OD_Final,FC_Initial,FC_Final
Acinetobacter,R1,0.00064,0.00456,94,596
Acinetobacter,R2,0.00067,0.00446,94,549
Acinetobacter,R3,0.00124,0.00606,94,438
Acinetobacter,R4,0.00074,0.00496,94,493
Acinetobacter,R5,0.00083,0.00406,94,407
Aeromonas_A,R1,0.0022,0.01662,189,1802
Aeromonas_A,R2,0.00245,0.01952,189,2321
Aeromonas_A,R3,0.00158,0.02712,189,2183
Aeromonas_A,R4,0.0023,0.01842,189,1635
Aeromonas_A,R5,0.00224,0.02012,189,1468
Aeromonas_B,R1,0.00184,0.02666,139,3043
Aeromonas_B,R2,0.00203,0.02446,139,3193
Aeromonas_B,R3,0.00233,0.03896,139,3128
Aeromonas_B,R4,0.00209,0.03466,139,3408
Aeromonas_B,R5,0.00217,0.03986,139,3103
Arthrobacter,R1,0.00114,0.01876,205,1985
Arthrobacter,R2,0.00184,0.02916,205,2028
Arthrobacter,R3,0.00104,0.01886,205,1820
Arthrobacter,R4,0.00104,0.01866,205,2923
Arthrobacter,R5,0.00104,0.01866,205,2342
Bacillus,R1,0.0007,0.00982,17,175
Bacillus,R2,0.0008,0.00932,17,164
Bacillus,R3,0.0006,0.00912,17,99
Bacillus,R4,0.0006,0.00802,17,135
Bacillus,R5,0.0008,0.00902,17,261
Burkholderia,R1,0.00134,0.01726,261,2201
Burkholderia,R2,0.00144,0.02006,261,2020
Burkholderia,R3,0.00124,0.01816,261,2360
Burkholderia,R4,0.00134,0.02086,261,2086
Burkholderia,R5,0.00114,0.02226,261,2538
Buttiauxella,R1,0.00124,0.01476,227,2494
Buttiauxella,R2,0.00145,0.01926,227,2381
Buttiauxella,R3,0.00166,0.02856,227,2081
Buttiauxella,R4,0.00188,0.01816,227,2156
Buttiauxella,R5,0.00245,0.01996,227,2073
Chromobacterium,R1,0.0024,0.01672,130,1466
Chromobacterium,R2,0.002,0.02022,130,2092
Chromobacterium,R3,0.0018,0.02142,130,1526
Chromobacterium,R4,0.0022,0.01892,130,1376
Chromobacterium,R5,0.002,0.01902,130,1599
Chryseobacterium,R1,0.00076,0.00602,262,2913
Chryseobacterium,R2,0.00085,0.00852,262,2688
Chryseobacterium,R3,0.00069,0.00692,262,2343
Chryseobacterium,R4,0.00086,0.00802,262,2315
Chryseobacterium,R5,0.00087,0.00702,262,2593
Flavobacterium_A,R1,0.0024,0.01242,183,1388
Flavobacterium_A,R2,0.0028,0.01962,183,1539
Flavobacterium_A,R3,0.0032,0.03322,183,1613
Flavobacterium_A,R4,0.0029,0.03272,183,1881
Flavobacterium_A,R5,0.0024,0.02852,183,1688
Flavobacterium_B,R1,0.0007,0.00296,99,416
Flavobacterium_B,R2,0.0006,0.00336,99,334
Flavobacterium_B,R3,0.0008,0.00376,99,401
Flavobacterium_B,R4,0.0004,0.00146,99,320
Flavobacterium_B,R5,0.0012,0.00396,99,160
Herbaspirillum,R1,0.00194,0.01996,332,3661
Herbaspirillum,R2,0.00074,0.01146,332,4497
Herbaspirillum,R3,0.00094,0.01316,332,3962
Herbaspirillum,R4,0.00102,0.01536,332,5201
Herbaspirillum,R5,0.00088,0.01266,332,4455
Pseudomonas,R1,0.00342,0.01992,141,1812
Pseudomonas,R2,0.00444,0.01422,141,1881
Pseudomonas,R3,0.00324,0.01692,141,2069
Pseudomonas,R4,0.00533,0.02032,141,1705
Pseudomonas,R5,0.00446,0.01742,141,2007
Serratia,R1,0.00206,0.01962,139,1732
Serratia,R2,0.00134,0.02152,139,1471
Serratia,R3,0.00144,0.02012,139,1801
Serratia,R4,0.00094,0.01502,139,1797
Serratia,R5,0.00074,0.01682,139,1826
Yersinia,R1,0.0032,0.08882,108,3882
Yersinia,R2,0.004,0.09562,108,5428
Yersinia,R3,0.005,0.09982,108,4459
Yersinia,R4,0.0037,0.08552,108,5032
Yersinia,R5,0.0026,0.07042,108,3833
