tree,method,Taxon,n,bias
committed,r_FC,Acinetobacter,5,-1.2432809355119025e-4
committed,r_FC,Aeromonas_A,5,0.0012944238205574103
committed,r_FC,Aeromonas_B,5,-0.0010362112880071138
committed,r_FC,Arthrobacter,5,-7.625655733200058e-4
committed,r_FC,Bacillus,5,0.002688638343997147
committed,r_FC,Burkholderia,5,0.002433606310928018
committed,r_FC,Buttiauxella,5,-1.2093953618937388e-4
committed,r_FC,Chromobacterium,5,-2.9637649041019972e-5
committed,r_FC,Chryseobacterium,5,-4.4751049671048375e-4
committed,r_FC,Flavobacterium_A,5,8.356474822824825e-4
committed,r_FC,Flavobacterium_B,5,0.004278755469279106
committed,r_FC,Herbaspirillum,5,5.247688891415178e-4
committed,r_FC,Pseudomonas,5,5.310707334653393e-4
committed,r_FC,Serratia,5,-4.700557453176171e-4
committed,r_FC,Yersinia,5,-0.0023707787597396805
committed,r_OD600,Acinetobacter,5,-0.0011269577553102178
committed,r_OD600,Aeromonas_A,5,0.001748543256505547
committed,r_OD600,Aeromonas_B,5,0.0032211297356364377
committed,r_OD600,Arthrobacter,5,-0.005783501146670441
committed,r_OD600,Bacillus,5,4.125613374827468e-4
committed,r_OD600,Burkholderia,5,-0.0024926166766606438
committed,r_OD600,Buttiauxella,5,-0.0017684215887006061
committed,r_OD600,Chromobacterium,5,0.0028511936932018402
committed,r_OD600,Chryseobacterium,5,2.004352802626879e-4
committed,r_OD600,Flavobacterium_A,5,0.001359335255716372
committed,r_OD600,Flavobacterium_B,5,0.0019147847343894506
committed,r_OD600,Herbaspirillum,5,1.824472410690122e-4
committed,r_OD600,Pseudomonas,5,0.01025708061536158
committed,r_OD600,Serratia,5,-0.001903058105161222
committed,r_OD600,Yersinia,5,0.003814611753854999
modular,r_FC,Acinetobacter,5,-1.2432809355119025e-4
modular,r_FC,Aeromonas_A,5,0.0012944238205574103
modular,r_FC,Aeromonas_B,5,-0.0010362112880071138
modular,r_FC,Arthrobacter,5,-7.625655733200058e-4
modular,r_FC,Bacillus,5,0.002688638343997147
modular,r_FC,Burkholderia,5,0.002433606310928018
modular,r_FC,Buttiauxella,5,-1.2093953618937388e-4
modular,r_FC,Chromobacterium,5,-2.9637649041019972e-5
modular,r_FC,Chryseobacterium,5,-4.4751049671048375e-4
modular,r_FC,Flavobacterium_A,5,8.356474822824825e-4
modular,r_FC,Flavobacterium_B,5,0.004278755469279106
modular,r_FC,Herbaspirillum,5,5.247688891415178e-4
modular,r_FC,Pseudomonas,5,5.310707334653393e-4
modular,r_FC,Serratia,5,-4.700557453176171e-4
modular,r_FC,Yersinia,5,-0.0023707787597396805
modular,r_OD600,Acinetobacter,5,-0.0011269577553102178
modular,r_OD600,Aeromonas_A,5,0.001748543256505547
modular,r_OD600,Aeromonas_B,5,0.0032211297356364377
modular,r_OD600,Arthrobacter,5,-0.005783501146670441
modular,r_OD600,Bacillus,5,4.125613374827468e-4
modular,r_OD600,Burkholderia,5,-0.0024926166766606438
modular,r_OD600,Buttiauxella,5,-0.0017684215887006061
modular,r_OD600,Chromobacterium,5,0.0028511936932018402
modular,r_OD600,Chryseobacterium,5,2.004352802626879e-4
modular,r_OD600,Flavobacterium_A,5,0.001359335255716372
modular,r_OD600,Flavobacterium_B,5,0.0019147847343894506
modular,r_OD600,Herbaspirillum,5,1.824472410690122e-4
modular,r_OD600,Pseudomonas,5,0.01025708061536158
modular,r_OD600,Serratia,5,-0.001903058105161222
modular,r_OD600,Yersinia,5,0.003814611753854999
original,r_FC,Acinetobacter,5,-9.738702379740935e-5
original,r_FC,Aeromonas_A,5,0.0013338666366764062
original,r_FC,Aeromonas_B,5,-9.77719317211407e-4
original,r_FC,Arthrobacter,5,-7.376790760970579e-4
original,r_FC,Bacillus,5,0.002741894758969168
original,r_FC,Burkholderia,5,0.0024515589151471438
original,r_FC,Buttiauxella,5,-1.4176420501191625e-4
original,r_FC,Chromobacterium,5,-1.11997251017189e-5
original,r_FC,Chryseobacterium,5,-4.5512515038682204e-4
original,r_FC,Flavobacterium_A,5,8.500283461342461e-4
original,r_FC,Flavobacterium_B,5,0.004284762152044322
original,r_FC,Herbaspirillum,5,5.488553110593638e-4
original,r_FC,Pseudomonas,5,5.258433387701205e-4
original,r_FC,Serratia,5,-4.856356272720921e-4
original,r_FC,Yersinia,5,-0.0023720712492047323
original,r_OD600,Acinetobacter,5,-0.0011000166855564368
original,r_OD600,Aeromonas_A,5,0.001787986072624543
original,r_OD600,Aeromonas_B,5,0.0032796217064321445
original,r_OD600,Arthrobacter,5,-0.005758614649447494
original,r_OD600,Bacillus,5,4.6581775245476754e-4
original,r_OD600,Burkholderia,5,-0.002474664072441518
original,r_OD600,Buttiauxella,5,-0.0017892462575231486
original,r_OD600,Chromobacterium,5,0.0028696316171411412
original,r_OD600,Chryseobacterium,5,1.928206265863496e-4
original,r_OD600,Flavobacterium_A,5,0.0013737161195681359
original,r_OD600,Flavobacterium_B,5,0.0019207914171546654
original,r_OD600,Herbaspirillum,5,2.0653366298685819e-4
original,r_OD600,Pseudomonas,5,0.01025185322066636
original,r_OD600,Serratia,5,-0.0019186379871156969
original,r_OD600,Yersinia,5,0.0038133192643899473
