file,class,n_lines_ref,n_lines_new,n_lines_differing,note
Fig6_pooled_regression.txt,NOT REGENERATED,NA,NA,NA,no counterpart in modular
Fig6_within_taxon_RIS.txt,NOT REGENERATED,NA,NA,NA,no counterpart in modular
mixed_model_FC_summary.txt,NUMERICALLY EQUIVALENT (formatting differs),26,27,27,"33 numeric tokens, max relative difference 0"
mixed_model_Fig6_RIS_centeredX.txt,NOT REGENERATED,NA,NA,NA,no counterpart in modular
mixed_model_OD600_summary.txt,NUMERICALLY EQUIVALENT (formatting differs),26,27,27,"36 numeric tokens, max relative difference 0"
