tree,comparison,n,lmer_intercept,lmer_slope,R2_lmer_fitted,ols_intercept,ols_slope,R2_ols
committed,r_O2 ~ r_OD600,75,0.0028693741411408434,0.9100220140405926,0.9435214469794408,0.0042628056636106896,0.8476511171207879,0.7230446377834219
committed,r_O2 ~ r_FC,75,0.003098430351142388,0.8848179284540565,0.9680039829810912,0.003565299246423115,0.8642678238455773,0.9413978996382927
modular,r_O2 ~ r_OD600,75,0.0028693741411408434,0.9100220140405926,0.9435214469794408,0.0042628056636106896,0.8476511171207879,0.7230446377834219
modular,r_O2 ~ r_FC,75,0.003098430351142388,0.8848179284540565,0.9680039829810912,0.003565299246423115,0.8642678238455773,0.9413978996382927
original,r_O2 ~ r_OD600,75,0.002841159794930846,0.9119812155338651,0.9428960621139814,0.004256804591147289,0.848616038102411,0.7228541619059111
original,r_O2 ~ r_FC,75,0.0030742958451568563,0.8865649923099969,0.9677203114153518,0.0035628974358174422,0.8650582826074638,0.9407292676326808
