tree,response,best_model,Topt_C,E_eV,E_lwr_eV,E_upr_eV,Eh_eV,Eh_lwr_eV,Eh_upr_eV
committed,growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812542,0.694237336713295,4.871797567403984,4.337307299268757,5.406287835539211
committed,resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906108,0.8356053066313653,6,-4.303442600411316,16.303442600411316
committed,carbon_use_efficiency,two,32.441471571906355,0.18001112217888693,-1.2888855004728963,1.6489077448306702,6,3.8719340630337182,8.128065936966282
modular,growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812554,0.6942373367132938,4.871797567403984,4.337307299268759,5.406287835539209
modular,resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906103,0.8356053066313659,6,-4.3034426004113335,16.303442600411334
modular,carbon_use_efficiency,two,32.441471571906355,0.18001112217888693,-1.28888550047289,1.648907744830664,6,3.871934063033719,8.12806593696628
original,growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812554,0.6942373367132938,4.871797567403984,4.337307299268759,5.406287835539209
original,resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906103,0.8356053066313659,6,-4.3034426004113335,16.303442600411334
original,carbon_use_efficiency,two,32.441471571906355,0.18001112217888693,-1.28888550047289,1.648907744830664,6,3.871934063033719,8.12806593696628
