Taxon,Replicate,fit_start,fit_end,auto_start,auto_end,shift_start_min,shift_end_min,manual_window_min,auto_window_min,window_ratio
Acinetobacter,R1,43,155.1,43.03,168.05,-0.030000000000001137,-12.950000000000017,112.1,125.02000000000001,0.8966565349544072
Acinetobacter,R2,50,166.1,44.03,182.05,5.969999999999999,-15.950000000000017,116.1,138.02,0.8411824373279234
Acinetobacter,R3,64,152.1,52.05,185.05,11.950000000000003,-32.95000000000002,88.1,133,0.6624060150375939
Acinetobacter,R4,72,178.1,64.05,185.05,7.950000000000003,-6.950000000000017,106.1,121.00000000000001,0.8768595041322312
Acinetobacter,R5,58,177.1,50.05,185.05,7.950000000000003,-7.950000000000017,119.1,135,0.8822222222222221
Aeromonas_A,R1,46.1,152.1,46.07,180.1,0.030000000000001137,-28,106,134.03,0.7908677161829442
Aeromonas_A,R2,63.1,175.1,53.07,187.1,10.030000000000001,-12,112,134.03,0.8356338133253749
Aeromonas_A,R3,58.1,178.1,53.07,188.1,5.030000000000001,-10,120,135.03,0.8886914019106865
Aeromonas_A,R4,55.1,156.1,50.07,183.1,5.030000000000001,-27,101,133.03,0.7592272419754943
Aeromonas_A,R5,73.1,168.1,64.07,198.1,9.030000000000001,-30,95,134.03,0.7087965380884876
Aeromonas_B,R1,50,143.1,40.03,163.05,9.969999999999999,-19.950000000000017,93.1,123.02000000000001,0.7567875142253291
Aeromonas_B,R2,47,146.1,48.03,167.05,-1.0300000000000011,-20.950000000000017,99.1,119.02000000000001,0.8326331708956477
Aeromonas_B,R3,50,138.1,47.03,159.05,2.969999999999999,-20.950000000000017,88.1,112.02000000000001,0.7864667023745758
Aeromonas_B,R4,57,140.1,54.05,158.05,2.950000000000003,-17.950000000000017,83.1,104.00000000000001,0.7990384615384614
Aeromonas_B,R5,53,136.1,49.03,165.05,3.969999999999999,-28.950000000000017,83.1,116.02000000000001,0.7162558179624201
Arthrobacter,R1,50,147.1,46.03,156.05,3.969999999999999,-8.950000000000017,97.1,110.02000000000001,0.8825668060352662
Arthrobacter,R2,54,160.1,53.05,164.05,0.9500000000000028,-3.950000000000017,106.1,111.00000000000001,0.9558558558558556
Arthrobacter,R3,57,130.1,53.05,165.05,3.950000000000003,-34.95000000000002,73.1,112.00000000000001,0.6526785714285713
Arthrobacter,R4,57,154.1,56.05,164.05,0.9500000000000028,-9.950000000000017,97.1,108.00000000000001,0.8990740740740739
Arthrobacter,R5,68,143.1,60.05,166.05,7.950000000000003,-22.950000000000017,75.1,106.00000000000001,0.7084905660377357
Bacillus,R1,53.1,138.3,45.07,149.08,8.030000000000001,-10.780000000000001,85.20000000000002,104.01000000000002,0.8191520046149409
Bacillus,R2,58.1,149.1,49.07,164.08,9.030000000000001,-14.980000000000018,91,115.01000000000002,0.7912355447352403
Bacillus,R3,57.1,164.1,57.07,174.08,0.030000000000001137,-9.980000000000018,107,117.01000000000002,0.9144517562601485
Bacillus,R4,68.1,170.1,67.07,179.1,1.0300000000000011,-9,102,112.03,0.9104704097116844
Bacillus,R5,50.1,144.1,47.07,161.08,3.030000000000001,-16.980000000000018,94,114.01000000000002,0.8244890799052713
Burkholderia,R1,53,157.1,50.05,168.05,2.950000000000003,-10.950000000000017,104.1,118.00000000000001,0.8822033898305083
Burkholderia,R2,66,170.1,52.05,182.05,13.950000000000003,-11.950000000000017,104.1,130,0.8007692307692307
Burkholderia,R3,62,173.1,55.05,185.05,6.950000000000003,-11.950000000000017,111.1,130,0.8546153846153846
Burkholderia,R4,60,173.1,56.05,186.05,3.950000000000003,-12.950000000000017,113.1,130,0.87
Burkholderia,R5,66,172.1,66.05,190.05,-0.04999999999999716,-17.950000000000017,106.1,124.00000000000001,0.8556451612903224
Buttiauxella,R1,48,157.1,44.03,176.05,3.969999999999999,-18.950000000000017,109.1,132.02,0.8263899409180426
Buttiauxella,R2,58,158.1,46.03,168.05,11.969999999999999,-9.950000000000017,100.1,122.02000000000001,0.8203573184723815
Buttiauxella,R3,52,154.1,49.03,172.05,2.969999999999999,-17.950000000000017,102.1,123.02000000000001,0.8299463501869614
Buttiauxella,R4,67,175.1,52.05,181.05,14.950000000000003,-5.950000000000017,108.1,129,0.8379844961240309
Buttiauxella,R5,56,165.1,55.05,176.05,0.9500000000000028,-10.950000000000017,109.1,121.00000000000001,0.9016528925619833
Chromobacterium,R1,53.1,141.1,52.07,164.08,1.0300000000000011,-22.980000000000018,88,112.01000000000002,0.785644138916168
Chromobacterium,R2,57.1,155.1,57.07,170.08,0.030000000000001137,-14.980000000000018,98,113.01000000000002,0.8671798955844614
Chromobacterium,R3,57.1,157.1,57.07,173.08,0.030000000000001137,-15.980000000000018,100,116.01000000000002,0.8619946556331349
Chromobacterium,R4,63.1,163.1,62.07,174.08,1.0300000000000011,-10.980000000000018,100,112.01000000000002,0.8927774305865546
Chromobacterium,R5,54.1,174.1,55.07,172.08,-0.9699999999999989,2.019999999999982,120,117.01000000000002,1.0255533715067087
Chryseobacterium,R1,58.1,188.1,53.07,203.1,5.030000000000001,-15,130,150.03,0.8664933679930681
Chryseobacterium,R2,66.1,189.1,63.07,204.1,3.029999999999994,-15,123,141.03,0.872154860667943
Chryseobacterium,R3,78.1,197.1,66.07,204.1,12.030000000000001,-7,119,138.03,0.8621314207056437
Chryseobacterium,R4,62.1,212.1,64.07,203.1,-1.9699999999999918,9,150,139.03,1.0789038337049557
Chryseobacterium,R5,79.1,196.1,72.07,203.1,7.030000000000001,-7,117,131.03,0.8929252842860413
Flavobacterium_A,R1,40,164.1,40.05,186.1,-0.04999999999999716,-22,124.1,146.05,0.8497090037658335
Flavobacterium_A,R2,53.1,157.1,48.07,181.1,5.030000000000001,-24,104,133.03,0.7817785461925881
Flavobacterium_A,R3,60.1,168.1,53.07,179.1,7.030000000000001,-11,108,126.03,0.8569388240895025
Flavobacterium_A,R4,63.1,144.1,59.07,177.08,4.030000000000001,-32.98000000000002,81,118.01000000000002,0.6863825099567832
Flavobacterium_A,R5,72.1,183.1,63.07,194.1,9.029999999999994,-11,111,131.03,0.8471342440662444
Flavobacterium_B,R1,44,176.1,37.03,183.05,6.969999999999999,-6.950000000000017,132.1,146.02,0.9046705930694424
Flavobacterium_B,R2,59,164.1,46.03,188.05,12.969999999999999,-23.950000000000017,105.1,142.02,0.7400366145613293
Flavobacterium_B,R3,60,197.1,49.03,188.05,10.969999999999999,9.049999999999983,137.1,139.02,0.986189037548554
Flavobacterium_B,R4,57,173.1,50.05,188.05,6.950000000000003,-14.950000000000017,116.1,138,0.8413043478260869
Flavobacterium_B,R5,72,166.1,65.05,185.05,6.950000000000003,-18.950000000000017,94.1,120.00000000000001,0.7841666666666666
Herbaspirillum,R1,56,168.1,48.03,189.05,7.969999999999999,-20.950000000000017,112.1,141.02,0.7949227059991489
Herbaspirillum,R2,68,186.1,60.05,191.05,7.950000000000003,-4.950000000000017,118.1,131,0.9015267175572519
Herbaspirillum,R3,72,186.1,72.05,191.05,-0.04999999999999716,-4.950000000000017,114.1,119.00000000000001,0.9588235294117645
Herbaspirillum,R4,57,179.1,55.05,190.05,1.9500000000000028,-10.950000000000017,122.1,135,0.9044444444444444
Herbaspirillum,R5,60,184.1,55.05,190.05,4.950000000000003,-5.950000000000017,124.1,135,0.9192592592592592
Pseudomonas,R1,46.1,167.1,46.07,184.1,0.030000000000001137,-17,121,138.03,0.8766210244149822
Pseudomonas,R2,52.1,171.1,52.07,190.1,0.030000000000001137,-19,119,138.03,0.8621314207056437
Pseudomonas,R3,68.1,180.1,62.07,190.1,6.029999999999994,-10,112,128.03,0.8747949699289229
Pseudomonas,R4,65.1,185.1,57.07,190.1,8.029999999999994,-5,120,133.03,0.9020521686837555
Pseudomonas,R5,74.1,174.1,62.07,185.1,12.029999999999994,-11,100,123.03,0.8128098837681866
Serratia,R1,47.1,160.1,46.07,166.08,1.0300000000000011,-5.980000000000018,113,120.01000000000002,0.9415882009832512
Serratia,R2,44.1,153.1,44.07,170.08,0.030000000000001137,-16.980000000000018,109,126.01000000000002,0.8650107134354414
Serratia,R3,52.1,169.1,44.07,164.08,8.030000000000001,5.019999999999982,117,120.01000000000002,0.974918756770269
Serratia,R4,60.1,156.1,49.07,170.08,11.030000000000001,-13.980000000000018,96,121.01000000000002,0.7933228658788528
Serratia,R5,48.1,153.1,46.07,172.08,2.030000000000001,-18.980000000000018,105,126.01000000000002,0.8332672010157923
Yersinia,R1,52.1,152.2,46.07,153.08,6.030000000000001,-0.8800000000000239,100.1,107.01000000000002,0.9354265956452665
Yersinia,R2,44.1,164,44.07,164.08,0.030000000000001137,-0.0800000000000125,119.9,120.01000000000002,0.9990834097158569
Yersinia,R3,55.1,166.8,47.07,167.08,8.030000000000001,-0.28000000000000114,111.70000000000002,120.01000000000002,0.9307557703524706
Yersinia,R4,51.1,163.2,51.07,163.08,0.030000000000001137,0.11999999999997613,112.1,112.01000000000002,1.0008034996875277
Yersinia,R5,56.1,167.1,45.07,167.08,11.030000000000001,0.01999999999998181,111,122.01000000000002,0.9097614949594294
