Taxon,n,delta_min_min,delta_med,delta_max,amp_min,amp_med,amp_max,r_med_per_min
Yersinia,5,53.07,55.07,59.07,6.761594240510727,8.442589002402109,12.13047900098959,0.0381862786006876
Aeromonas_B,5,48.03,56.05,62.05,4.335540045845813,6.481222174569249,9.254459394640934,0.03394930244807805
Chromobacterium,5,61.07,65.07,71.07,4.667213810494618,5.19845639761931,5.5630604834535715,0.02522617126544078
Bacillus,5,53.07,57.07,75.07,3.4969464666259253,5.114675123295356,8.648759822849179,0.02672952707892209
Arthrobacter,5,55.05,62.05,69.05,3.796704712623394,4.887867993830564,5.240471255334518,0.0243928703356261
Flavobacterium_A,5,48.07,62.07,71.07,2.378132833113366,4.480309747752003,4.841297574800192,0.02134249516371314
Serratia,5,52.07,54.07,57.07,3.1487625615595207,4.182469795930808,4.810090841272565,0.02748035207063554
Herbaspirillum,5,56.05,63.05,80.05,2.802839124123264,3.926457432019163,5.9693038058465175,0.02169290408519785
Pseudomonas,5,54.07,66.07,70.07,3.503213114024964,3.8163448729295566,5.89100625858377,0.02272200698265882
Burkholderia,5,58.05,63.05,74.05,3.294678340672514,3.7364556681345222,5.116768485032948,0.02090622489729856
Aeromonas_A,5,54.07,61.07,72.07,3.201710943586899,3.5031251865487683,4.501633837650303,0.02152182979085593
Buttiauxella,5,52.05,57.05,63.05,3.0859840806289074,3.4341352332492785,3.9143847067035544,0.02164406271296873
Chryseobacterium,5,61.07,72.07,81.07,2.570623882478664,3.302943355637121,3.4894297241118397,0.01577081633140894
Acinetobacter,5,51.05,58.05,72.05,1.80621599821816,2.453197518413929,2.697245599645493,0.01419457550388129
Flavobacterium_B,5,46.03,59.05,74.05,1.8046420102831804,2.259193963644594,2.4217960163558696,0.0148048700529281
