tree,Temperature,n,mean_growth,mean_resp,mean_r_per_hour,mean_CUE
committed,20,4,32835839.223818205,223935739.85724467,0.5749037983606542,0.12803280209940132
committed,24,4,56195137.44358777,240543231.90984088,0.8191042041451841,0.19037663202178792
committed,28,4,101982548.45343697,478542024.6814457,1.1528582321984941,0.17624710662684256
committed,32,4,161446803.80488837,615096990.667122,1.456793176850265,0.20914783605562062
committed,36,4,155381150.37761384,830067199.6889143,1.429756232225193,0.15789257954770863
committed,40,4,25162880.56221305,683739070.1370567,0.47322001359973004,0.035462074751485106
modular,20,4,32835839.223818205,223935739.85724467,0.5749037983606542,0.12803280209940132
modular,24,4,56195137.44358777,240543231.90984088,0.8191042041451841,0.19037663202178792
modular,28,4,101982548.45343697,478542024.6814457,1.1528582321984941,0.17624710662684256
modular,32,4,161446803.80488837,615096990.667122,1.456793176850265,0.20914783605562062
modular,36,4,155381150.37761384,830067199.6889143,1.429756232225193,0.15789257954770863
modular,40,4,25162880.56221305,683739070.1370567,0.47322001359973004,0.035462074751485106
original,20,4,32835839.223818205,223935739.85724467,0.5749037983606542,0.12803280209940132
original,24,4,56195137.44358777,240543231.90984088,0.8191042041451841,0.19037663202178792
original,28,4,101982548.45343697,478542024.6814457,1.1528582321984941,0.17624710662684256
original,32,4,161446803.80488837,615096990.667122,1.456793176850265,0.20914783605562062
original,36,4,155381150.37761384,830067199.6889143,1.429756232225193,0.15789257954770863
original,40,4,25162880.56221305,683739070.1370567,0.47322001359973004,0.035462074751485106
