Taxon,int,slope,lo,hi
Acinetobacter,2.8021242685809358,0.46466778150048615,-0.30039301300612087,1.2297285760070933
Aeromonas_A,4.130405714329629,-0.47542967351056037,-2.6381892607465938,1.6873299137254731
Aeromonas_B,0.530788971065776,1.224160193395349,-2.2962882224554466,4.744608609246145
Arthrobacter,5.636115738889742,-1.166734450467672,-9.677543434155764,7.34407453322042
Bacillus,1.7093911293973902,1.200226532549002,-1.250327486874884,3.650780551972888
Burkholderia,3.186896749986486,-0.01839589852391763,-7.5006422147341265,7.463850417686292
Buttiauxella,2.6225643603184436,0.26869424262084374,-2.980394492182126,3.517782977423814
Chromobacterium,4.44257242592916,-0.5662237439739276,-3.1940970164086306,2.061649528460775
Chryseobacterium,-0.5863045611587616,1.9049942428702829,-3.632091527673611,7.442080013414177
Flavobacterium_A,2.9114913650911767,0.18931700155602862,-1.3025101648456945,1.6811441679577517
Flavobacterium_B,2.483861564609361,0.7715937042913018,-0.22374852380701404,1.7669359323896177
Herbaspirillum,3.150912514121244,-0.2564463541413898,-3.455358944645437,2.942466236362657
Pseudomonas,1.8855429666170682,0.6889971548289029,-1.143109817083343,2.5211041267411485
Serratia,-0.06682712536882723,1.8036874067004462,-4.352751370211596,7.9601261836124895
Yersinia,4.3941646517874435,-0.5649351565871276,-10.441821866483387,9.311951553309132
