response,best_model,Topt_C,E_eV,E_lwr_eV,E_upr_eV,Eh_eV,Eh_lwr_eV,Eh_upr_eV
growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812542,0.694237336713295,4.871797567403984,4.337307299268757,5.406287835539211
resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906108,0.8356053066313653,6,-4.303442600411316,16.303442600411316
carbon_use_efficiency,two,32.441471571906355,0.18001112217888693,-1.2888855004728963,1.6489077448306702,6,3.8719340630337182,8.128065936966282
