curve_code,series_id,Taxon,Replicate,n_points_total,n_points_trimmed,peak_time,main_run_start_time,main_run_end_time,steepest_drop_time,chosen_end_time,fit_duration_min,delta_Ninoc_to_N0_min,end_reason,main_run_duration,main_run_drop,main_run_score
C001,Acinetobacter | Rep=R1,Acinetobacter,R1,198,126,43.03,43.03,194.05,169.05,168.05,125.02000000000001,43.03,hybrid_drop_fraction,151.02,5.946220782073381,897.998262508722
C002,Acinetobacter | Rep=R2,Acinetobacter,R2,198,139,44.03,44.03,194.05,184.05,182.05,138.02,44.03,hybrid_drop_fraction,150.02,5.80622936189467,871.0505288714385
C003,Acinetobacter | Rep=R3,Acinetobacter,R3,198,134,52.05,52.05,194.05,189.05,185.05,133,52.05,hybrid_drop_fraction,142,5.585190933354763,793.0971125363764
C004,Acinetobacter | Rep=R4,Acinetobacter,R4,198,122,64.05,64.05,194.05,188.05,185.05,121.00000000000001,64.05,hybrid_drop_fraction,130,5.8781463440483765,764.159024726289
C005,Acinetobacter | Rep=R5,Acinetobacter,R5,198,136,50.05,50.05,194.05,192.05,185.05,135,50.05,hybrid_drop_fraction,144,5.196691010677806,748.323505537604
C006,Aeromonas_A | Rep=R1,Aeromonas_A,R1,213,135,46.07,46.07,191.1,182.1,180.1,134.03,46.07,hybrid_drop_fraction,145.03,6.306294236728251,914.6018531526981
C007,Aeromonas_A | Rep=R2,Aeromonas_A,R2,213,135,53.07,53.07,198.1,189.1,187.1,134.03,53.07,hybrid_drop_fraction,145.03,6.14017884510821,890.5101379060437
C008,Aeromonas_A | Rep=R3,Aeromonas_A,R3,213,136,53.07,53.07,198.1,190.1,188.1,135.03,53.07,hybrid_drop_fraction,145.03,6.069794453377801,880.3022895733825
C009,Aeromonas_A | Rep=R4,Aeromonas_A,R4,213,134,50.07,50.07,193.1,185.1,183.1,133.03,50.07,hybrid_drop_fraction,143.03,6.136265728880236,877.6700872017402
C010,Aeromonas_A | Rep=R5,Aeromonas_A,R5,213,135,64.07,64.07,208.1,202.1,198.1,134.03,64.07,hybrid_drop_fraction,144.03,6.469600109259893,931.8165037367024
C011,Aeromonas_B | Rep=R1,Aeromonas_B,R1,198,124,40.03,40.03,172.05,164.05,163.05,123.02000000000001,40.03,hybrid_drop_fraction,132.02,5.9359774378054055,783.6677413390697
C012,Aeromonas_B | Rep=R2,Aeromonas_B,R2,198,120,48.03,48.03,176.05,168.05,167.05,119.02000000000001,48.03,hybrid_drop_fraction,128.02,5.870206342367627,751.5038159499037
C013,Aeromonas_B | Rep=R3,Aeromonas_B,R3,198,113,47.03,48.03,167.05,159.05,159.05,112.02000000000001,47.03,hybrid_drop_fraction,119.02000000000001,5.757527860406412,685.2609659455712
