Taxon,Replicate,r_per_minute,extrap_min,frac_O2_at_wend,mean_dev_norm,max_dev_norm,frac_obs_above,depleted
Acinetobacter,R1,0.01943645649413162,18,0.4643771143502992,-7.941927753546298e-4,0.0017019510259367876,0.2631578947368421,TRUE
Acinetobacter,R2,0.01419457550388129,22,0.43620066394374063,-5.109819034603022e-4,0.0037076266383010426,0.34782608695652173,TRUE
Acinetobacter,R3,0.01494408464942784,40,0.6735685444385703,-0.002151244511677272,-2.4089195730225832e-4,0,TRUE
Acinetobacter,R4,0.01352010924335995,14,0.34902595599525305,2.748766238961374e-4,0.002500202821978742,0.6666666666666666,TRUE
Acinetobacter,R5,0.01018491039079284,19,0.3546583399444855,-3.8794280152118347e-4,0.0014288450245847073,0.45,TRUE
Aeromonas_A,R1,0.02152182979085593,31.019999999999982,0.6802377572553823,-6.116347160175367e-5,0.0024082456922493445,0.4375,TRUE
Aeromonas_A,R2,0.01990585449241123,15.019999999999982,0.3995629734889137,-7.968940896995328e-4,0.0013793239098758847,0.1875,TRUE
Aeromonas_A,R3,0.02463468815971646,13.019999999999982,0.41899944894041596,-2.4471690725263507e-4,0.003219164549197198,0.5,TRUE
Aeromonas_A,R4,0.0216194941726135,30.019999999999982,0.6823046934404645,-7.356113217326505e-4,0.0013334860395917691,0.2903225806451613,TRUE
Aeromonas_A,R5,0.01739496989774508,34.01999999999998,0.68786919397665,-0.0021391227899080797,0.0017544988257481853,0.08571428571428572,TRUE
Aeromonas_B,R1,0.03054020779769078,23,0.694883668671457,2.681191190937863e-4,0.002174805417724801,0.5,TRUE
Aeromonas_B,R2,0.02863601071145552,23,0.6833876407887359,2.740006730063213e-4,0.0022604444052477524,0.5,TRUE
Aeromonas_B,R3,0.03394930244807805,23,0.7022151624901689,-0.001647578110005685,0.0037142692342134187,0.041666666666666664,TRUE
Aeromonas_B,R4,0.03585987964659123,20,0.7614526350565969,-0.0020239991239055085,0.0012540480511323837,0.047619047619047616,TRUE
Aeromonas_B,R5,0.03578033974097163,31,0.8809495980278139,-0.0023630956819151085,-3.4533659984181675e-4,0,TRUE
Arthrobacter,R1,0.02511080779633006,12,0.41540366731537864,-7.309849813196411e-5,0.002723734550553414,0.38461538461538464,TRUE
Arthrobacter,R2,0.02587640886188693,7,0.2930633712182171,-1.1679291099004827e-5,0.0025540207981972485,0.75,TRUE
Arthrobacter,R3,0.02150094294318932,39,0.7888148639969818,-5.581727244087629e-4,0.004150660414146579,0.35,TRUE
Arthrobacter,R4,0.0243928703356261,15,0.4519510697376579,-0.0010553513923080467,7.367327427761361e-4,0.1875,TRUE
Arthrobacter,R5,0.02398857970330566,28,0.6955758566906234,1.973764650151531e-5,0.004383574004177382,0.5517241379310345,TRUE
Bacillus,R1,0.0406522694099089,13,0.5771613772337393,-0.0018605746331605776,3.234754464111478e-4,0.07142857142857142,TRUE
Bacillus,R2,0.02672952707892209,18,0.5402902719036746,-7.89128557188598e-4,0.0022155543523533217,0.2631578947368421,TRUE
Bacillus,R3,0.0250824325016013,13,0.40952530295610057,6.763415273073337e-4,0.0029007896384549703,0.6428571428571429,TRUE
Bacillus,R4,0.02733746457736678,12.019999999999982,0.4499824478112396,-4.5634979973801517e-4,0.0012576163496262616,0.38461538461538464,TRUE
Bacillus,R5,0.02273270654790027,21,0.5279765554778847,9.171945208566903e-4,0.01757163199144368,0.45454545454545453,TRUE
Burkholderia,R1,0.0225655256203426,16,0.491056667544155,-0.0015390344071955612,7.018859512136766e-5,0.058823529411764705,TRUE
Burkholderia,R2,0.01985526299343977,16,0.42573938217320917,2.986414625785194e-4,0.003152849201565666,0.5294117647058824,TRUE
Burkholderia,R3,0.02090622489729856,18,0.462531256751879,-0.001173369036448132,0.0014975966249581862,0.21052631578947367,TRUE
Burkholderia,R4,0.02075222150130871,17,0.4409039185228631,7.542254207441827e-4,0.002862867331385549,0.6666666666666666,TRUE
Burkholderia,R5,0.02204622666471412,22,0.5739622857794588,-6.441528572112813e-4,0.001390843465993552,0.21739130434782608,TRUE
Buttiauxella,R1,0.02164977128433935,22,0.5529057489838705,-2.2627125559375347e-4,0.0023477291211493057,0.4782608695652174,TRUE
Buttiauxella,R2,0.02444709978164981,13,0.41224696757763923,0.0014464911002505054,0.0030535685236281196,0.7857142857142857,TRUE
Buttiauxella,R3,0.02162603229409613,22,0.5526620887799195,0.0013695810303967766,0.003796797433491192,0.7391304347826086,TRUE
Buttiauxella,R4,0.01862887955508459,10,0.3157632034404779,-8.603827885265022e-4,6.051342423215034e-4,0.18181818181818182,TRUE
Buttiauxella,R5,0.02164406271296873,15,0.43077243192720543,7.219510576742362e-4,0.0028028713978121844,0.6875,TRUE
Chromobacterium,R1,0.02522617126544078,25,0.6691183238091524,-5.48136387361302e-4,0.0018833168755419405,0.4230769230769231,TRUE
Chromobacterium,R2,0.02625342021813681,20,0.5614458444254663,-2.802049317204193e-4,0.0014449658549857136,0.42857142857142855,TRUE
Chromobacterium,R3,0.02637388049003547,19,0.5395194802053916,9.242548647762358e-4,0.00422898240155295,0.75,TRUE
Chromobacterium,R4,0.02319349563680926,14,0.4233616223796603,0.0011178760915757776,0.00401485080118498,0.8,TRUE
Chryseobacterium,R1,0.01546010521164195,24,0.8139659030115437,-7.962088278472357e-4,0.0012822072181536415,0.2,FALSE
Chryseobacterium,R2,0.01681179114807214,23,0.8648280577496632,3.120055297816901e-4,0.0013794838328600179,0.6666666666666666,FALSE
Chryseobacterium,R3,0.01668582715915156,15,0.7945300002156982,2.747701971865246e-4,0.0017372970727342896,0.6875,FALSE
Chryseobacterium,R4,0.01577081633140894,9,0.8093537271686121,-4.8001551666227994e-4,2.878503933623211e-4,0.2,FALSE
Chryseobacterium,R5,0.0154155460716585,16,0.8269826581662184,4.124927486294815e-4,0.001797576854610794,0.5882352941176471,FALSE
Flavobacterium_A,R1,0.01802196080469134,26.019999999999982,0.5524927261535062,9.96995416276984e-4,0.0033949630657234,0.8148148148148148,TRUE
Flavobacterium_A,R2,0.01567720728141338,28.019999999999982,0.5401194285457096,-0.0013414807390420848,0.0014854143322217683,0.2413793103448276,TRUE
Flavobacterium_A,R3,0.02416130472305527,14.019999999999982,0.4331187163393919,1.4777282698446768e-4,0.0023021736975727403,0.5333333333333333,TRUE
Flavobacterium_A,R4,0.02351547306940147,37.01999999999998,0.8372384740855298,-8.135813715858923e-4,0.004593124657899295,0.34210526315789475,TRUE
Flavobacterium_A,R5,0.02134249516371314,15,0.41705454282272675,-8.535932800376664e-5,0.002669283600410799,0.5,TRUE
Flavobacterium_B,R1,0.01610033938702341,12,0.3257014528402109,-1.0324220702603859e-4,0.0017216091320917115,0.46153846153846156,TRUE
Flavobacterium_B,R2,0.0148048700529281,31,0.5563174987238587,-1.09960977463768e-4,0.0038242330536320535,0.5,TRUE
Flavobacterium_B,R3,0.01418676802705085,9,0.4381344106364398,2.1540190227453958e-4,0.0019734216679795358,0.5,FALSE
Flavobacterium_B,R4,0.01497899103177519,24,0.5318171447619443,-3.305666764133886e-4,0.004663648283371485,0.44,FALSE
Flavobacterium_B,R5,0.0079724812945485,31,0.9868006033862627,-1.273791122348225e-4,0.0012245733193980701,0.46875,FALSE
Herbaspirillum,R1,0.01838774088062516,29,0.7767679217999076,-4.084628994799572e-4,0.001997923158850834,0.36666666666666664,FALSE
Herbaspirillum,R2,0.02254198431127584,11,0.6092870986548173,-2.5229129678197104e-4,0.0010636777492606386,0.25,FALSE
Herbaspirillum,R3,0.02231892948367655,11,0.7621348514341284,-7.021731728411584e-4,0.0013947235728118956,0.08333333333333333,FALSE
Herbaspirillum,R4,0.02169290408519785,18,0.570012341542276,-0.001032762571835202,9.299917068077979e-4,0.21052631578947367,FALSE
Herbaspirillum,R5,0.01984617204888009,13,0.6150386711907562,4.030997491895536e-4,0.0023140274604360744,0.6428571428571429,FALSE
Pseudomonas,R1,0.02476961577599536,22.019999999999982,0.5839653658096637,3.162133970233876e-4,0.002954194032940366,0.6086956521739131,TRUE
Pseudomonas,R2,0.02125353060972634,23.019999999999982,0.5598735614920191,-2.742445378096115e-4,0.001966759697784315,0.375,TRUE
Pseudomonas,R3,0.02530935956809623,13,0.4318196901855986,-7.346299876463283e-5,0.0040958381792896015,0.35714285714285715,TRUE
Pseudomonas,R4,0.01897503526471538,12,0.32827250542283093,4.765765446644474e-5,0.002017030209691767,0.5384615384615384,TRUE
Pseudomonas,R5,0.02272200698265882,14.019999999999982,0.4330498889477376,0.0014379064628142666,0.0035451981819034084,0.8666666666666667,TRUE
Serratia,R1,0.02082821024253651,9,0.3003954012055061,0.0019455827076087576,0.004301926995569708,0.9,TRUE
Serratia,R2,0.02748035207063554,20,0.5811631698869762,-7.953429842895478e-4,0.0014720778046371508,0.23809523809523808,TRUE
Serratia,R4,0.02752262081406668,19,0.5520937902101011,-2.4554418443355317e-4,0.0021422946809306898,0.45,TRUE
Serratia,R5,0.02845516277322296,22,0.6230098991309205,0.0010225805629734716,0.00301277036794384,0.8260869565217391,TRUE
Yersinia,R2,0.0381862786006876,4,0.2294982811959542,-1.7590992705008999e-4,5.858206238953598e-4,0.6,TRUE
