Taxon,Replicate,r_O2,r_OD600,r_FC,doubling_time_O2,doubling_time_OD600,doubling_time_FC
Acinetobacter,R1,0.01943645649413162,0.01944168045697737,0.019518812468007442,35.66221964220818,35.652637234410655,35.51174958497383
Acinetobacter,R2,0.01419457550388129,0.016483707240253023,0.013592750549098089,48.83183582139633,42.05044232205774,50.993886635103244
Acinetobacter,R3,0.01494408464942784,0.01333275983583427,0.013391449921380728,46.38271241233123,51.988274677909025,51.76042808129907
Acinetobacter,R4,0.01352010924335995,0.015854256946006316,0.015472531268241715,51.2678683347449,43.71994114391775,44.7985638899739
Acinetobacter,R5,0.01018491039079284,0.012802520579073664,0.010926232542621544,68.05628660086695,54.141461931561174,63.438809109735246
Aeromonas_A,R1,0.02152182979085593,0.018551829624431485,0.01946214706866163,32.206703021805595,37.36273966461605,35.61514452205871
Aeromonas_A,R2,0.01990585449241123,0.017890961693347505,0.020590183108319067,34.82127234599228,38.74286874235956,33.66396388577489
Aeromonas_A,R3,0.02463468815971646,0.024297834325071106,0.022607096065219632,28.13703896172734,28.527117737597663,30.66060225339301
Aeromonas_A,R4,0.0216194941726135,0.018576142034750505,0.020054522221728346,32.06121174832988,37.31383940019787,34.56313607954946
Aeromonas_A,R5,0.01739496989774508,0.01701735255321388,0.015890768946626496,39.847564246132926,40.731787062203054,43.61948643820007
Aeromonas_B,R1,0.03054020779769078,0.02844041216095392,0.03167206418061408,22.696216906957517,24.371910527779654,21.885128061347157
Aeromonas_B,R2,0.02863601071145552,0.025659828218611656,0.03180525330934479,24.205437955177864,27.01293144500437,21.793480901354425
Aeromonas_B,R3,0.03394930244807805,0.03200758194541733,0.03640865926371148,20.41712584875764,21.655718377663526,19.03797598091741
Aeromonas_B,R4,0.03585987964659123,0.031913888844440234,0.03729375709124534,19.329322557440165,21.71929544339124,18.58614509833499
Aeromonas_B,R5,0.03578033974097163,0.0306383804971819,0.032767062939907096,19.372291755134757,22.623492799291416,21.15377816532221
Arthrobacter,R1,0.02511080779633006,0.03219193886404224,0.026152347118127292,27.603539726079568,21.53170032682241,26.50420543246368
Arthrobacter,R2,0.02587640886188693,0.029084550900205928,0.02514798622103023,26.786838322873848,23.83214315181458,27.56273104604673
Arthrobacter,R3,0.02150094294318932,0.02987445942321681,0.022663134872882844,32.237989858928856,23.201999096970063,30.58478822315609
Arthrobacter,R4,0.0243928703356261,0.029764551363566153,0.026164412933911887,28.41597446396437,23.287674391370295,26.491982920111774
Arthrobacter,R5,0.02398857970330566,0.028871614822659167,0.024554556360985868,28.894882028569146,24.00791174368072,28.22886190121805
Bacillus,R1,0.0406522694099089,0.0361793981685631,0.037902612344180055,17.050639253881165,19.158615556027485,18.28758330074254
Bacillus,R2,0.02672952707892209,0.026688110652301193,0.024637533519217204,25.931890920230135,25.972133793599152,28.133789448497048
Bacillus,R3,0.0250824325016013,0.02667936693972776,0.020688364709280288,27.634767103058834,25.980645722436254,33.50420346413444
Bacillus,R4,0.02733746457736678,0.02400707449670754,0.02321647690407462,25.35521092668613,28.87262172052689,29.855829694741242
Bacillus,R5,0.02273270654790027,0.026917643170986022,0.022646220918961468,30.49118586471036,25.75066383624085,30.607631314749725
Burkholderia,R1,0.0225655256203426,0.02530417892764813,0.019864431952499026,30.717085532236833,27.392597188861608,34.893883812909365
Burkholderia,R2,0.01985526299343977,0.02310600586794632,0.017240402568000107,34.90999745452694,29.998571995582754,40.204814117652624
Burkholderia,R3,0.02090622489729856,0.02255554616433783,0.018125589099451226,33.15506189974603,30.73067597254053,38.24136014320942
Burkholderia,R4,0.02075222150130871,0.02326410030177802,0.019257335656212335,33.40110746775871,29.79471252137654,35.99392942690589
Burkholderia,R5,0.02204622666471412,0.02435871379869668,0.019469670846301003,31.44062660252675,28.4558202164612,35.601381555540506
Buttiauxella,R1,0.02164977128433935,0.023147751771545613,0.02252333714378451,32.01637428203884,29.9444709534166,30.774621723904918
Buttiauxella,R2,0.02444709978164981,0.026392518876913233,0.02434902159867716,28.352941115748507,26.26301732671198,28.467147139809626
Buttiauxella,R3,0.02162603229409613,0.027623199369931375,0.022174927686617687,32.05151879613041,25.092936240921297,31.258148407773685
Buttiauxella,R4,0.01862887955508459,0.020070350410011414,0.019245590455612038,37.208205598750396,34.53587836783319,36.015895805255624
Buttiauxella,R5,0.02164406271296873,0.01960413314324002,0.0203076664243941,32.024818526543264,35.35719613284504,34.132291031101374
Chromobacterium,R1,0.02522617126544078,0.021099313807637566,0.02568520866618904,27.477304156320365,32.85164564494219,26.986239028393644
Chromobacterium,R2,0.02625342021813681,0.022906188445865148,0.026845563287664572,26.402166833908147,30.26025836633973,25.819803933055994
Chromobacterium,R3,0.02637388049003547,0.024520182179381025,0.025598743400803488,26.281577366737096,28.26843518082877,27.077390858888368
Chromobacterium,R4,0.02319349563680926,0.02089089517727633,0.023444190904086136,29.885412333442545,33.17939105423797,29.5658392902412
Chromobacterium,R5,0.02492601488710632,0.022300434421359393,0.024547464483990526,27.808182884400633,31.082227702974603,28.237017351099748
Chryseobacterium,R1,0.01546010521164195,0.014888662626061084,0.01560285084157547,44.83457072711145,46.55536887152389,44.42439318287785
Chryseobacterium,R2,0.01681179114807214,0.016582268131935248,0.017203029969141567,41.2298234289825,41.80050491555107,40.2921567772246
Chryseobacterium,R3,0.01668582715915156,0.01658618310086626,0.017491447983584273,41.541073987439674,41.79063840937242,39.62777588284652
Chryseobacterium,R4,0.01577081633140894,0.016063031018798607,0.015702478843148494,43.95125566071574,43.151705288295425,44.14253236598934
Chryseobacterium,R5,0.0154155460716585,0.015021764642958475,0.016381830768035722,44.96416651981581,46.14285984602091,42.311948546826414
Flavobacterium_A,R1,0.01802196080469134,0.014049908881636179,0.019425423169289257,38.461252250615836,49.33463885064178,35.68247520372069
Flavobacterium_A,R2,0.01567720728141338,0.017383303901393376,0.014277635907675406,44.21368985672137,39.87430608656536,48.54775573786144
Flavobacterium_A,R3,0.02416130472305527,0.021666678651661737,0.022179800845800676,28.688317477264725,31.99139063738244,31.251280630465153
Flavobacterium_A,R4,0.02351547306940147,0.022861092214548285,0.021981817702449138,29.47621672395246,30.31995033548056,31.532750837193834
Flavobacterium_A,R5,0.02134249516371314,0.01996078111445319,0.020675526005647746,32.47732635022195,34.725453707723474,33.52500828131795
Flavobacterium_B,R1,0.01610033938702341,0.012429863898919842,0.012640836799943338,43.05171238306999,55.76466373217328,54.83396325178823
Flavobacterium_B,R2,0.0148048700529281,0.014006232501960193,0.010571394198860579,46.818862852690486,49.48848167863402,65.56818973174371
Flavobacterium_B,R3,0.01418676802705085,0.012282242132666767,0.01033820273870973,48.85870969612498,56.43490602716579,67.04716458737722
Flavobacterium_B,R4,0.01497899103177519,0.010275612441225395,0.007985294134889014,46.27462417792763,67.4555589289319,86.80296165065174
Flavobacterium_B,R5,0.0079724812945485,0.009475575146606624,0.005113944574527883,86.94246558269282,73.15093488632971,135.54061262463648
Herbaspirillum,R1,0.01838774088062516,0.018500335696889535,0.017711761914690274,37.69615773138843,37.46673530234828,39.13485196439117
Herbaspirillum,R2,0.02254198431127584,0.021745776222781867,0.021922155147694456,30.749164358757124,31.87502591118236,31.6185692460462
Herbaspirillum,R3,0.02231892948367655,0.020944899441390944,0.020119930486906693,31.056470744571058,33.09384141468638,34.45077412225752
Herbaspirillum,R4,0.02169290408519785,0.02152352460653449,0.022355660965030465,31.952714944833694,32.20416698617788,31.00544339280289
Herbaspirillum,R5,0.01984617204888009,0.021160958636713613,0.02005437784962603,34.92598869206413,32.7559442112115,34.56338490066252
Pseudomonas,R1,0.02476961577599536,0.015322466965929895,0.02297716593253263,27.983767969129563,45.23730950774345,30.16678308348466
Pseudomonas,R2,0.02125353060972634,0.00969995873275801,0.022461431190353657,32.61327227405397,71.4587762336656,30.859439662848644
Pseudomonas,R3,0.02530935956809623,0.013890109448519658,0.023651589177651307,27.386990124937554,49.902211579320394,29.30657958556582
Pseudomonas,R4,0.01897503526471538,0.010880116947418932,0.01823433624757554,36.52942779236212,63.70769578211006,38.013293774381665
Pseudomonas,R5,0.02272200698265882,0.011951493029757754,0.023049671985752314,30.505543858381323,57.996702071790835,30.071889135272734
Serratia,R1,0.02082821024253651,0.023724668119323444,0.020848089865167046,33.27924831219354,29.21630671812794,33.247515002228305
Serratia,R2,0.02748035207063554,0.02832972572786493,0.0271323340037939,25.22337336793498,24.46713347027466,25.546905786395776
