Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok,t_depletion_min,O2_start,depleted,FC_Final,cell_carbon_fg,t_growth_min,N0_cells_per_L,biomass_integral_cells_min_per_L,R,R_C_fg_cell_h,G_C_fg_cell_h,r_per_hour
Acinetobacter,R1,0.019436456494131622,0.001561543061808925,1.0010946527782818,6.193333333333333,112.02000000000001,43.03,3.89215862455252,0.9999385584573174,-1158.6310835372913,TRUE,173.05,4.97,TRUE,596,86.0633,130.02,488279377.30392796,196508116792.66916,1.980660487759414e-11,446.08500128404876,100.36593517148388,1.1661873896478974
Acinetobacter,R2,0.014194575503881292,0.0021776355921933263,1.0014300304492791,5.876666666666667,116.00000000000001,50.05,3.776767269878864,0.9999503192856314,-1216.3368071022883,TRUE,188.05,4.833333333333333,TRUE,549,86.0633,138,793951332.1058424,234313786191.1651,1.611841680880691e-11,363.01950926416606,73.2979205977912,0.8516745302328775
Acinetobacter,R3,0.014944084649427846,0.0024063787637210506,1.0030479558953302,5.73,88.00000000000001,64.05,2.5143357739751067,0.9998689128395454,-903.095493376614,TRUE,192.05,4.8,TRUE,438,86.0633,128,663249486.0142416,120943237071.58748,2.0789387111301205e-11,468.2192548168737,77.16823442454621,0.8966450789656708
Acinetobacter,R4,0.013520109243359953,0.0030804075286879487,1.0051878354610433,6.14,106.00000000000001,72.05,4.465116384914033,0.9999596442126263,-1106.2787907055563,TRUE,192.05,4.89,TRUE,493,86.0633,120.00000000000001,998117702.4232156,235634020979.89218,1.8949370580469208e-11,426.778342475184,69.81511307064363,0.8112065546015972
Acinetobacter,R5,0.010184910390792846,0.0030679704834017944,1.0037568612102357,5.656666666666666,119.00000000000001,58.05,4.021663530705162,0.9999561291049702,-1236.3033557807296,TRUE,196.05,4.67,TRUE,407,86.0633,138,1023589344.4256854,237202752628.78247,1.6954539886807232e-11,381.85070050710976,52.59281990615532,0.6110946234475708
Aeromonas_A,R1,0.021521829790855932,0.0011301797886239266,1.000470725734427,6.29,105.01000000000002,47.07,2.835085598821371,0.9999012981245384,-1106.9223288014477,TRUE,183.1,5.083333333333333,TRUE,1802,67.4722,136.03,989117443.7136705,394471703058.0154,7.187044284401844e-12,161.86684586527386,87.12751224087538,1.291309787451356
Aeromonas_A,R2,0.01990585449241123,0.0016300355462061293,1.001510598054952,6.036666666666666,111.01000000000002,64.07,4.010678231954882,0.999932377866484,-1125.288924973137,TRUE,190.1,5.093333333333334,TRUE,2321,67.4722,126.03,1936802521.3077583,789421393863.3218,5.080528933130586e-12,114.42383839458367,80.58550772897215,1.1943512695446739
Aeromonas_A,R3,0.024634688159716464,9.19021051773819e-4,1.002385543397342,6.013333333333334,119.01000000000002,59.07,3.984357754963256,0.9999223997837795,-1196.2662996444344,TRUE,191.1,4.876666666666667,TRUE,2183,67.4722,132.03,865850812.3772415,624253027472.5267,6.382600611638374e-12,143.74913922067972,99.72939638700127,1.4780812895829878
Aeromonas_A,R4,0.0216194941726135,0.001280988655060935,1.0026801572192143,6.086666666666667,100.01000000000002,56.07,2.773332986284829,0.9998790787053383,-1030.9262376610118,TRUE,186.1,4.88,TRUE,1635,67.4722,130.03,1008269121.774202,358635835139.5559,7.7330057806567e-12,174.16300849703282,87.52289008280475,1.29716965035681
Aeromonas_A,R5,0.017394969897745086,0.00194308255260356,1.0012721672383857,6.35,94.01000000000002,74.07,2.930196778646776,0.9998712644313471,-958.0978176331726,TRUE,202.1,4.983333333333333,TRUE,1468,67.4722,128.03,1623522346.723541,385558320583.571,7.599879505159445e-12,171.16473417676744,70.42061327607816,1.0436981938647052
Aeromonas_B,R1,0.030540207797690788,8.464285681270882e-4,1.0015891211160342,5.986666666666667,93.00000000000001,50.05,2.674636268831762,0.9998738146955262,-962.4831024682826,TRUE,166.05,4.78,TRUE,3043,67.4722,116.00000000000001,902988834.262247,476619403772.59467,5.611681454135444e-12,126.38647280258917,123.63690051404114,1.8324124678614473
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,1.0009805044639777,5.85,98.02000000000001,48.03,2.7053189270781983,0.9998572145274077,-994.9702328814342,TRUE,169.05,4.609999999999999,TRUE,3193,67.4722,121.02000000000001,1023477395.362394,556076423542.7316,4.865012815761481e-12,109.56997736754386,115.92807851552816,1.7181606426873313
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,1.0005807440957342,5.726666666666667,88.00000000000001,50.05,2.3921296554849687,0.9998450539339537,-905.3031975773488,TRUE,161.05,4.753333333333333,TRUE,3128,67.4722,111.00000000000001,740667400.8267047,410959872507.4991,5.820835111927668e-12,131.09703830745025,137.4380474782327,2.036958146884683
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,1.0000774718055228,6.21,83.00000000000001,57.05,2.7433334349545913,0.99988867409557,-872.1296742211041,TRUE,160.05,4.553333333333334,TRUE,3408,67.4722,103.00000000000001,869647908.7671227,451473422184.3303,6.076400736242069e-12,136.85289563660882,145.17269828944399,2.151592778795474
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,1.0014667444071719,5.753333333333333,83.00000000000001,53.05,1.6976578572542815,0.9997713796818183,-879.4298586656204,TRUE,167.05,4.613333333333333,TRUE,3103,67.4722,114.00000000000001,538582709.2881347,278281174952.78503,6.100512754922488e-12,137.395947308033,144.8506943442472,2.146820384458298
Arthrobacter,R1,0.025110807796330067,0.0016102704179364775,1.0018617114863568,6.01,97.00000000000001,50.05,4.01755853068185,0.9999452054488813,-1004.0639997579419,TRUE,159.05,4.823333333333333,TRUE,1985,78.9285,109.00000000000001,1318264379.1913104,547257148390.34656,7.341262772900708e-12,165.3401596949379,118.91750358915826,1.506648467779804
Arthrobacter,R2,0.025876408861886933,0.0013645106028659204,1.0009458266947018,5.903333333333333,106.00000000000001,54.05,4.52370399562962,0.9999625004482394,-1110.778214774308,TRUE,167.05,4.726666666666667,TRUE,2028,78.9285,113.00000000000001,1117161426.0563328,627387541167.8633,7.210382257844775e-12,162.39246446460453,122.54316821132657,1.552584531713216
Arthrobacter,R3,0.021500942943189324,0.0019942165065020873,1.0027709590379374,6,73.00000000000001,57.05,2.117250943202553,0.9998581125715101,-776.3167635000449,TRUE,169.05,4.943333333333333,TRUE,1820,78.9285,112.00000000000001,1679516634.1844237,297189244184.9757,7.124251582553033e-12,160.45262658549498,101.8222305054911,1.2900565765913594
Arthrobacter,R4,0.0243928703356261,0.0015897500348159303,1.0014040915828974,6,97.00000000000001,57.05,3.775786264993357,0.9999498609272849,-1024.1807583456746,TRUE,169.05,4.94,TRUE,2923,78.9285,112.00000000000001,1951082118.7633407,772329916083.7084,4.888825599478813e-12,110.10628965936625,115.51755997712789,1.463572220137566
Arthrobacter,R5,0.023988579703305667,0.0020520520556274085,1.0016190196011714,7.003333333333333,75.00000000000001,68.05,3.0220664498693717,0.9999164977569786,-808.0957732059575,TRUE,171.05,5.74,TRUE,2342,78.9285,103.00000000000001,2029839444.5124905,426847287367.5588,7.0799710793688756e-12,159.45533964803968,113.60295678674169,1.43931478219834
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,1.0025122136365723,6.03,84.01000000000002,54.07,3.3170992051703916,0.99994979795952,-915.7600626028093,TRUE,151.08,4.726666666666667,TRUE,175,110.4466,97.01000000000002,34774503.53743408,25168788433.378624,1.3179415504845215e-10,2968.272260054301,269.39429631650665,2.439136164594534
Bacillus,R2,0.026729527078922094,0.0014682656305410372,1.0008726486068946,5.926666666666667,90.01000000000002,59.07,3.284416231748874,0.9998868676988462,-899.5546078997868,TRUE,167.08,4.9,TRUE,164,110.4466,108.01000000000002,93745658.16275518,35382964563.24958,9.282478933831971e-11,2090.602934075676,177.13112312849265,1.6037716247353258
Bacillus,R3,0.025082432501601307,0.0012446959926093967,1.0016379592267568,5.93,106.01000000000002,58.07,3.9084675955524317,0.9999496855957795,-1110.9551506272028,TRUE,177.08,4.96,TRUE,99,110.4466,119.01000000000002,51307385.10290849,27168672096.346363,1.4385935321726826e-10,3240.0050468640707,166.21616337188155,1.5049459500960785
Bacillus,R4,0.027337464577366785,0.0012044608880625932,1.0016400930500897,6.26,101.01000000000002,69.07,4.08785211060906,0.9999467423571347,-1055.3318088749527,TRUE,182.1,4.85,TRUE,135,110.4466,113.03,62997579.18865025,34154820055.860577,1.19685950736187e-10,2695.5708874786087,181.1598009114359,1.640247874642007
Bacillus,R5,0.02273270654790027,0.0017415699615936741,1.0014387192657337,5.783333333333333,93.01000000000002,51.07,3.2274477886492408,0.9999147928839253,-953.2809425109494,TRUE,165.08,4.8566666666666665,TRUE,261,110.4466,114.01000000000002,200444956.24547884,64229598628.26313,5.0248605900972545e-11,1131.7007415649375,150.64500882079932,1.363962392874016
Burkholderia,R1,0.022565525620342607,0.00150950058400556,1.0029313041523,6.293333333333333,104.00000000000001,53.05,3.979261836630409,0.9999251345230658,-1054.8805983427578,TRUE,173.05,4.75,TRUE,2201,72.449700000000007,120.00000000000001,1505046614.6654606,630432287500.5627,6.311957549647007e-12,142.1581138736362,98.09193369216815,1.3539315372205565
Burkholderia,R2,0.01985526299343977,0.0018822269649864127,1.0018054968983412,5.613333333333333,104.00000000000001,66.05,3.663647899985356,0.9999264904970584,-1048.4009167293143,TRUE,186.05,4.6033333333333335,TRUE,2020,72.449700000000007,120.00000000000001,1912174536.069011,663053292121.786,5.525419967770007e-12,124.44368879220991,86.31047083774881,1.1913157796063862
Burkholderia,R3,0.020906224897298566,0.0014139412958725352,1.001629917238403,6.6466666666666665,111.00000000000001,62.05,4.127454208811825,0.9999415810840924,-1157.566858314479,TRUE,191.05,5.47,TRUE,2360,72.449700000000007,129,1631555330.08315,716553781272.8689,5.760145737393102e-12,129.73019023406815,90.87898331650874,1.254373493837914
Burkholderia,R4,0.020752221501308718,0.0013852215543547273,1.0009237899955028,5.76,113.00000000000001,60.05,3.6269370255382323,0.9999209675795584,-1140.9740215731424,TRUE,190.05,4.85,TRUE,2086,72.449700000000007,130,1440852142.553858,654964419034.7876,5.537609250412719e-12,124.71821621358927,90.20953332620198,1.245133290078523
Burkholderia,R5,0.02204622666471412,0.0013051447404835628,1.00076301873485,6.056666666666667,106.00000000000001,66.05,3.3521860279250384,0.9999291858679031,-1109.5597979563279,TRUE,194.05,4.72,TRUE,2538,72.449700000000007,128,1548419137.2661884,656635398916.5819,5.105094902675047e-12,114.97711396217883,95.83455047943232,1.3227735998828472
Buttiauxella,R1,0.021649771284339352,0.00125188704384754,1.0029244223708722,5.86,109.02000000000001,48.03,3.250834807419928,0.9999007560201925,-1103.4946724473566,TRUE,179.05,4.75,TRUE,2494,72.449700000000007,131.02,1499467367.0280745,664460485208.4337,4.892442635471661e-12,110.18775266201034,94.11116607714006,1.298986277060361
Buttiauxella,R2,0.024447099781649818,0.0015485627711867797,1.0017197717617223,5.72,100.00000000000001,58.05,3.814262851799647,0.9999374987102311,-1022.3933887164069,TRUE,171.05,4.6466666666666665,TRUE,2381,72.449700000000007,113.00000000000001,1541526925.0789518,663799452594.0155,5.746107257085187e-12,129.41401512253924,106.2711027030357,1.466825986898989
Buttiauxella,R3,0.021626032294096133,0.001500309256863582,1.0004089437300248,5.87,102.00000000000001,52.05,3.2896263381304283,0.9999383589996883,-1078.5943802590045,TRUE,176.05,4.673333333333334,TRUE,2081,72.449700000000007,124.00000000000001,1460816733.4175856,545661628762.89856,6.028692810210116e-12,135.7784161699488,94.0079731138546,1.2975619376457679
Buttiauxella,R4,0.018628879555084597,0.0021483778484651735,1.0021453011094312,5.8133333333333335,108.00000000000001,67.05,4.34277017162406,0.9999389703417135,-1079.2617825654352,TRUE,185.05,4.696666666666666,TRUE,2156,72.449700000000007,118.00000000000001,2454251945.666075,853395008803.978,5.0888159959013534e-12,114.6104798926892,80.97940410612077,1.117732773305076
Buttiauxella,R5,0.02164406271296873,0.0014995347819748075,1.0015444502367095,5.69,109.00000000000001,56.05,3.777542875451561,0.9999385930563365,-1116.77954154485,TRUE,180.05,4.46,TRUE,2073,72.449700000000007,124.00000000000001,1451951044.409993,642824714534.4055,5.876474239462954e-12,132.35014455313996,94.08635102014625,1.298643762778124
Chromobacterium,R1,0.02522617126544078,0.0014620768532508386,1.0009404118674508,5.906666666666667,87.01000000000002,54.07,2.7316789335909215,0.9999202183171828,-931.020086087014,TRUE,166.08,4.753333333333333,TRUE,1466,73.481,112.01000000000002,891124886.278548,281874352269.5583,9.69112269916136e-12,218.26378162315223,111.21865744535121,1.5135702759264467
Chromobacterium,R2,0.02625342021813681,0.0011788058996135872,1.0001577614974362,6.243333333333333,97.01000000000002,58.07,3.2985990938633987,0.9999266164456014,-1022.231532448207,TRUE,175.08,5.246666666666667,TRUE,2092,73.481,117.01000000000002,994001055.2524903,445510103286.9528,7.404094922935502e-12,166.75526742804857,115.74765426293465,1.5752052130882086
Chromobacterium,R3,0.026373880490035476,0.0011597839431415323,1.0017716479779677,5.693333333333333,99.01000000000002,58.07,3.1586863675191403,0.9999249364828114,-1031.6948210580244,TRUE,176.08,4.716666666666667,TRUE,1526,73.481,118.01000000000002,696312614.3438448,333094196106.37213,9.482862218681312e-12,213.57333228685772,116.27874673729781,1.5824328294021286
Chromobacterium,R4,0.023193495636809267,0.0016979271532427086,1.000423897548463,5.916666666666667,99.01000000000002,64.07,3.8715156802521387,0.9999497586299898,-1036.8576073117565,TRUE,177.08,4.836666666666667,TRUE,1376,73.481,113.01000000000002,1026196183.4535605,395471563972.17847,9.789618351736918e-12,220.48210392408043,102.25687517330289,1.391609738208556
