Taxon,m_lr,m_lk,sd_lr_two,sd_lk_two,m_lr_j,m_lk_j,sd_lr_joint,sd_lk_joint,ratio_logr,ratio_logK
Acinetobacter,-4.257873010864559,-6.038132206221454,0.10342736773976832,0.12581794686593628,-4.257879934058057,-6.038100504242109,0.05771297281181006,0.09364455301473172,0.558004849906077,0.7442861320453233
Aeromonas_A,-3.8689525449559805,-6.620067253783009,0.05705370105427454,0.13221210521947022,-3.868907024559018,-6.620085485878025,0.05770603014042218,0.09365927396817228,1.0114335980680216,0.7084016536360208
Aeromonas_B,-3.4166362520698637,-7.174440320385703,0.04484970649616103,0.0770280533636637,-3.4166695762179735,-7.174365824097794,0.057707422608233944,0.09370334574612467,1.2866845095892319,1.2164833674782594
Arthrobacter,-3.72443615964865,-6.375782021145467,0.03156709218615398,0.07637306178898473,-3.7243695409728144,-6.375837250562764,0.057710129432609905,0.09365521145059215,1.8281737542466086,1.2262859345531703
Bacillus,-3.578744480060976,-6.693872143050132,0.09930622301704124,0.13863284768693718,-3.5787082966335095,-6.693896698968043,0.057693683997484216,0.09365679467063094,0.5809674584802587,0.6755743406651226
Burkholderia,-3.85360844773813,-6.511197363223719,0.02277420063020567,0.06338722309860374,-3.8536076009273037,-6.51119564961955,0.05769386628556892,0.09365033720605315,2.5332992899451723,1.477432400854235
Buttiauxella,-3.838785581746735,-6.460251569809659,0.04311073008805537,0.0877301473037627,-3.838787885899113,-6.460241448652777,0.057693592377053494,0.09365005259650931,1.3382652592338857,1.067478574636939
Chromobacterium,-3.682188013011641,-6.624242670685965,0.023180693450646425,0.0741439166111084,-3.682192023067808,-6.624231551924545,0.057691928201669296,0.09365150830295645,2.4887921633794123,1.2631044134634422
Chryseobacterium,-4.1340671425644615,-7.067374016105742,0.018676354659045078,0.07795248326722062,-4.13406937385517,-7.067369637207456,0.057694774098703626,0.0936447857657946,3.089188182168177,1.201305998742604
Flavobacterium_A,-3.8983732547102457,-6.507848274972811,0.08227621459141453,0.1002208164967417,-3.898368445882512,-6.507832669215627,0.0577060127620624,0.09365602617630209,0.7013693209955236,0.9344967388022324
Flavobacterium_B,-4.326005151916262,-6.326968901485059,0.1280675430117261,0.05121046884276547,-4.325017188441622,-6.327334753588428,0.05773648940756359,0.09364316664205795,0.4508284304499941,1.8285942065786607
Herbaspirillum,-3.868256228933615,-7.016852885888523,0.03905014525504046,0.04691078296418086,-3.8682473744265584,-7.016860291801866,0.057688850957143344,0.09364617240915672,1.477301827697992,1.9962611257343772
Pseudomonas,-3.7950006520219173,-6.750186384370342,0.05265646946132339,0.16522922906146906,-3.7950134528281803,-6.750144987050897,0.0576901924701732,0.09365139657105898,1.0955955281534233,0.5667967895451386
Serratia,-3.6569442145006326,-6.809116776926221,0.05642089611113273,0.15840515885128212,-3.6569671064328944,-6.809058558273893,0.057688535019034363,0.09365230973587749,1.0224675429721064,0.5912200739863687
Yersinia,-3.2439682705294013,-7.689112306809069,0.0440509497083673,0.09800978387475817,-3.24396809065417,-7.68910678151134,0.05768074649029191,0.09365074730003171,1.3094098282138893,0.9555244751861033
