Taxon,Replicate,fit_start,fit_end
Acinetobacter,R1,43,155.1
Acinetobacter,R2,50,166.1
Acinetobacter,R3,64,152.1
Acinetobacter,R4,72,178.1
Acinetobacter,R5,58,177.1
Aeromonas_A,R1,46.1,152.1
Aeromonas_A,R2,63.1,175.1
Aeromonas_A,R3,58.1,178.1
Aeromonas_A,R4,55.1,156.1
Aeromonas_A,R5,73.1,168.1
Aeromonas_B,R1,50,143.1
Aeromonas_B,R2,47,146.1
Aeromonas_B,R3,50,138.1
Aeromonas_B,R4,57,140.1
Aeromonas_B,R5,53,136.1
Arthrobacter,R1,50,147.1
Arthrobacter,R2,54,160.1
Arthrobacter,R3,57,130.1
Arthrobacter,R4,57,154.1
Arthrobacter,R5,68,143.1
Bacillus,R1,53.1,138.3
Bacillus,R2,58.1,149.1
Bacillus,R3,57.1,164.1
Bacillus,R4,68.1,170.1
Bacillus,R5,50.1,144.1
Burkholderia,R1,53,157.1
Burkholderia,R2,66,170.1
Burkholderia,R3,62,173.1
Burkholderia,R4,60,173.1
Burkholderia,R5,66,172.1
Buttiauxella,R1,48,157.1
Buttiauxella,R2,58,158.1
Buttiauxella,R3,52,154.1
Buttiauxella,R4,67,175.1
Buttiauxella,R5,56,165.1
Chromobacterium,R1,53.1,141.1
Chromobacterium,R2,57.1,155.1
Chromobacterium,R3,57.1,157.1
Chromobacterium,R4,63.1,163.1
Chromobacterium,R5,54.1,174.1
Chryseobacterium,R1,58.1,188.1
Chryseobacterium,R2,66.1,189.1
Chryseobacterium,R3,78.1,197.1
Chryseobacterium,R4,62.1,212.1
Chryseobacterium,R5,79.1,196.1
Flavobacterium_A,R1,40,164.1
Flavobacterium_A,R2,53.1,157.1
Flavobacterium_A,R3,60.1,168.1
Flavobacterium_A,R4,63.1,144.1
Flavobacterium_A,R5,72.1,183.1
Flavobacterium_B,R1,44,176.1
Flavobacterium_B,R2,59,164.1
Flavobacterium_B,R3,60,197.1
Flavobacterium_B,R4,57,173.1
Flavobacterium_B,R5,72,166.1
Herbaspirillum,R1,56,168.1
Herbaspirillum,R2,68,186.1
Herbaspirillum,R3,72,186.1
Herbaspirillum,R4,57,179.1
Herbaspirillum,R5,60,184.1
Pseudomonas,R1,46.1,167.1
Pseudomonas,R2,52.1,171.1
Pseudomonas,R3,68.1,180.1
Pseudomonas,R4,65.1,185.1
Pseudomonas,R5,74.1,174.1
Serratia,R1,47.1,160.1
Serratia,R2,44.1,153.1
Serratia,R3,52.1,169.1
Serratia,R4,60.1,156.1
Serratia,R5,48.1,153.1
Yersinia,R1,52.1,152.2
Yersinia,R2,44.1,164
Yersinia,R3,55.1,166.8
Yersinia,R4,51.1,163.2
Yersinia,R5,56.1,167.1
