Taxon,mR,mG
Acinetobacter,3.666874838119482,1.8637984913427565
Aeromonas_A,3.217148859653576,1.9270113807397982
Aeromonas_B,3.119441510181402,2.123449850747655
Arthrobacter,3.236351219868552,2.05788302725891
Bacillus,4.450561478933946,2.267074621679021
Burkholderia,3.1532126852309394,1.9645869575440897
Buttiauxella,3.1508574592353384,1.9710244465419329
Chromobacterium,3.286178987615304,2.045172372900085
Chryseobacterium,2.6223837773843703,1.6849689341114888
Flavobacterium_A,3.276558176294117,1.8066247489267486
Flavobacterium_B,3.7344240247653286,1.6209065753337895
Herbaspirillum,2.6503771537820655,1.9582255071290031
Pseudomonas,3.2369060631293625,1.9591282796328218
Serratia,3.3736472236580197,1.8985760390748951
Yersinia,3.1804650423122136,2.1414630063136184
