Time,Taxon,Replicate,Oxygen,series_id,curve_code,O2_fit,peak_time,end_time_chosen,end_reason
43.03,Acinetobacter,R1,6.2,Acinetobacter | Rep=R1,C001,6.186992250404377,43.03,168.05,hybrid_drop_fraction
44.03,Acinetobacter,R1,6.19,Acinetobacter | Rep=R1,C001,6.185324561152894,43.03,168.05,hybrid_drop_fraction
45.03,Acinetobacter,R1,6.19,Acinetobacter | Rep=R1,C001,6.180275533220949,43.03,168.05,hybrid_drop_fraction
46.03,Acinetobacter,R1,6.17,Acinetobacter | Rep=R1,C001,6.172571034665491,43.03,168.05,hybrid_drop_fraction
47.03,Acinetobacter,R1,6.16,Acinetobacter | Rep=R1,C001,6.163312551068912,43.03,168.05,hybrid_drop_fraction
48.03,Acinetobacter,R1,6.14,Acinetobacter | Rep=R1,C001,6.153645169149197,43.03,168.05,hybrid_drop_fraction
49.03,Acinetobacter,R1,6.14,Acinetobacter | Rep=R1,C001,6.144322271765584,43.03,168.05,hybrid_drop_fraction
50.05,Acinetobacter,R1,6.14,Acinetobacter | Rep=R1,C001,6.134276237081157,43.03,168.05,hybrid_drop_fraction
51.05,Acinetobacter,R1,6.14,Acinetobacter | Rep=R1,C001,6.122874456258644,43.03,168.05,hybrid_drop_fraction
52.05,Acinetobacter,R1,6.1,Acinetobacter | Rep=R1,C001,6.109940526669896,43.03,168.05,hybrid_drop_fraction
53.05,Acinetobacter,R1,6.1,Acinetobacter | Rep=R1,C001,6.095821307583539,43.03,168.05,hybrid_drop_fraction
54.05,Acinetobacter,R1,6.08,Acinetobacter | Rep=R1,C001,6.08119017126213,43.03,168.05,hybrid_drop_fraction
55.05,Acinetobacter,R1,6.06,Acinetobacter | Rep=R1,C001,6.0666947998129,43.03,168.05,hybrid_drop_fraction
56.05,Acinetobacter,R1,6.05,Acinetobacter | Rep=R1,C001,6.052553601727833,43.03,168.05,hybrid_drop_fraction
57.05,Acinetobacter,R1,6.04,Acinetobacter | Rep=R1,C001,6.038799181042989,43.03,168.05,hybrid_drop_fraction
58.05,Acinetobacter,R1,6.04,Acinetobacter | Rep=R1,C001,6.025150197585943,43.03,168.05,hybrid_drop_fraction
59.05,Acinetobacter,R1,6,Acinetobacter | Rep=R1,C001,6.011413472225454,43.03,168.05,hybrid_drop_fraction
60.05,Acinetobacter,R1,5.99,Acinetobacter | Rep=R1,C001,5.998062414203454,43.03,168.05,hybrid_drop_fraction
61.05,Acinetobacter,R1,5.99,Acinetobacter | Rep=R1,C001,5.985517396722816,43.03,168.05,hybrid_drop_fraction
62.05,Acinetobacter,R1,5.98,Acinetobacter | Rep=R1,C001,5.973320060457013,43.03,168.05,hybrid_drop_fraction
63.05,Acinetobacter,R1,5.95,Acinetobacter | Rep=R1,C001,5.960892092558703,43.03,168.05,hybrid_drop_fraction
64.05,Acinetobacter,R1,5.96,Acinetobacter | Rep=R1,C001,5.948054098626705,43.03,168.05,hybrid_drop_fraction
65.05,Acinetobacter,R1,5.93,Acinetobacter | Rep=R1,C001,5.93474275782852,43.03,168.05,hybrid_drop_fraction
66.05,Acinetobacter,R1,5.92,Acinetobacter | Rep=R1,C001,5.920960125160214,43.03,168.05,hybrid_drop_fraction
67.05,Acinetobacter,R1,5.91,Acinetobacter | Rep=R1,C001,5.906741909527288,43.03,168.05,hybrid_drop_fraction
68.05,Acinetobacter,R1,5.89,Acinetobacter | Rep=R1,C001,5.892193059644429,43.03,168.05,hybrid_drop_fraction
69.05,Acinetobacter,R1,5.87,Acinetobacter | Rep=R1,C001,5.877338306741109,43.03,168.05,hybrid_drop_fraction
70.05,Acinetobacter,R1,5.87,Acinetobacter | Rep=R1,C001,5.861812272296766,43.03,168.05,hybrid_drop_fraction
71.05,Acinetobacter,R1,5.85,Acinetobacter | Rep=R1,C001,5.845269576318442,43.03,168.05,hybrid_drop_fraction
72.05,Acinetobacter,R1,5.82,Acinetobacter | Rep=R1,C001,5.827834942673641,43.03,168.05,hybrid_drop_fraction
73.05,Acinetobacter,R1,5.81,Acinetobacter | Rep=R1,C001,5.809679411153682,43.03,168.05,hybrid_drop_fraction
74.05,Acinetobacter,R1,5.8,Acinetobacter | Rep=R1,C001,5.790689181384681,43.03,168.05,hybrid_drop_fraction
75.05,Acinetobacter,R1,5.77,Acinetobacter | Rep=R1,C001,5.77083916360776,43.03,168.05,hybrid_drop_fraction
76.05,Acinetobacter,R1,5.74,Acinetobacter | Rep=R1,C001,5.750743950689253,43.03,168.05,hybrid_drop_fraction
77.05,Acinetobacter,R1,5.73,Acinetobacter | Rep=R1,C001,5.730949229585707,43.03,168.05,hybrid_drop_fraction
78.05,Acinetobacter,R1,5.72,Acinetobacter | Rep=R1,C001,5.711085380989305,43.03,168.05,hybrid_drop_fraction
79.05,Acinetobacter,R1,5.69,Acinetobacter | Rep=R1,C001,5.690733510785165,43.03,168.05,hybrid_drop_fraction
80.05,Acinetobacter,R1,5.67,Acinetobacter | Rep=R1,C001,5.67019293189452,43.03,168.05,hybrid_drop_fraction
81.05,Acinetobacter,R1,5.64,Acinetobacter | Rep=R1,C001,5.649810357258055,43.03,168.05,hybrid_drop_fraction
82.05,Acinetobacter,R1,5.64,Acinetobacter | Rep=R1,C001,5.629403892858165,43.03,168.05,hybrid_drop_fraction
83.05,Acinetobacter,R1,5.61,Acinetobacter | Rep=R1,C001,5.608786071031069,43.03,168.05,hybrid_drop_fraction
84.05,Acinetobacter,R1,5.58,Acinetobacter | Rep=R1,C001,5.588275736486559,43.03,168.05,hybrid_drop_fraction
85.05,Acinetobacter,R1,5.56,Acinetobacter | Rep=R1,C001,5.56810063192314,43.03,168.05,hybrid_drop_fraction
86.05,Acinetobacter,R1,5.56,Acinetobacter | Rep=R1,C001,5.547617779620603,43.03,168.05,hybrid_drop_fraction
87.05,Acinetobacter,R1,5.53,Acinetobacter | Rep=R1,C001,5.52612115071341,43.03,168.05,hybrid_drop_fraction
88.05,Acinetobacter,R1,5.5,Acinetobacter | Rep=R1,C001,5.5035232321734044,43.03,168.05,hybrid_drop_fraction
89.05,Acinetobacter,R1,5.49,Acinetobacter | Rep=R1,C001,5.480008776149536,43.03,168.05,hybrid_drop_fraction
90.05,Acinetobacter,R1,5.44,Acinetobacter | Rep=R1,C001,5.456233079661796,43.03,168.05,hybrid_drop_fraction
91.05,Acinetobacter,R1,5.43,Acinetobacter | Rep=R1,C001,5.432739149344782,43.03,168.05,hybrid_drop_fraction
92.05,Acinetobacter,R1,5.42,Acinetobacter | Rep=R1,C001,5.409150285420465,43.03,168.05,hybrid_drop_fraction
93.05,Acinetobacter,R1,5.38,Acinetobacter | Rep=R1,C001,5.384953129332809,43.03,168.05,hybrid_drop_fraction
94.05,Acinetobacter,R1,5.36,Acinetobacter | Rep=R1,C001,5.360007393826358,43.03,168.05,hybrid_drop_fraction
95.05,Acinetobacter,R1,5.34,Acinetobacter | Rep=R1,C001,5.33425819126372,43.03,168.05,hybrid_drop_fraction
96.05,Acinetobacter,R1,5.3,Acinetobacter | Rep=R1,C001,5.307619161179181,43.03,168.05,hybrid_drop_fraction
97.05,Acinetobacter,R1,5.29,Acinetobacter | Rep=R1,C001,5.280056083049545,43.03,168.05,hybrid_drop_fraction
