Taxon,Replicate,ds,de,is_base,r,K,Rpc,ok,dK_pct,dR_pct,dr_pct
Acinetobacter,R1,-6,-6,FALSE,0.019399979630893904,0.0015648423973418626,500.1256240151501,TRUE,0.2112868747350187,12.049068559310399,-0.18767239413589257
Acinetobacter,R1,-6,-3,FALSE,0.01942190871579968,0.001562905741464972,500.9991457560395,TRUE,0.08726494256702455,12.244773983573971,-0.07484789388607482
Acinetobacter,R1,-6,0,FALSE,0.019436456494131622,0.001561543061808925,501.5540370070851,TRUE,0,12.369092844367808,0
Acinetobacter,R1,-6,3,FALSE,0.019450127495264494,0.0015602383202038687,502.0679135262489,TRUE,-0.08355463496119894,12.484222688874748,0.07033690084918015
Acinetobacter,R1,-6,6,FALSE,0.01944449123932084,0.001560774299969317,501.85540940562043,TRUE,-0.04923090873443528,12.436612873184293,0.04133852892188606
Acinetobacter,R1,-3,-6,FALSE,0.019399979630893904,0.0015648423973418626,471.84916838160717,TRUE,0.2112868747350187,5.713959211261534,-0.18767239413589257
Acinetobacter,R1,-3,-3,FALSE,0.01942190871579968,0.001562905741464972,472.64220747747413,TRUE,0.08726494256702455,5.891633155079134,-0.07484789388607482
Acinetobacter,R1,-3,0,FALSE,0.019436456494131622,0.001561543061808925,473.1450413773341,TRUE,0,6.00428899076103,0
Acinetobacter,R1,-3,3,FALSE,0.019450127495264494,0.0015602383202038687,473.61038634881277,TRUE,-0.08355463496119894,6.108545737684605,0.07033690084918015
Acinetobacter,R1,-3,6,FALSE,0.01944449123932084,0.001560774299969317,473.41793194249107,TRUE,-0.04923090873443528,6.065427897020179,0.04133852892188606
Acinetobacter,R1,0,-6,FALSE,0.019399979630893904,0.0015648423973418626,445.17142696065895,TRUE,0.2112868747350187,-0.26297125169917096,-0.18767239413589257
Acinetobacter,R1,0,-3,FALSE,0.01942190871579968,0.001562905741464972,445.8902937889624,TRUE,0.08726494256702455,-0.10191499970607142,-0.07484789388607482
Acinetobacter,R1,0,0,TRUE,0.019436456494131622,0.001561543061808925,446.3451864844561,TRUE,0,0,0
Acinetobacter,R1,0,3,FALSE,0.019450127495264494,0.0015602383202038687,446.76584982709613,TRUE,-0.08355463496119894,0.0942461922695477,0.07033690084918015
Acinetobacter,R1,0,6,FALSE,0.01944449123932084,0.001560774299969317,446.5918551125118,TRUE,-0.04923090873443528,0.055264095037854497,0.04133852892188606
Acinetobacter,R1,3,-6,FALSE,0.019411321597393963,0.0016671116711037116,445.4433295082471,TRUE,6.760531417717913,-0.2020537027210561,-0.1293183083307818
Acinetobacter,R1,3,-3,FALSE,0.01943301261495069,0.0016651425389296085,446.14500123329594,TRUE,6.6344297288011775,-0.04484987342126287,-0.01771865762656646
Acinetobacter,R1,3,0,FALSE,0.019447015798554124,0.001663789227883888,446.5762052640327,TRUE,6.547764744733887,0.051757874078612466,0.054327312314821845
Acinetobacter,R1,3,3,FALSE,0.01946012826844783,0.0016624990917387245,446.9739324836034,TRUE,6.4651454320350155,0.14086541497164012,0.12179058627973119
Acinetobacter,R1,3,6,FALSE,0.01945313656831591,0.001663188082305029,446.7621390637602,TRUE,6.5092678506320665,0.09341482599780929,0.08581849366073951
Acinetobacter,R1,6,-6,FALSE,0.01939625331787112,0.0017737631265597141,445.0856979149394,TRUE,13.590407459205691,-0.28217814544766223,-0.20684416561547725
Acinetobacter,R1,6,-3,FALSE,0.019420878146884594,0.0017714679071839101,445.8696890475757,TRUE,13.443423400172112,-0.10653132402425088,-0.08015014080232159
Acinetobacter,R1,6,0,FALSE,0.01943705502058204,0.0017698640446405117,446.3608373230133,TRUE,13.340713293571497,0.003506442778166566,0.003079401076012241
Acinetobacter,R1,6,3,FALSE,0.01945196466567889,0.0017683563602051314,446.8062212397332,TRUE,13.244162358009477,0.10329107812460402,0.07978908888021427
Acinetobacter,R1,6,6,FALSE,0.019445597149707932,0.0017689984136040687,446.6155306167016,TRUE,13.285278957009544,0.060568398726287706,0.04702840550729785
Acinetobacter,R2,-6,-6,FALSE,0.014201450112406297,0.001975053459642283,363.60980450049937,TRUE,-9.302848156839751,0.09154396467375568,0.04843123715200498
Acinetobacter,R2,-6,-3,FALSE,0.014167597271820043,0.0019790055579019155,362.56502380486796,TRUE,-9.12136240808544,-0.1960547514111659,-0.19006015399243406
Acinetobacter,R2,-6,0,FALSE,0.01417160728786532,0.0019785394680392936,362.6890777436246,TRUE,-9.142765891032393,-0.16190619405280166,-0.16180981255615645
Acinetobacter,R2,-6,3,FALSE,0.014184477763816766,0.0019769346891726687,363.06740377615824,TRUE,-9.216459527946576,-0.057763686756159636,-0.0711380207302768
Acinetobacter,R2,-6,6,FALSE,0.014225399313722785,0.0019716802966444594,364.24323225679495,TRUE,-9.457748407823718,0.26590879569034487,0.2171520369387952
Acinetobacter,R2,-3,-6,FALSE,0.014209657964474062,0.002071303534290399,363.79821936861117,TRUE,-4.882913297528777,0.1434092741945422,0.10625510138465251
Acinetobacter,R2,-3,-3,FALSE,0.014173215379951495,0.0020756289956838083,362.6888294137066,TRUE,-4.684282203836335,-0.1619745522890009,-0.15048089267591103
Acinetobacter,R2,-3,0,FALSE,0.014176850575846623,0.0020752022380898017,362.80023524374496,TRUE,-4.703879495299447,-0.1313076632304915,-0.12487113848400615
Acinetobacter,R2,-3,3,FALSE,0.014189837322392465,0.0020735533079008685,363.17660957124684,TRUE,-4.779600621223569,-0.02770240539075954,-0.03338022674599024
Acinetobacter,R2,-3,6,FALSE,0.014232182680291241,0.002068013115980347,364.3761254770086,TRUE,-5.034013799460682,0.3024905584178208,0.264940479549151
Acinetobacter,R2,0,-6,FALSE,0.01423371772059382,0.00217290043593435,364.4513504190877,TRUE,-0.21744484136609094,0.32319786747318,0.27575475365097024
Acinetobacter,R2,0,-3,FALSE,0.014192788542521678,0.0021778370401659506,363.2212379286839,TRUE,0.009250765984284568,-0.015417474827304566,-0.012589044026888827
