N0_CV,draw_model,n_series,R_rel_sd_med,R_rel_sd_min,R_rel_sd_max,N0_CV_pct,scenario
0.1,lognormal,75,0.10024559930026775,0.09260240329143772,0.10889849427674551,10,cv10_lognormal
0.2,lognormal,75,0.19853384949701042,0.18304472915411174,0.2226781633178536,20,cv20_lognormal
0.3,lognormal,75,0.2992846550817923,0.2681689483297703,0.33392561891712674,30,cv30_lognormal
0.4,lognormal,75,0.39882492908009215,0.35821696324224866,0.4687350646355453,40,cv40_lognormal
