Time,Taxon,Replicate,Oxygen,series_id
0.03,Acinetobacter,R1,4.95,Acinetobacter | R1
1.03,Acinetobacter,R1,4.94,Acinetobacter | R1
2.03,Acinetobacter,R1,5.02,Acinetobacter | R1
3.03,Acinetobacter,R1,5.08,Acinetobacter | R1
4.03,Acinetobacter,R1,5.16,Acinetobacter | R1
5.03,Acinetobacter,R1,5.23,Acinetobacter | R1
6.03,Acinetobacter,R1,5.3,Acinetobacter | R1
7.03,Acinetobacter,R1,5.36,Acinetobacter | R1
8.03,Acinetobacter,R1,5.43,Acinetobacter | R1
9.03,Acinetobacter,R1,5.47,Acinetobacter | R1
10.03,Acinetobacter,R1,5.52,Acinetobacter | R1
11.03,Acinetobacter,R1,5.59,Acinetobacter | R1
12.03,Acinetobacter,R1,5.63,Acinetobacter | R1
13.03,Acinetobacter,R1,5.68,Acinetobacter | R1
14.03,Acinetobacter,R1,5.72,Acinetobacter | R1
15.03,Acinetobacter,R1,5.75,Acinetobacter | R1
16.03,Acinetobacter,R1,5.76,Acinetobacter | R1
17.03,Acinetobacter,R1,5.83,Acinetobacter | R1
18.03,Acinetobacter,R1,5.84,Acinetobacter | R1
19.03,Acinetobacter,R1,5.87,Acinetobacter | R1
20.03,Acinetobacter,R1,5.9,Acinetobacter | R1
21.03,Acinetobacter,R1,5.93,Acinetobacter | R1
22.03,Acinetobacter,R1,5.96,Acinetobacter | R1
23.03,Acinetobacter,R1,5.97,Acinetobacter | R1
24.03,Acinetobacter,R1,6,Acinetobacter | R1
25.03,Acinetobacter,R1,6.02,Acinetobacter | R1
26.03,Acinetobacter,R1,6.04,Acinetobacter | R1
27.03,Acinetobacter,R1,6.06,Acinetobacter | R1
28.03,Acinetobacter,R1,6.07,Acinetobacter | R1
29.03,Acinetobacter,R1,6.11,Acinetobacter | R1
30.03,Acinetobacter,R1,6.09,Acinetobacter | R1
31.03,Acinetobacter,R1,6.11,Acinetobacter | R1
32.03,Acinetobacter,R1,6.13,Acinetobacter | R1
