depletion_frac,pct_O2_depleted,n_curves_used,n_not_depleted,median_R_fgC_cell_h,median_pct_shift_vs_default,ordering_rho_vs_default
0.05,95,75,23,166.02348176218,4.398347373740563,0.9964285714285712
0.075,92,75,14,160.16807518052946,1.9156205334937448,0.9964285714285712
0.1,90,75,13,154.52313438426762,0,0.9999999999999998
0.125,88,75,13,152.94318426145435,-2.0538375963951583,0.9999999999999998
0.15,85,75,12,146.04419504740832,-4.065492704066653,0.9964285714285712
0.2,80,75,12,140.53669737068643,-7.873945923074343,0.9999999999999998
0.25,75,75,11,133.1657815267186,-12.151936542822572,0.9999999999999998
