Taxon,n,fold_obs_med,fold_pred_med,ratio_min,ratio_med,ratio_max,n_excluded
Acinetobacter,5,4.921348314606742,5.1160168788872555,0.8313008361281852,1.0083526436528871,1.2640118149933084,0
Aeromonas_A,5,9.45086705202312,10.442452275942824,0.7888112015424597,0.8236233750338353,1.0826179324048182,0
Aeromonas_B,5,22.485507246376812,19.83679636798947,0.7510663395986537,1.1344877359985368,1.3599072950161084,0
Arthrobacter,5,10.903225806451612,10.655843451271986,0.933139892614025,1.0948462265104468,1.1874873830066626,0
Bacillus,5,9.647058823529411,12.915241365724944,0.6387801641782883,0.8181374163844524,0.9922465079950776,0
Burkholderia,5,8.644688644688644,11.574010810153231,0.7182801105178787,0.7422315010136422,0.8382855123034827,0
Buttiauxella,5,9.816037735849056,10.13418852692631,0.8667589202377799,1.0581649465858347,1.0979793620468326,0
Chromobacterium,5,11.932835820895523,12.397904961238961,0.9246972928394022,1.0261578784369778,1.0616310479932207,0
Chryseobacterium,5,9.74812030075188,8.954386017472848,0.9905460612775262,1.0558880813830611,1.1437514127481079,0
Flavobacterium_A,5,10.278688524590164,12.093161715369748,0.8073464322563874,0.8549160569606397,1.1784559876933776,0
Flavobacterium_B,5,3.67032967032967,6.178027319261452,0.4142830641313563,0.6157469308944492,0.6975538062236437,1
Herbaspirillum,5,12.617834394904458,15.383660116557595,0.7579984989695323,0.924873345515869,1.0870932237257789,0
Pseudomonas,5,14.046511627906977,13.333888419251245,0.8137258754866121,0.9129209552236245,1.1559795383164997,0
Serratia,5,14.281553398058252,14.777038198605984,0.9243451295715815,1.0018903486103545,1.3063053877026987,0
Yersinia,5,40.908256880733944,33.55338093156056,1.0713382338689343,1.164960375504147,1.7671975827043176,0
