model,intercept,slope,slope_se,p_value,r_squared,spearman_rho
log(ratio) ~ r,2.3380150383001856,76.45209449780734,4.0028254404799215,6.665091529315247e-30,0.8351618692925287,0.9169492780451683
log(ratio) ~ log(r),10.667047415890117,1.7209041163860683,0.1034783290432628,2.30012649462175e-26,0.7934453474082636,NA
