variant,n,lmer_intercept,lmer_slope,R2_lmer_fitted,ols_intercept,ols_slope,R2_ols,BA_bias,BA_sd,BA_loa_lo,BA_loa_hi,BA_pct_within
r_O2 ~ r_OD600 (unchanged),75,0.002869374141125711,0.9100220140412677,0.9435214469794807,0.004262805663610684,0.8476511171207881,0.7230446377834219,8.591711753984997e-4,0.0039069611766273295,-0.006798472730791066,0.008516815081588065,92
"r_O2 ~ r_FC, per-replicate initial (AS PUBLISHED)",75,0.003098430351145434,0.884817928453922,0.9680039829810673,0.0035652992464231125,0.8642678238455773,0.9413978996382927,4.816589271849651e-4,0.0020393194218871025,-0.0035154071397137557,0.004478724994083686,97.33333333333334
"r_O2 ~ r_FC, taxon-mean initial (COUNTERFACTUAL)",75,0.00424572030512116,0.8418078910481355,0.8786670383227727,0.0041315958321272855,0.8468763899060459,0.859463824767732,6.837995920988673e-4,0.0029276913596260196,-0.005054475472768131,0.006422074656965865,93.33333333333333
