Taxon,Replicate,r_per_minute,Duration_recorded_min,FC_Initial,FC_Final,fold_observed,fold_predicted,growth_check_ratio,r_FC_implied,r_ratio_FC_over_O2,keep_backward,keep_backward_strict,exclusion_reason
Acinetobacter,R1,0.01943645649413162,101,83,596,7.180722891566265,7.121241697302615,1.0083526436528871,0.019518812468007442,1.0042371907606042,TRUE,TRUE,NA
Acinetobacter,R2,0.01419457550388129,115,115,549,4.773913043478261,5.1160168788872555,0.9331308235473604,0.013592750549098094,0.9576017645178162,TRUE,TRUE,NA
Acinetobacter,R3,0.01494408464942784,119,89,438,4.921348314606742,5.9200569766392945,0.8313008361281852,0.013391449921380725,0.8961037250209527,TRUE,TRUE,NA
Acinetobacter,R4,0.01352010924335995,120,77,493,6.402597402597403,5.065298699467693,1.2640118149933084,0.015472531268241718,1.1444087462415031,TRUE,TRUE,NA
Acinetobacter,R5,0.01018491039079284,124,105,407,3.876190476190476,3.535762189660001,1.096281443227722,0.010926232542621546,1.0727863204863208,TRUE,TRUE,NA
Aeromonas_A,R1,0.02152182979085593,109,216,1802,8.342592592592593,10.442452275942824,0.7989112492103164,0.019462147068661634,0.9042979736291102,TRUE,TRUE,NA
Aeromonas_A,R2,0.01990585449241123,116,213,2321,10.896713615023474,10.065151600453,1.0826179324048182,0.020590183108319067,1.034378258726282,TRUE,TRUE,NA
Aeromonas_A,R3,0.02463468815971646,117,155,2183,14.083870967741936,17.854552445758895,0.7888112015424597,0.022607096065219635,0.9176936163611594,TRUE,TRUE,NA
Aeromonas_A,R4,0.0216194941726135,112,173,1635,9.45086705202312,11.261427009651067,0.8392246421278322,0.020054522221728346,0.9276129247802855,TRUE,TRUE,NA
Aeromonas_A,R5,0.01739496989774508,129,189,1468,7.767195767195767,9.430518854417752,0.8236233750338353,0.0158907689466265,0.913526671218122,TRUE,TRUE,NA
Aeromonas_B,R1,0.03054020779769078,94,155,3043,19.63225806451613,17.650772197395572,1.1122605767589553,0.031672064180614086,1.0370611880056981,TRUE,TRUE,NA
Aeromonas_B,R2,0.02863601071145552,97,146,3193,21.86986301369863,16.08187785582809,1.3599072950161084,0.031805253309344805,1.1106733277139564,TRUE,TRUE,NA
Aeromonas_B,R3,0.03394930244807805,88,127,3128,24.62992125984252,19.83679636798947,1.2416279727298953,0.03640865926371148,1.0724420426426953,TRUE,TRUE,NA
Aeromonas_B,R4,0.03585987964659123,88,128,3408,26.625,23.468742019115435,1.1344877359985368,0.037293757091245335,1.0399855621040939,TRUE,TRUE,NA
Aeromonas_B,R5,0.03578033974097163,95,138,3103,22.485507246376812,29.938110737850884,0.7510663395986537,0.03276706293990711,0.9157840081206927,TRUE,TRUE,NA
Arthrobacter,R1,0.02511080779633006,87,204,1985,9.730392156862745,8.887450969142925,1.0948462265104468,0.026152347118127292,1.041477730634753,TRUE,TRUE,NA
Arthrobacter,R2,0.02587640886188693,95,186,2028,10.903225806451612,11.684449344361616,0.933139892614025,0.025147986221030236,0.9718499330898431,TRUE,TRUE,NA
Arthrobacter,R3,0.02150094294318932,97,202,1820,9.009900990099009,8.04935098733806,1.1193326026249732,0.022663134872882844,1.0540530679405231,TRUE,TRUE,NA
Arthrobacter,R4,0.0243928703356261,97,231,2923,12.653679653679653,10.655843451271986,1.1874873830066626,0.026164412933911876,1.0726254259507302,TRUE,TRUE,NA
Arthrobacter,R5,0.02398857970330566,100,201,2342,11.651741293532337,11.010594771816235,1.0582299625954124,0.024554556360985868,1.0235935876437994,TRUE,TRUE,NA
Bacillus,R1,0.0406522694099089,73,11,175,15.909090909090908,19.445499729613932,0.8181374163844524,0.03790261234418005,0.932361535883686,TRUE,TRUE,NA
Bacillus,R2,0.02672952707892209,92,17,164,9.647058823529411,11.6944748036658,0.8249245037071185,0.024637533519217197,0.9217347335204235,TRUE,TRUE,NA
Bacillus,R3,0.0250824325016013,102,12,99,8.25,12.915241365724944,0.6387801641782883,0.020688364709280288,0.824814926062674,TRUE,FALSE,NA
Bacillus,R4,0.02733746457736678,108,11,135,12.272727272727273,19.15274743172635,0.6407815545250501,0.02321647690407462,0.8492549423656498,TRUE,FALSE,NA
Bacillus,R5,0.02273270654790027,90,34,261,7.676470588235294,7.736455131241819,0.9922465079950776,0.022646220918961468,0.9961955419273738,TRUE,TRUE,NA
Burkholderia,R1,0.0225655256203426,101,296,2201,7.4358108108108105,9.76806203526266,0.7612370584838186,0.019864431952499022,0.8802999888729129,TRUE,TRUE,NA
Burkholderia,R2,0.01985526299343977,114,283,2020,7.137809187279152,9.616688563515925,0.7422315010136422,0.017240402568000114,0.8683039138638651,TRUE,TRUE,NA
Burkholderia,R3,0.02090622489729856,119,273,2360,8.644688644688644,12.035261060557335,0.7182801105178787,0.018125589099451226,0.8669948395032028,TRUE,TRUE,NA
Burkholderia,R4,0.02075222150130871,118,215,2086,9.702325581395348,11.574010810153231,0.8382855123034827,0.019257335656212328,0.9279650207568327,TRUE,TRUE,NA
Burkholderia,R5,0.02204622666471412,122,236,2538,10.754237288135593,14.72636836295937,0.7302708327726805,0.019469670846301006,0.8831293963543886,TRUE,TRUE,NA
Buttiauxella,R1,0.02164977128433935,107,224,2494,11.133928571428571,10.14038055385022,1.0979793620468326,0.022523337143784503,1.040349888595685,TRUE,TRUE,NA
Buttiauxella,R2,0.02444709978164981,98,219,2381,10.872146118721462,10.977149330987643,0.9904343824521212,0.024349021598677162,0.9959881464939139,TRUE,TRUE,NA
Buttiauxella,R3,0.02162603229409613,103,212,2081,9.816037735849056,9.276472224411199,1.0581649465858347,0.02217492768661769,1.0253812342947166,TRUE,TRUE,NA
Buttiauxella,R4,0.01862887955508459,113,245,2156,8.8,8.207623272084486,1.0721739666013044,0.019245590455612045,1.033105098924703,TRUE,TRUE,NA
Buttiauxella,R5,0.02164406271296873,107,236,2073,8.783898305084746,10.13418852692631,0.8667589202377799,0.02030766642439411,0.9382557560335529,TRUE,TRUE,NA
Chromobacterium,R1,0.02522617126544078,92,138,1466,10.623188405797102,10.183897092884838,1.0431358750884456,0.025685208666189042,1.018196871650401,TRUE,TRUE,NA
Chromobacterium,R2,0.02625342021813681,101,139,2092,15.050359712230216,14.176638617229218,1.0616310479932207,0.026845563287664572,1.0225548924524008,TRUE,TRUE,NA
Chromobacterium,R3,0.02637388049003547,101,115,1526,13.269565217391305,14.350172018613135,0.9246972928394022,0.025598743400803488,0.9706096685497289,TRUE,TRUE,NA
Chromobacterium,R4,0.02319349563680926,103,123,1376,11.1869918699187,10.901823301262855,1.0261578784369778,0.02344419090408613,1.0108088608635175,TRUE,TRUE,NA
Chromobacterium,R5,0.02492601488710632,101,134,1599,11.932835820895523,12.397904961238961,0.9624880863502795,0.024547464483990526,0.9848130395159312,TRUE,TRUE,NA
Chryseobacterium,R1,0.01546010521164195,139,333,2913,8.747747747747749,8.575888685012426,1.0200397963461991,0.015602850841575474,1.0092331603167894,TRUE,TRUE,NA
Chryseobacterium,R2,0.01681179114807214,139,246,2688,10.926829268292684,10.348472968820818,1.0558880813830611,0.017203029969141564,1.0232716917325189,TRUE,TRUE,NA
Chryseobacterium,R3,0.01668582715915156,139,206,2343,11.37378640776699,10.168858634728183,1.118491938605951,0.017491447983584277,1.0482817433471294,TRUE,TRUE,NA
Chryseobacterium,R4,0.01577081633140894,139,261,2315,8.869731800766283,8.954386017472848,0.9905460612775262,0.015702478843148494,0.9956668388734993,TRUE,TRUE,NA
Chryseobacterium,R5,0.0154155460716585,139,266,2593,9.74812030075188,8.52293618359774,1.1437514127481079,0.016381830768035722,1.062682482468379,TRUE,TRUE,NA
Flavobacterium_A,R1,0.01802196080469134,117,143,1388,9.706293706293707,8.236449903650698,1.1784559876933776,0.019425423169289253,1.0778751202384467,TRUE,TRUE,NA
Flavobacterium_A,R2,0.01567720728141338,112,311,1539,4.948553054662379,5.788349644823914,0.8549160569606397,0.014277635907675402,0.9107257211941514,TRUE,TRUE,NA
Flavobacterium_A,R3,0.02416130472305527,108,147,1613,10.97278911564626,13.591178058444251,0.8073464322563874,0.022179800845800672,0.9179885399415619,TRUE,TRUE,NA
