Taxon,n,R_C_fwd_med,R_C_bwd_med,R_ratio_med,G_C_med,CUE_fwd_med,CUE_bwd_med,CUE_delta_med
Flavobacterium_B,4,5301.2327690274215,186.96465332956225,0.03304265088540026,45.80464278514884,0.007578531801583644,0.2036491811260921,0.19518657045308102
Chryseobacterium,5,415.04517166547987,13.28968081284367,0.03209171519862891,47.667860111071455,0.10139806258520077,0.7836062571718307,0.677175181256201
Acinetobacter,5,4657.927932403385,157.1610533010806,0.03130682377001582,73.2979205977912,0.014767112425341974,0.32931536289608626,0.31563769207013503
Herbaspirillum,5,408.1988189848088,10.208181204078478,0.023607170813759272,94.29866358608152,0.17701424528271265,0.9011794476507532,0.7199565484404855
Buttiauxella,5,1451.9151450848406,27.2308913614915,0.020127250407718216,94.08635102014624,0.06359456607303553,0.7755398092891939,0.7197673406789169
Aeromonas_A,5,1546.6478323388048,32.851791251388086,0.019705515955236463,87.12751224087538,0.0533289430091691,0.726187848277462,0.6728589052682928
Burkholderia,5,1500.5949980787414,27.96891167947606,0.019169135053977313,90.87898331650874,0.05710365634556894,0.7633755719403101,0.7024740393030692
Flavobacterium_A,5,1964.8941945461156,35.54264285260204,0.018088832951543364,67.43912602804932,0.033183103059589034,0.6548647082009877,0.6216816051413987
Arthrobacter,5,1645.5315381362104,27.079338630725214,0.016456286618119924,115.51755997712787,0.0673963944421283,0.8145210662163401,0.7537536792961861
Chromobacterium,5,1967.687487814169,29.560963832404454,0.01590262088216674,111.2186574453512,0.055796847765301985,0.7880270064511079,0.7287372872087353
Pseudomonas,5,1765.3555189621688,29.332227771313995,0.01491285118119525,91.98622797212116,0.047720959159592354,0.7706605064084692,0.7229395472488768
Serratia,5,2152.2504686946963,26.930622065651065,0.0126652578592799,84.29251745231363,0.037149586501743985,0.7464257477034356,0.7087369941340137
Bacillus,5,31022.784888747043,281.00000762478413,0.010286157062920648,177.13112312849265,0.005805669850820988,0.386638478021013,0.3801962687394467
Aeromonas_B,5,1345.85844918545,10.978524612234427,0.008897763798914039,137.4380474782327,0.09557047852889565,0.9260289841114072,0.8258036255218149
Yersinia,5,1637.3200424107795,6.118969913039858,0.004723503346747211,135.5838189368154,0.09098650417196678,0.9574068554246182,0.8690523017209267
