Taxon,Replicate,r_per_minute,delta_Ninoc_to_N0_min,t_0_min,t_last_oxygen_min,Duration_recorded_min,interval_min,interval_alt_min,N_inoc_cells_per_L,N_start_cells_per_L,N_end_cells_per_L,N0_forward,N0_backward,N0_backward_alt,N0_from_FCstart,ratio_back_over_forward,ratio_backalt_over_forward,ratio_FCstart_over_forward,check_back_over_FCstart,check_backalt_over_FCstart,forward_amplification,backward_deflation,keep_backward
Acinetobacter,R1,0.01943645649413162,51.05,43.03,197.05,101,57.97,154.02,16953578,851173469.3877549,6112040816.32653,45727963.65874664,1980856539.6387367,306253435.4713967,1964448203.817693,43.31827575837936,6.697290038036013,42.95945077453591,1.0083526436528873,0.15589794369544904,2.697245599645493,0.324090855929407,TRUE
Acinetobacter,R2,0.01419457550388129,52.05,50.05,197.05,115,64.95,147,33488070,1179336734.6938775,5630051020.408163,70106597.90790221,2239339206.778522,698734739.3215019,2399812706.0742903,31.941918073393065,9.966747213142723,34.23091089410559,0.9331308235473604,0.29116219676348,2.0934797946821724,0.3977475867734101,TRUE
Acinetobacter,R3,0.01494408464942784,60.05,64.05,197.05,119,54.95,133,22748271,912704081.632653,4491734693.877551,55806001.96540754,1975974158.841601,615497567.6722996,2376966403.6966143,35.407914726922165,11.02923603188467,42.593382790080966,0.8313008361281852,0.2589424767279374,2.453197518413929,0.4399133727855628,TRUE
Acinetobacter,R4,0.01352010924335995,72.05,72.05,197.05,120,47.95,125.00000000000001,34525084,789642857.1428571,5055765306.122448,91451612.13679957,2643860074.430359,932874668.8236021,2091641900.0754004,28.909934036761346,10.200746023242809,22.871569469399613,1.2640118149933084,0.4460011385266156,2.648845463686622,0.5229396370968186,TRUE
Acinetobacter,R5,0.01018491039079284,58.05,58.05,197.05,124,65.95,139,50860733,1076785714.2857141,4173826530.6122446,91865469.6257023,2132166092.90801,1013217290.2205918,1944907583.7956257,23.209657574226,11.029359500896861,21.171258272776253,1.096281443227722,0.5209590926902686,1.80621599821816,0.5108420480031904,TRUE
Aeromonas_A,R1,0.02152182979085593,54.07,47.07,212.1,109,61.93,165.03,32331973,2215102040.816326,18479693877.551018,103517631.78185615,4873564414.771129,529895707.88419706,6100257593.804571,47.07955863056493,5.118893262558905,58.929647914083965,0.7989112492103164,0.08686448067739955,3.201710943586899,0.2637253867441763,TRUE
Aeromonas_A,R2,0.01990585449241123,62.07,64.07,212.1,116,51.93000000000001,148.03,48492282,2184336734.693877,23802091836.734688,166827615.9722978,8466036431.183409,1249957847.32208,7819966931.803733,50.74721221568747,7.492511596698948,46.87453504761623,1.0826179324048184,0.15984183286485687,3.4402921267408657,0.35568455450278735,TRUE
Aeromonas_A,R3,0.02463468815971646,61.07,59.07,212.1,117,57.93,153.03,17920155,1589540816.3265305,22386887755.10204,80669976.12393826,5373008180.674643,516143263.4500606,6811526218.400725,66.60480687907678,6.398207713078753,84.43694352823108,0.7888112015424597,0.07577498007065524,4.501633837650303,0.2400069290314871,TRUE
Aeromonas_A,R4,0.0216194941726135,58.07,56.07,212.1,112,55.93,156.03,26425383,1774132653.0612245,16767091836.734694,92737141.16126662,5004011231.454992,574720450.4239266,5962660031.964088,53.95908444873444,6.197306097936618,64.29635372946458,0.8392246421278324,0.09638658708412307,3.5093962937553873,0.2984424061238695,TRUE
Aeromonas_A,R5,0.01739496989774508,72.07,74.07,212.1,129,54.93000000000001,138.03,39085262,1938214285.7142856,15054489795.918365,136920565.73505747,5790221668.295615,1364309687.1680713,7030181322.935069,42.28891136412441,9.964242258595563,51.34496257149954,0.8236233750338353,0.19406465132231868,3.5031251865487683,0.3846175956003161,TRUE
