Taxon,Replicate,OD_Initial,OD_Final,FC_Initial_perrep,FC_Final_perrep,Duration_min,FC_Initial_taxonmean,N_inoc_cells_per_L,delta_min,cell_volume_um3,cell_carbon_fg,stated_OD_mid,stated_OD_lo,stated_OD_hi,measured_OD_mid,measured_OD_lo,measured_OD_hi,size_factor,measured_OD_sizeadj,FC_cells_per_L,FC_cells_per_L_taxonmean,FC_cells_per_L_nodil,FC_end_cells_per_L,N_inoc,ratio_FC_over_Ninoc,ratio_measuredOD_over_Ninoc,ratio_statedOD_over_Ninoc,ratio_FC_over_measuredOD,ratio_FC_over_statedOD,ratio_measuredOD_over_statedOD
Pseudomonas,R4,0.00533,0.02032,181,1705,123,141,38081592,66.07,0.6747,67.4722,400000000,250000000,1000000000,4264000000,2665000000,10660000000,0.5335321746314369,2274981192.628447,1856173469.387755,1445969387.755102,181000000,17484948979.591835,38081592,48.7420134480658,111.9701088126778,10.503762552784032,0.435312727342344,4.640433673469388,10.659999999999998
Pseudomonas,R5,0.00446,0.01742,145,2007,114,141,25788818,70.07,0.6747,67.4722,400000000,250000000,1000000000,3568000000.0000005,2230000000,8920000000,0.5335321746314369,1903642799.084967,1486989795.9183671,1445969387.755102,145000000,20581989795.918365,25788818,57.66025398753705,138.35453800170293,15.510598430684183,0.4167572297977486,3.7174744897959178,8.92
Serratia,R1,0.00206,0.01962,239,1732,95,139,26881474,55.07,0.5112,51.1229,400000000,250000000,1000000000,1648000000.0000002,1030000000.0000001,4120000000.0000005,0.7041748009073365,1160480071.8952909,2450969387.7551017,1425459183.673469,239000000,17761836734.693874,26881474,91.17689706134053,61.30616200584835,14.880136409186491,1.487238706162076,6.127423469387754,4.12
Serratia,R2,0.00134,0.02152,103,1471,98,139,11205676,52.07,0.5112,51.1229,400000000,250000000,1000000000,1072000000,670000000,2680000000,0.7041748009073365,754875386.5726647,1056275510.2040814,1425459183.673469,103000000,15085255102.040815,11205676,94.26254250114687,95.6658036516494,35.696195392406494,0.985331632653061,2.6406887755102035,2.68
Serratia,R3,0.00144,0.02012,128,1801,93,139,23315655,52.07,0.5112,51.1229,400000000,250000000,1000000000,1152000000,720000000,2880000000,0.7041748009073365,811209370.6452516,1312653061.2244897,1425459183.673469,128000000,18469438775.510204,23315655,56.2992144644656,49.408862843441455,17.155855153972727,1.139455782312925,3.2816326530612243,2.8800000000000003
Serratia,R4,9.4e-4,0.01502,124,1797,100,139,8960491,57.07,0.5112,51.1229,400000000,250000000,1000000000,752000000,470000000,1880000000,0.7041748009073365,529539450.28231704,1271632653.0612245,1425459183.673469,124000000,18428418367.34694,8960491,141.91551032875591,83.9239724698122,44.64041088819798,1.6910008684324793,3.179081632653061,1.88
Serratia,R5,7.4e-4,0.01682,100,1826,100,139,11686360,54.07,0.5112,51.1229,400000000,250000000,1000000000,592000000,370000000,1480000000,0.7041748009073365,416871482.13714325,1025510204.0816325,1425459183.673469,100000000,18725816326.53061,11686360,87.75274799694965,50.65734754020927,34.22793752716843,1.7322807501378927,2.5637755102040813,1.48
Yersinia,R1,0.0032,0.08882,83,3882,80,108,2764643,54.07,0.5918,59.1765,400000000,250000000,1000000000,2560000000,1600000000,6400000000,0.6082699530649383,1557171079.846242,851173469.3877549,1107551020.408163,83000000,39810306122.448975,2764643,307.8782574776399,925.9785078941476,144.68414185846058,0.3324896364795918,2.1279336734693874,6.4
Yersinia,R2,0.004,0.09562,151,5428,92,108,7874692,55.07,0.5918,59.1765,400000000,250000000,1000000000,3200000000,2000000000,8000000000,0.6082699530649383,1946463849.8078024,1548520408.163265,1107551020.408163,151000000,55664693877.55101,7874692,196.64520316010646,406.36509973977394,50.79563746747174,0.4839126275510203,3.8713010204081626,8
Yersinia,R3,0.005,0.09982,109,4459,94,108,5886361,55.07,0.5918,59.1765,400000000,250000000,1000000000,4000000000,2500000000,10000000000,0.6082699530649383,2433079812.259753,1117806122.4489796,1107551020.408163,109000000,45727499999.99999,5886361,189.8976502543727,679.53698388529,67.953698388529,0.2794515306122449,2.7945153061224492,10
