route,route_label,response,best_model,Topt_C,E_eV,E_lwr_eV,E_upr_eV,Eh_eV,Eh_lwr_eV,Eh_upr_eV
forward,FORWARD (as published),growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812554,0.6942373367132938,4.871797567403984,4.337307299268759,5.406287835539209
forward,FORWARD (as published),resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906103,0.8356053066313659,6,-4.3034426004113335,16.303442600411334
forward,FORWARD (as published),carbon_use_efficiency,two,32.441471571906355,0.18001112217888693,-1.28888550047289,1.648907744830664,6,3.871934063033719,8.12806593696628
backward,BACKWARD (scale transferred from the bacterial data),growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812554,0.6942373367132938,4.871797567403984,4.337307299268759,5.406287835539209
backward,BACKWARD (scale transferred from the bacterial data),resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906103,0.8356053066313659,6,-4.3034426004113335,16.303442600411334
backward,BACKWARD (scale transferred from the bacterial data),carbon_use_efficiency,two,32.37458193979933,0.17764846415034868,-1.2915142778056037,1.6468112061063007,6,3.86893572549992,8.13106427450008
none,"NONE (N0 = N_inoc; LOWER BOUND, not a candidate)",growth_r_per_hr,one,33.979933110367895,0.6327777626472746,0.5713181885812554,0.6942373367132938,4.871797567403984,4.337307299268759,5.406287835539209
none,"NONE (N0 = N_inoc; LOWER BOUND, not a candidate)",resp_C_fg_per_hr,one,37.525083612040135,0.7123557503109881,0.5891061939906103,0.8356053066313659,6,-4.3034426004113335,16.303442600411334
none,"NONE (N0 = N_inoc; LOWER BOUND, not a candidate)",carbon_use_efficiency,one,32.30769230769231,0.1,-0.1345842571083348,0.33458425710833484,6,2.393132601350107,9.606867398649891
